,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,307.471,312.282,330.932,340.3781,327.169,360.46,372.033,370.124,343.236,331.514,247.739,95.688,97.108,96.721,89.855,90.387,86.016,83.781,81.484,79.896,77.457,78.677,73.23,77.941,82.815,78.661,74.299,82.672,81.405,77.281,75.511,76.47,76.458,77.796,71.471,73.997,75.737,68.862,64.363,67.272,53.965,53.399,54.335,56.745,54.735,48.592,44.654,45.547,44.868,48.89,48.833,52.807,48.6,51.425,48.781,43.23,46.524,40.693,27.085
cost-goods-sold,188.919,208.413,195.629,205.7381,192.582,208.66,223.032,232.634,231.638,243.452,158.794,44.928,45.835,46.589,40.622,42.13,39.751,40.02,38.97,40.211,39.31,41.135,37.203,38.996,41.86,40.623,37.505,40.904,40.71,38.199,40.546,40.517,40.884,41.595,36.845,38.113,41.705,36.735,37.436,38.4,28.916,27.61,27.769,30.451,29.788,27.788,26.883,26.524,25.502,28.252,29.617,35.397,29.75,28.351,27.431,24.66,27.248,24.36,11.86
gross-profit,118.552,103.869,135.303,134.6401,134.587,151.8,149.001,137.49,111.598,88.062,88.945,50.76,51.273,50.132,49.233,48.257,46.265,43.761,42.514,39.685,38.147,37.542,36.027,38.945,40.955,38.038,36.794,41.768,40.695,39.082,34.965,35.953,35.574,36.201,34.626,35.884,34.032,32.127,26.927,28.872,25.049,25.789,26.566,26.294,24.947,20.804,17.771,19.023,19.366,20.638,19.216,17.41,18.85,23.074,21.35,18.57,19.276,16.333,15.225
research-development-expenses,12.002,11.199,12.823,13.525,13.181,13.575,12.586,13.876,12.769,12.967,11.641,2.654,3.65,3.338,3.313,4.057,4.227,3.122,4.308,5.08,5.055,4.566,3.631,3.458,3.14,3.906,1.903,2.22,2.988,2.729,2.693,2.168,1.877,2.491,2.052,1.741,1.067,0.952,0.918,0.629,0.661,0.617,0.738,0.494,0.857,1.452,2.019,1.871,2.234,2.155,1.851,2.144,1.611,2.335,1.569,1.786,1.353,1.004,0.674
selling-general-administrative-expenses,65.876,67.824,72.633,84.675,76.64,81.816,85.015,77.141,76.82,85.106,64.886,22.598,22.362,22.491,21.975,22.518,20.206,20.318,20.174,20.299,21.843,24.278,22.519,20.559,22.399,23.182,22.866,20.731,20.177,22.806,20.89,22.283,20.411,19.73,22.863,19.268,18.341,19.372,19.655,19.839,16.751,16.503,15.112,13.247,13.571,13.685,13.108,10.496,11.485,11.504,11.999,10.328,11.09,12.236,10.591,9.728,9.635,9.606,8.023
other-operating-income-expenses,0.2,38.461,4.917,-12.596,-18.5,-6.0,-24.917,5.0,-7.0,-6.0,,,,,,-4.139,6.347,,-7.059,,,,,,,,,,,,,14.242,,,2.5,,0.0,0.0,,,,,,,,,,,,,,,2.093,,,,,,
operating-expenses,274.572,286.016,300.56,357.653,324.915,328.741,367.119,328.585,346.938,367.446,264.722,81.917,74.653,73.951,65.91,77.884,61.248,63.46,70.511,67.843,69.048,69.979,63.353,64.383,67.399,67.711,62.274,63.855,63.875,63.734,64.129,50.726,63.172,63.816,59.26,59.122,61.113,57.059,58.009,58.868,46.328,44.73,43.619,44.192,44.216,42.925,42.01,38.891,39.221,41.911,43.467,47.869,40.358,42.922,39.591,36.174,38.236,34.97,20.557
operating-income,32.899,26.266,30.372,-17.2748,2.254,31.719,4.914,41.539,-3.702,-35.932,-16.983,13.771,22.455,22.77,23.945,12.503,24.768,20.321,10.973,12.053,8.409,8.698,9.877,13.558,15.416,10.95,12.025,18.817,17.53,13.547,11.382,25.744,13.286,13.98,12.211,14.875,14.624,11.803,6.354,8.404,7.637,8.669,10.716,12.553,10.519,5.667,2.644,6.656,5.647,6.979,5.366,4.938,8.242,8.503,9.19,7.056,8.288,5.723,6.528
total-non-operating-income-expense,-0.149,1.34,3.058,4.792,-0.817,-2.122,-1.091,-1.637,8.412,-3.245,62.831,0.318,0.571,1.187,0.147,0.138,0.23,0.24,0.526,0.183,0.155,0.207,0.21,0.195,0.19,0.212,0.168,0.125,0.158,0.145,0.135,0.235,0.132,0.431,0.403,0.089,-0.215,0.063,0.192,0.139,0.419,0.305,0.318,1.006,0.994,1.139,1.556,1.322,1.379,-3.402,9.399,1.237,1.267,1.197,0.761,0.643,0.504,0.986,0.588
pre-tax-income,32.75,27.606,33.43,-12.483,1.437,29.597,3.823,39.902,4.71,-39.177,45.848,14.089,23.026,23.957,24.092,12.641,24.998,20.561,11.499,12.236,8.564,8.905,10.087,13.753,15.606,11.162,12.193,18.942,17.688,13.692,11.517,25.979,13.418,14.411,12.614,14.964,14.409,11.866,6.546,8.543,8.056,8.974,11.034,13.559,11.513,6.806,4.2,7.978,7.026,3.577,14.765,6.175,9.509,9.7,9.951,7.699,8.792,6.709,7.116
