,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31
revenue,166.453,156.977,145.491,136.314,145.809,152.798,92.755,114.619,115.855,110.578,108.306,96.093,105.013,123.825,102.657,120.561,105.459,117.618,93.633,89.918,85.991,100.957,84.674,,,
cost-goods-sold,42.94,41.118,37.203,35.898,36.422,39.015,33.491,37.132,38.431,37.198,38.285,38.599,35.433,43.214,41.923,42.293,38.394,33.602,31.851,27.72,27.579,28.899,28.587,,,
gross-profit,123.513,115.859,108.288,100.416,109.387,113.783,59.264,77.487,77.424,73.38,70.021,57.494,69.58,80.611,60.734,78.268,67.065,84.016,61.782,62.198,58.412,72.058,56.087,,,
research-development-expenses,9.06,7.898,8.201,7.092,7.58,7.545,6.421,6.533,5.78,7.282,7.788,8.101,7.404,7.711,5.932,5.131,6.283,5.504,5.411,5.77,6.184,5.144,6.048,,,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,144.381,136.436,139.6,131.961,129.561,155.149,113.59,109.924,101.973,101.682,101.99,97.609,95.987,96.998,99.36,94.322,86.586,71.622,68.285,65.81,62.861,62.11,60.757,,,
operating-income,22.072,20.541,5.891,4.353,16.248,-2.351,-20.835,4.695,13.882,8.896,6.316,-1.516,9.026,26.827,3.297,26.239,18.873,45.996,25.348,24.108,23.13,38.847,23.917,,,
total-non-operating-income-expense,-16.088,-15.985,-15.943,-16.731,-16.709,-15.925,-1.607,-0.317,-0.495,-0.315,-0.075,0.109,0.157,0.286,0.713,0.095,-0.255,-0.49,-1.095,-1.138,-0.146,-0.048,-0.011,,,
pre-tax-income,5.984,4.556,-10.052,-12.378,-0.461,-18.276,-22.442,4.378,13.387,8.581,6.241,-1.407,9.183,27.113,4.01,26.334,18.618,45.506,24.253,23.06,22.984,38.799,23.906,,,
total-provision-income-taxes,-0.858,0.018,-1.729,-1.358,0.383,-7.81,-5.608,-13.071,5.146,3.095,2.599,-2.088,1.376,10.862,1.645,10.286,8.498,19.37,10.494,9.56,9.318,15.169,9.349,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
net-income,6.621,4.403,-8.323,-11.02,-0.844,-10.466,-16.834,16.953,7.968,5.338,3.569,0.637,7.771,16.179,2.356,16.009,10.115,26.131,13.759,13.499,13.666,23.63,14.557,,,
ebitda,50.071,49.044,34.01,32.572,43.871,25.579,-4.455,19.657,27.986,21.801,19.392,10.635,18.68,36.204,12.562,34.516,25.259,51.263,30.263,28.976,28.173,43.961,28.772,,,
ebit,22.072,20.541,5.891,4.353,16.248,-2.351,-20.835,4.695,13.882,8.896,6.316,-1.516,9.026,26.827,3.297,26.239,18.873,45.996,25.348,24.108,23.13,38.847,23.917,,,
basic-shares-outstanding,148.456,148.136,147.774,145.389,147.339,147.181,139.378,142.225,141.226,142.632,144.729,150.048,150.732,151.712,151.282,145.745,148.871,147.648,135.331,122.257,131.779,134.523,134.645,,,
shares-outstanding,148.797,148.478,147.774,145.389,147.339,147.181,139.378,142.737,141.699,143.072,145.165,150.955,151.562,152.706,152.355,148.275,151.835,151.299,138.902,125.359,134.538,136.814,136.776,,,
eps-basic-net-earnings-per-share,0.04,0.03,-0.06,-0.07,-0.01,-0.07,-0.12,0.12,0.06,0.04,0.02,0.0,0.05,0.11,0.02,0.1,0.07,0.18,0.1,0.11,0.1,0.18,0.11,,,
eps-earnings-per-share-diluted,0.04,0.03,-0.06,-0.07,-0.01,-0.07,-0.12,0.12,0.06,0.04,0.02,0.0,0.05,0.11,0.02,0.11,0.07,0.17,0.1,0.11,0.1,0.17,0.11,0.0,0.0,0.0
