,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,38.885,29.972,21.902,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,,,1.403,0.435,0.978,1.601,1.321,1.807,1.864,1.929,2.488,2.475,3.04,2.37,2.549,4.071,2.726,2.353,2.25,1.396,2.275,1.66,0.535,0.226,0.21,0.054,0.024,0.022,0.028,0.057
cost-goods-sold,6.437,4.919,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.576,0.836,0.631,0.023,,,,,
gross-profit,32.448,25.053,17.752,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,,,1.403,0.435,0.978,1.601,1.321,1.807,1.864,1.929,2.488,2.475,3.04,2.37,2.549,4.071,2.726,2.353,2.25,1.396,2.275,1.084,-0.301,-0.405,0.187,0.054,0.024,0.022,0.028,0.057
research-development-expenses,34.34,33.538,31.203,39.925,39.538,35.722,30.098,33.949,26.675,26.871,22.254,54.87,23.433,23.871,20.547,19.646,19.221,18.246,17.164,14.799,15.2,14.942,11.351,9.625,12.095,12.225,10.334,11.591,5.706,7.745,4.739,7.224,6.933,8.706,5.76,2.398,0.769,0.893,0.642,0.724,1.143,1.472,5.868,5.068,4.997,5.614,5.368,4.8,4.602,3.691,6.105,4.285,5.316,4.348,7.174,5.481,6.728,5.339,4.287
selling-general-administrative-expenses,53.347,52.433,54.81,53.96,44.445,37.16,32.653,31.404,17.408,16.644,13.715,12.181,13.716,12.262,12.52,12.944,11.024,9.706,9.542,8.267,8.204,7.874,6.728,5.97,4.747,7.544,3.975,4.247,3.647,2.238,2.525,3.05,2.472,2.745,3.256,5.253,1.636,1.884,1.538,1.421,2.096,2.874,3.449,1.219,0.96,1.493,1.391,0.794,0.917,1.153,5.382,9.716,7.003,5.163,3.8,1.607,1.19,1.64,1.293
other-operating-income-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.99,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,95.373,92.138,91.411,97.557,83.983,72.882,62.751,65.353,44.083,43.515,35.969,67.051,37.149,36.133,33.067,32.59,30.245,27.952,26.706,23.066,23.404,22.816,18.079,15.595,16.842,19.769,14.309,15.838,9.353,9.983,7.264,10.274,35.395,11.451,9.016,7.651,2.405,2.777,2.18,2.145,3.239,4.346,9.317,6.287,5.957,7.107,6.759,5.594,5.519,4.844,12.063,21.94,12.95,9.534,10.974,7.088,7.918,6.979,5.58
operating-income,-56.488,-62.166,-69.509,-97.557,-83.983,-72.882,-62.751,-65.353,-44.083,-43.515,-35.969,-67.051,-37.149,-36.133,-33.067,-32.59,-30.245,-27.952,-26.706,-23.066,-23.404,-22.816,-18.079,-15.595,-16.842,-8.269,-14.309,-15.838,-9.353,-9.983,-7.264,-8.871,-34.96,-10.473,-7.415,-6.33,-0.598,-0.913,-0.251,0.343,-0.764,-1.306,-6.947,-3.738,-1.886,-4.381,-4.406,-3.344,-4.123,-2.569,-10.403,-21.405,-12.724,-9.324,-10.92,-7.064,-7.896,-6.951,-5.523
total-non-operating-income-expense,-4.046,-4.258,-4.429,-3.784,-3.714,-3.515,-5.725,-0.397,-1.069,-1.12,-1.415,-1.324,-0.586,-0.428,-0.437,-0.636,-0.717,-0.645,-0.663,-0.614,-0.586,-0.408,-0.608,-0.619,-0.485,-0.585,-0.59,0.383,-0.029,0.289,0.421,0.707,0.369,0.456,0.523,0.484,0.345,0.538,0.369,-0.354,0.614,-0.295,127.536,-0.226,-0.277,-0.286,-0.467,0.047,0.211,0.069,0.15,-0.024,0.352,0.413,-2.507,-5.821,-5.86,-1.573,-0.241
pre-tax-income,-60.534,-66.424,-73.938,-91.506,-87.697,-76.397,-68.476,-65.75,-45.152,-44.635,-37.384,-68.375,-37.735,-36.561,-33.504,-33.216,-30.962,-28.607,-27.369,-23.68,-23.99,-23.224,-18.687,-16.214,-17.327,-8.854,-14.899,-15.455,-9.382,-9.694,-6.843,-8.164,-34.591,-10.017,-6.892,-5.846,-0.253,-0.375,0.118,-0.011,-0.15,-1.601,120.589,-3.964,-2.163,-4.667,-4.873,-3.297,-3.912,-2.5,-10.253,-21.429,-12.372,-8.911,-13.427,-12.885,-13.756,-8.524,-5.764
total-provision-income-taxes,0.148,0.09,0.215,0.067,0.046,0.04,0.048,-0.366,0.027,0.037,0.03,0.027,0.025,0.018,0.028,,,,,-6.033,,,-4.389,,,,-1.221,,0.0,0.002,0.002,-0.002,,0.0,0.002,-0.002,0.077,0.003,,-2.317,,,2.794,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-60.682,-66.514,-74.153,-91.573,-87.743,-76.437,-68.524,-65.384,-45.179,-44.672,-37.414,-68.402,-37.76,-36.579,-33.532,-31.245,-30.962,-28.607,-27.369,-17.647,-23.99,-23.224,-14.298,-16.214,-17.327,-8.854,-13.678,-15.451,-9.382,-9.696,-6.845,-8.162,-34.591,-10.017,-16.069,-5.844,-0.33,-0.378,0.118,2.306,-0.15,-1.601,117.795,-3.964,-2.163,-4.667,-4.873,-3.297,-3.912,-2.5,-10.253,-21.429,-12.372,-8.911,-13.427,-12.885,-13.756,-8.524,-5.764
ebitda,-49.36,-54.927,-62.437,-90.735,-78.325,-67.386,-58.662,-64.593,-43.339,-42.747,-35.222,-66.338,-36.3,-35.528,-32.515,-31.835,-29.668,-27.382,-26.168,-22.583,-22.958,-22.551,-17.81,-15.313,-16.651,-7.995,-14.043,-15.508,-9.16,-9.845,-7.128,-8.761,-34.881,-10.394,-7.34,-6.301,-0.598,-0.913,-0.226,0.389,-0.704,-0.91,-6.742,-3.508,-1.635,-4.111,-4.114,-3.197,-4.032,-2.483,-10.321,-20.933,-12.636,-9.241,-8.194,-1.408,-2.228,-5.604,-5.297
