,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31
revenue,2769.0,2740.0,2684.0,2688.0,2594.0,2567.0,2563.0,2521.0,2466.0,2355.0,2360.0,2275.0,1497.0,1553.0,1490.0,1521.111,1424.769,1443.527,1347.593,1411.09,1400.034,1341.03,1307.846,1379.185,1195.839,1295.68,1228.841,1278.588,1199.574,1230.767,1156.584,,
cost-goods-sold,1852.0,1799.0,1748.0,1742.0,1678.0,1674.0,1652.0,1607.0,1611.0,1557.0,1526.0,1495.0,1056.0,1121.0,1076.0,1069.201,1014.347,1053.006,979.446,1002.58,1030.072,980.068,946.28,1017.202,863.806,969.108,912.515,961.31,898.092,914.075,859.112,,
gross-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
selling-general-administrative-expenses,395.0,436.0,419.0,443.0,429.0,424.0,420.0,469.0,394.0,378.0,381.0,393.0,207.0,216.0,200.0,138.081,231.415,225.898,219.606,123.717,219.027,219.014,219.242,232.797,199.573,228.838,199.302,222.87,192.78,203.544,205.795,,
other-operating-income-expenses,,,,,,,,,,-40.0,,,-28.0,0.0,,,0.0,,,,,,,,,,,,,,,,
operating-expenses,2565.0,2543.0,2474.0,2481.0,2413.0,2397.0,2380.0,2379.0,2271.0,2229.0,2158.0,2196.0,1329.0,1403.0,1311.0,1343.74,1257.746,1285.138,1204.376,1252.548,1250.892,1200.03,1166.53,1252.173,1070.58,1200.783,1113.676,1184.18,1090.438,1129.882,1064.597,,
operating-income,204.0,197.0,210.0,207.0,181.0,170.0,183.0,142.0,195.0,126.0,202.0,79.0,168.0,150.0,179.0,177.3711,167.0231,158.389,143.217,158.542,149.1421,141.0,141.3159,127.0123,125.259,94.897,115.1649,94.4081,109.1359,100.885,91.9871,,
total-non-operating-income-expense,-135.0,-119.0,-101.0,-103.0,-130.0,-82.0,-98.0,-109.0,-109.0,-78.0,-75.0,-86.0,-25.0,-19.0,-30.0,-18.57,-23.354,-43.467,-21.609,-26.863,-16.672,-26.861,-18.604,-26.97,-30.861,-48.178,-33.208,-39.35,-36.515,-26.649,-26.501,,
pre-tax-income,69.0,78.0,109.0,104.0,51.0,88.0,85.0,33.0,86.0,48.0,127.0,-7.0,143.0,131.0,149.0,158.801,143.669,114.922,121.608,131.679,132.47,114.139,122.712,100.042,94.398,46.719,81.957,55.09,72.621,74.236,65.486,,
total-provision-income-taxes,-1.0,8.0,41.0,30.0,-14.0,24.0,19.0,-999.0,-3.0,-14.0,24.0,207.0,39.0,36.0,43.0,51.02,40.192,31.7,36.088,37.951,41.26,32.4,37.389,27.558,27.459,8.83,32.118,20.02,21.542,27.558,24.251,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
net-income,57.0,60.0,58.0,69.0,60.0,61.0,69.0,1027.0,88.0,62.0,100.0,-221.0,100.0,86.0,107.0,104.365,111.286,84.951,86.398,89.043,92.654,85.12,90.183,72.996,66.769,38.517,48.309,34.974,52.098,47.201,43.273,,
ebitda,507.0,494.0,508.0,504.0,467.0,454.0,468.0,423.0,453.0,413.0,439.0,295.0,232.0,183.0,216.0,218.8811,204.7221,194.174,175.223,192.642,180.9181,172.441,171.9989,162.4473,154.269,132.266,142.6799,123.5221,136.9659,126.556,116.8921,,
ebit,204.0,197.0,210.0,207.0,181.0,170.0,183.0,142.0,195.0,126.0,202.0,79.0,168.0,150.0,179.0,177.3708,167.0231,158.389,143.217,158.542,149.1421,141.0,141.3159,127.0121,125.259,94.897,115.1649,94.4081,109.1359,100.885,91.9871,,
basic-shares-outstanding,194.5,196.2,197.0,203.7,202.3,205.7,207.5,217.8,214.3,217.6,230.1,149.1,118.9,119.5,119.4,123.0,122.848,123.834,124.504,128.0,127.462,128.979,129.898,124.147,128.923,122.709,115.769,115.672,115.691,115.67,115.808,,
shares-outstanding,199.0,200.6,201.7,208.2,206.8,209.9,212.0,222.6,219.0,222.3,234.9,152.0,121.2,121.5,121.4,125.6,125.339,126.536,127.454,131.1,130.626,132.042,133.04,127.862,133.267,126.578,118.74,118.15,117.835,117.706,117.551,,
eps-basic-net-earnings-per-share,0.29,0.31,0.29,0.34,0.3,0.3,0.33,4.74,0.41,0.28,0.43,-1.97,0.83,0.73,0.89,0.86,0.91,0.69,0.69,0.7,0.73,0.66,0.69,0.58,0.52,0.31,0.42,0.3,0.45,0.41,0.37,,
eps-earnings-per-share-diluted,0.29,0.3,0.29,0.34,0.29,0.29,0.32,4.63,0.4,0.28,0.43,-1.94,0.82,0.71,0.88,0.84,0.89,0.67,0.68,0.69,0.71,0.64,0.68,0.56,0.5,0.3,0.41,0.3,0.44,0.4,0.37,0.0,0.0
