,2019-07-31,2019-04-30,2019-01-31,2018-10-31,2018-07-31,2018-04-30,2018-01-31,2017-10-31,2017-07-31,2017-04-30,2017-01-31,2016-10-31,2016-09-30,2016-07-31,2016-06-30,2016-04-30,2016-03-31,2016-01-31,2015-12-31,2015-09-30,2015-06-30,2015-04-30,2015-03-31,2015-01-31,2014-12-31,2014-10-31,2014-09-30,2014-07-31,2014-06-30,2014-04-30,2014-03-31,2014-01-31,2013-01-31
revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,3.369,2.927,3.89,5.592,3.718,4.84,2.331,1.127,0.096,1.242,0.248,0.197,0.007,0.975,0.007,1.771,0.007,0.348,0.007,0.007,0.007,1.782,0.007,0.007,,,0.01,,0.005,,0.006,0.006,
research-development-expenses,9.686,11.139,7.65,7.876,8.356,5.852,4.548,4.361,3.476,8.048,3.339,2.929,0.332,3.395,0.947,3.974,3.532,3.622,,3.533,4.504,,3.902,,,,2.088,,1.75,,1.425,,
selling-general-administrative-expenses,3.247,3.046,2.9,2.609,2.371,1.957,2.129,2.703,2.073,1.467,5.026,1.293,2.08,2.7,2.604,-0.431,1.543,0.541,1.679,1.373,1.17,-1.579,1.006,1.006,,1.49,1.49,1.49,0.691,,0.437,0.437,
other-operating-income-expenses,,,,,,,,,,,,,,,,,-1.46,,,,,,,,,,,,,,,,
operating-expenses,12.933,14.185,10.55,10.485,10.727,7.809,6.677,7.064,5.549,4.285,8.365,4.222,2.412,6.095,6.971,2.571,6.535,4.163,11.573,4.906,5.674,0.401,4.908,1.006,,1.49,3.578,1.49,2.441,,1.862,0.437,
operating-income,-9.564,-11.258,-6.66,-4.893,-7.009,-2.969,-4.346,-5.937,-5.453,-3.043,-8.117,-4.025,-2.405,-5.12,-6.964,-0.8,-6.528,-3.815,-11.566,-4.899,-5.667,1.381,-4.901,-0.999,,-1.49,-3.568,-1.49,-2.436,,-1.856,-0.431,
total-non-operating-income-expense,2.226,2.856,2.704,1.589,1.979,2.312,-0.888,0.951,0.525,2.919,0.473,0.73,0.02,1.683,-0.386,5.319,-0.079,1.863,-2.901,-0.092,-3.345,1.772,-0.283,-0.283,,,-0.427,,-0.199,,-0.159,-0.159,
pre-tax-income,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,
net-income,-7.338,-8.526,-3.956,-3.304,-5.03,-0.657,-5.234,-4.986,-4.928,-3.185,-7.855,-4.241,-2.385,-4.475,-7.35,-0.818,-6.607,-3.059,-11.672,-4.991,-9.012,3.971,-5.184,-5.184,,-3.995,-3.995,-3.995,-2.635,,-2.015,-2.015,
ebitda,-9.27,-11.136,-6.557,-4.79,-6.959,-2.918,-4.296,-5.89,-5.421,-3.032,-8.107,-4.014,-2.394,-5.112,-6.956,-0.793,-6.487,-4.66,-11.083,-4.069,-5.626,1.864,-4.163,-0.606,,-2.191,-4.269,-0.752,-1.698,,-1.798,-0.431,
ebit,-9.564,-11.258,-6.66,-4.893,-7.009,-2.969,-4.346,-5.937,-5.453,-4.853,-8.117,-4.025,-2.405,-5.12,-6.964,-0.8,-6.528,-3.815,-14.979,-4.899,-5.667,-2.032,-4.901,-0.999,,-1.49,-3.568,-1.49,-2.436,,-1.856,-0.431,
basic-shares-outstanding,17.489,15.081,17.231,15.108,10.8,10.322,10.789,10.004,9.713,4.647,7.658,0.7095,1.8809,0.6719,1.8803,0.5913,1.8801,0.6309,,1.8794,1.6152,,0.0501,,,,0.0484,,0.0442,,0.0328,,
shares-outstanding,17.489,15.081,17.231,15.108,10.8,10.322,10.789,10.004,9.713,4.647,7.658,0.7095,1.8809,0.6719,1.8803,0.5913,1.8801,0.6309,,1.8794,1.6152,,0.0501,,,,0.0484,,0.0442,,0.0328,,
eps-basic-net-earnings-per-share,-0.42,-0.46,-0.23,-0.22,-0.47,-0.03,-0.49,-0.5,-0.51,1.7421,-1.03,-5.98,-1.2605,-6.66,-3.9216,-15.1575,-3.5014,-4.85,,-2.6611,-5.6022,,-103.3613,,,,-82.493,,-59.6639,,-61.4846,,
eps-earnings-per-share-diluted,-0.42,-0.46,-0.23,-0.22,-0.47,-0.03,-0.49,-0.5,-0.51,1.7421,-1.03,-5.98,-1.2605,-6.66,-3.9216,-15.1575,-3.5014,-4.85,0.0,-2.6611,-5.6022,0.0,-103.3613,0.0,0.0,0.0,-82.493,0.0,-59.6639,0.0,-61.4846,0.0,0.0
