,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
eps-earnings-per-share-diluted,-0.48,-0.46,-0.4,7.88,-0.3,-3.31,-6.53,0.0,-3.31,-3.3,0.0
research-development-expenses,7.08,6.925,5.927,4.672,4.664,5.228,3.572,,1.557,1.445,
selling-general-administrative-expenses,,,,,,,,,,,
operating-expenses,9.681,9.355,8.309,6.426,6.264,6.95,5.086,,2.192,1.881,
operating-income,-9.681,-9.355,-8.309,-6.426,-6.264,-6.95,-5.086,,-2.192,-1.881,
total-non-operating-income-expense,0.533,0.637,0.667,0.644,0.601,0.175,0.139,,0.112,0.001,
pre-tax-income,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,
net-income,-9.148,-8.718,-7.642,-5.782,-5.663,-6.775,-4.947,,-2.08,-1.88,
ebitda,-9.549,-9.366,-8.365,-6.506,-6.251,-6.756,-4.999,,-2.149,-1.881,
ebit,-9.681,-9.355,-8.309,-6.426,-6.264,-6.95,-5.086,,-2.192,-1.881,
basic-shares-outstanding,19.096,19.074,19.043,10.265,18.955,2.044,0.757,,0.628,0.569,
shares-outstanding,19.096,19.074,19.043,10.265,18.955,2.044,0.757,,0.628,0.569,
eps-basic-net-earnings-per-share,-0.48,-0.46,-0.4,7.88,-0.3,-3.31,-6.53,,-3.31,-3.3,
