,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,78.673,83.056,82.408,81.133,72.445,79.578,82.662,78.199,74.136,76.457,77.779,72.271,71.221,64.166,62.981,60.449,60.601,58.917,57.741,58.106,56.684,55.632,56.561,55.156,50.78,54.287,53.2,55.535,50.047,48.273,48.727,47.869,45.557,47.638,43.275,41.19,33.873,33.242,33.252,38.167,29.118,27.801,25.557,28.197,28.897,24.341,23.012,21.502,19.353,17.548,16.607,14.21,12.514,13.268,12.997,11.577,10.764,10.652,9.32
cost-goods-sold,36.833,37.829,36.601,32.792,28.189,30.272,29.074,27.819,28.317,26.396,24.993,28.008,25.556,19.245,18.175,17.043,18.789,15.647,17.522,15.365,17.674,17.485,16.607,18.325,19.999,16.23,15.243,16.178,15.002,13.861,14.967,15.35,17.14,13.812,12.547,12.611,12.011,10.082,10.476,12.512,10.347,8.501,7.989,8.625,9.343,7.778,7.755,8.118,7.336,7.211,6.251,5.66,4.732,5.608,4.737,5.926,5.294,4.294,4.478
gross-profit,41.84,45.227,45.807,48.341,44.256,49.306,53.588,50.38,45.819,50.061,52.786,44.263,45.665,44.921,44.806,43.406,41.812,43.27,40.219,42.741,39.01,38.147,39.954,36.831,30.781,38.057,37.957,39.357,35.045,34.412,33.76,32.519,28.417,33.826,30.728,28.579,21.862,23.16,22.776,25.655,18.771,19.3,17.568,19.572,19.554,16.563,15.257,13.384,12.017,10.337,10.356,8.55,7.782,7.66,8.26,5.651,5.47,6.358,4.842
research-development-expenses,13.262,14.985,15.048,13.17,11.996,11.672,10.326,10.367,10.67,12.26,12.42,13.335,12.762,11.543,11.019,10.942,10.093,11.51,10.145,10.416,10.327,11.308,11.084,10.189,10.346,11.792,12.714,11.522,11.186,10.144,10.137,11.879,7.997,7.945,7.57,7.841,7.081,6.441,5.48,8.262,5.643,4.977,4.626,4.729,4.443,5.025,4.431,4.349,4.464,3.865,2.705,2.338,2.348,1.79,2.197,1.626,1.469,1.488,1.017
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,84.395,88.812,85.992,80.165,68.691,71.72,67.396,69.069,67.607,68.975,63.767,74.614,67.193,56.666,51.18,52.45,50.895,48.958,48.048,47.921,51.688,50.861,48.376,49.684,54.974,49.246,54.752,48.28,46.68,41.787,43.119,43.937,42.737,38.841,34.981,36.107,33.718,30.977,29.504,32.869,29.63,26.772,23.973,26.043,25.916,24.855,24.28,22.101,21.211,29.792,16.979,14.202,12.949,13.535,12.884,13.288,11.755,10.932,9.834
operating-income,-5.722,-5.756,-3.584,0.968,3.754,7.858,15.266,9.13,6.529,7.482,14.012,-2.343,4.028,7.5,11.801,7.999,9.706,9.959,9.693,10.185,4.996,4.771,8.185,5.472,-4.194,5.041,-1.552,7.255,3.367,6.486,5.608,3.932,2.82,8.797,8.294,5.083,0.155,2.265,3.748,5.298,-0.512,1.029,1.584,2.154,2.981,-0.514,-1.268,-0.599,-1.858,-12.244,-0.372,0.008,-0.435,-0.267,0.113,-1.711,-0.991,-0.28,-0.514
total-non-operating-income-expense,0.002,-0.158,0.06,0.0,0.008,0.008,0.449,0.002,-0.001,0.001,-0.006,0.024,0.03,-1.446,0.021,2.023,0.013,-7.043,0.694,-0.011,-0.015,-0.001,-0.025,-0.006,6.622,0.076,-0.035,0.102,-0.015,-0.021,-0.002,0.034,-0.001,0.029,0.024,0.034,0.053,0.002,0.011,0.003,0.028,0.054,-4.197,0.329,0.353,-0.315,0.185,11.987,0.056,0.087,0.522,0.597,0.544,0.551,0.416,0.375,0.337,-0.076,0.216
pre-tax-income,-5.72,-5.914,-3.524,0.968,3.762,7.866,15.715,9.132,6.528,7.483,14.006,-2.319,4.058,6.054,11.822,10.022,9.719,2.916,10.387,10.174,4.981,4.77,8.16,5.466,2.428,5.117,-1.587,7.357,3.352,6.465,5.606,3.966,2.819,8.826,8.318,5.117,0.208,2.267,3.759,5.301,-0.484,1.083,-2.613,2.483,3.334,-0.829,-1.083,11.388,-1.802,-12.157,0.15,0.605,0.109,0.284,0.529,-1.336,-0.654,-0.356,-0.298
total-provision-income-taxes,-0.47,-0.983,-6.484,3.263,2.025,2.197,2.318,12.097,-11.085,1.939,4.775,1.041,1.307,0.401,3.052,-10.355,3.317,0.287,2.934,-12.628,-0.569,0.045,2.194,0.35,1.632,1.422,0.924,3.105,1.676,3.513,2.079,0.524,0.891,4.183,3.857,1.918,0.935,1.383,1.884,-14.715,0.125,-0.029,0.177,0.474,0.161,0.13,0.083,0.327,0.05,-0.101,0.014,0.006,-0.002,0.013,0.003,0.018,-0.003,0.007,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-5.224,-4.896,2.904,-2.275,1.708,5.571,13.192,-3.494,17.613,5.544,9.231,-3.36,2.751,5.653,8.77,20.377,6.402,2.629,7.453,22.802,5.55,4.725,5.966,5.116,0.796,3.695,-2.511,4.252,1.676,2.952,3.527,3.442,1.928,4.643,4.461,3.199,-0.727,0.884,1.875,20.016,-0.609,1.112,-2.79,2.009,3.173,-0.959,-1.166,11.061,-1.852,-12.056,0.136,0.599,0.111,0.271,0.526,-1.348,-0.657,-0.363,-0.298
ebitda,1.455,1.348,3.305,6.905,9.468,13.988,21.159,14.892,12.138,13.133,19.631,3.387,9.941,11.776,16.013,12.01,13.117,13.083,12.891,13.455,8.396,8.378,12.113,9.647,-0.2,8.99,2.252,10.951,6.98,10.019,9.13,7.394,6.107,11.419,10.81,7.487,2.365,4.386,5.911,1.815,3.835,6.531,3.547,4.03,4.801,1.135,0.388,7.612,-0.79,-10.407,0.168,5.916,-0.097,0.118,0.476,0.256,-0.718,-0.019,-0.292
ebit,-5.722,-5.756,-3.584,0.968,3.754,7.858,15.266,9.13,6.529,7.482,14.012,-2.343,4.028,7.5,11.801,7.999,9.706,9.959,9.693,10.185,4.996,4.771,8.185,5.472,-4.194,5.041,-1.552,7.255,3.367,6.486,5.608,3.932,2.82,8.797,8.294,5.083,0.155,2.265,3.748,5.298,-0.512,1.029,1.584,2.154,2.981,-0.514,-1.268,-0.599,-1.858,-12.244,-0.372,0.008,-0.435,-0.267,0.113,-1.711,-0.991,-0.28,-0.514
basic-shares-outstanding,44.216,44.157,43.949,43.727,43.836,43.734,43.462,43.173,43.164,43.16,42.898,42.584,42.683,42.534,42.346,42.091,42.152,42.093,41.873,41.558,41.714,41.56,41.209,40.799,40.752,40.497,40.887,40.927,41.0,41.064,40.919,41.262,41.391,41.262,41.239,41.03,41.131,41.001,40.783,40.562,40.661,40.533,40.347,37.868,40.002,35.689,35.422,34.361,35.097,35.006,31.97,31.434,31.507,31.386,31.201,30.99,31.039,30.947,30.875
shares-outstanding,44.216,44.157,44.546,44.291,44.707,44.246,43.633,43.3,43.266,43.259,42.989,43.013,43.136,42.575,42.443,42.637,42.556,42.29,42.194,42.156,42.381,42.125,41.825,41.986,41.919,41.444,40.887,41.884,41.887,42.399,42.805,42.537,42.611,42.446,42.305,42.438,41.131,42.281,41.588,41.633,40.661,41.353,40.347,39.7,42.173,35.689,35.422,34.361,35.097,35.006,33.077,32.988,33.155,32.876,32.379,30.99,31.039,30.947,30.875
eps-basic-net-earnings-per-share,-0.12,-0.11,0.07,-0.05,0.04,0.13,0.3,-0.07,0.4,0.13,0.21,-0.08,0.06,0.13,0.21,0.49,0.15,0.06,0.18,0.56,0.13,0.11,0.14,0.12,0.02,0.09,-0.06,0.1,0.04,0.07,0.09,0.08,0.05,0.11,0.11,0.08,-0.02,0.02,0.05,0.49,-0.01,0.03,-0.07,0.06,0.08,-0.03,-0.03,0.31,-0.05,-0.34,0.0,0.02,0.0,0.01,0.02,-0.05,-0.02,-0.01,-0.01
eps-earnings-per-share-diluted,-0.12,-0.11,0.07,-0.06,0.04,0.13,0.3,-0.07,0.4,0.13,0.21,-0.08,0.06,0.13,0.21,0.47,0.15,0.06,0.18,0.55,0.13,0.11,0.14,0.12,0.02,0.09,-0.06,0.11,0.04,0.07,0.08,0.07,0.05,0.11,0.11,0.07,-0.02,0.02,0.05,0.48,-0.01,0.03,-0.07,0.06,0.08,-0.03,-0.03,0.31,-0.05,-0.34,0.0,0.02,0.0,0.01,0.02,-0.05,-0.02,-0.01,-0.01
