,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
revenue,,,,,,,,,,,,
gross-profit,3.5826,1.9817,0.785,,,,,,,,,
research-development-expenses,4.6144,9.7718,12.9762,10.7931,8.1092,7.7907,6.9273,5.79,6.3882,5.3635,4.8234,
selling-general-administrative-expenses,,,,,,,,,,,,
operating-expenses,14.4893,23.2089,21.4757,20.1479,14.7382,25.1688,18.0493,8.385,8.7628,7.5854,6.9719,
operating-income,-10.9067,-21.2273,-20.6907,-20.1479,-14.7382,-25.1688,-18.0493,-8.385,-8.7628,-7.5854,-6.9719,
total-non-operating-income-expense,0.1062,0.3134,2.7088,-1.383,-0.687,-4.8121,1.646,-0.2217,0.3217,0.4067,0.1515,
pre-tax-income,-10.7995,-20.9138,-17.9819,-21.5311,-15.4249,-29.9808,-16.4034,-8.615,-8.4411,-7.1787,-6.8204,
total-provision-income-taxes,-0.3387,-0.0914,,,,,,0.0,,,,
income-after-taxes,,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,,0.0,,,,
net-income,-10.4609,-20.8224,-17.9819,-22.1985,-15.4249,-29.9808,-17.0681,-8.615,-8.6328,-7.2091,-6.8431,
ebitda,-10.3713,-20.688,-20.1885,-19.6935,-14.2,-24.6089,-17.5868,-8.2889,-8.5514,-7.3873,-6.7875,
ebit,-10.9067,-21.2273,-20.6907,-20.1479,-14.7382,-25.1688,-18.0493,-8.385,-8.7628,-7.5854,-6.9719,
basic-shares-outstanding,34.664,32.827,28.777,18.949,26.34,13.611,8.927,8.572,8.608,8.505,8.465,
shares-outstanding,34.664,32.827,28.777,18.949,26.34,13.611,8.927,8.572,8.608,8.505,8.465,
eps-basic-net-earnings-per-share,-0.3,-0.63,-0.62,0.32,-0.59,-2.29,-1.91,-1.06,-1.0,-0.85,-0.81,
eps-earnings-per-share-diluted,-0.3,-0.63,-0.62,0.32,-0.59,-2.29,-1.91,-1.06,-1.0,-0.85,-0.81,0.0
