,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,4243.0,4193.0,4119.0,4664.0,4697.0,4883.0,4646.0,4949.0,5031.0,4999.0,4904.0,4534.0,4546.0,4359.0,4343.0,3871.0,3611.0,3525.0,3171.0,2801.367,2484.351,2312.039,2069.243,1705.688,1687.079,1605.834,1590.399,1521.309,1540.15,1479.163,1373.587,1076.731,1176.722,1167.104,1119.706,1080.752,1039.146,999.338,966.741,964.224,916.512,927.589,861.031,812.5042,796.329,766.491,737.042,679.6292,636.034,613.888,562.903,549.52,517.465,484.634,453.376,423.221,428.611,404.274,393.952
cost-goods-sold,3523.0,3466.0,3371.0,3790.0,3901.0,3968.0,3842.0,4374.0,4343.0,4615.0,4233.0,3967.0,3867.0,3710.0,3715.0,3303.0,3050.0,2962.0,2672.0,2361.375,2137.903,1971.406,1762.315,1455.978,1423.326,1334.011,1327.685,1265.709,1356.995,1348.21,1161.482,881.079,993.742,988.574,944.753,899.279,873.542,853.867,822.816,842.371,792.771,803.206,737.888,684.7811,669.355,640.829,626.347,560.8391,525.902,516.865,476.477,462.82,430.87,401.715,383.247,355.656,366.612,369.49,333.114
gross-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
selling-general-administrative-expenses,323.0,328.0,302.0,335.0,311.0,335.0,352.0,367.0,383.0,405.0,439.0,359.0,343.0,351.0,340.0,316.0,287.0,287.0,256.0,204.795,178.879,193.239,188.087,187.01,176.233,161.479,141.278,144.287,127.035,125.819,121.474,102.485,99.61,96.921,94.436,100.374,88.66,78.079,78.88,49.991,68.563,65.011,92.462,-3.55,88.03,87.074,78.092,80.464,74.235,67.208,63.388,61.032,60.504,56.308,51.213,45.731,47.005,37.06,33.546
other-operating-income-expenses,-119.0,-110.0,-138.0,-236.0,-160.0,-205.0,-179.0,-448.0,-235.0,-114.0,-111.0,-177.0,-182.0,-159.0,-167.0,-148.0,-135.0,-135.0,-136.0,-113.504,-103.548,-92.065,-73.883,-44.394,-43.723,-46.883,-37.0,-40.557,-37.894,-38.354,-42.186,-43.956,-36.374,-37.709,-36.55,-35.197,-35.037,-34.995,-34.546,-68.024,-30.257,-30.3,1.532,,,,,,,,,,,,,,,-0.939,
operating-expenses,3986.0,3928.0,3839.0,4392.0,4402.0,4541.0,4424.0,5218.0,5112.0,5286.0,4822.0,4540.0,4428.0,4254.0,4254.0,3795.0,3498.0,3409.0,3089.0,2704.84,2444.572,2279.612,2044.976,1707.932,1662.153,1559.388,1522.526,1466.574,1537.782,1528.593,1340.167,1037.186,1143.156,1135.694,1088.406,1047.32,1009.193,978.16,946.303,970.0286,901.423,908.101,837.87,790.0873,765.9,736.233,712.5909,648.996,607.2189,591.604,546.308,530.062,497.007,462.893,439.222,405.643,417.73,411.047,369.858
operating-income,257.0,265.0,280.0,272.0,295.0,342.0,222.0,-269.0,-81.0,-287.0,82.0,-6.0,118.0,105.0,89.0,76.0,113.0,116.0,82.0,96.5271,39.7791,32.4273,24.2669,-2.2446,24.9259,46.4459,67.8731,54.7349,2.3679,-49.4299,33.4199,39.5452,33.566,31.41,31.3001,33.4321,29.953,21.178,20.4381,-5.8046,15.0891,19.488,23.161,22.4169,30.429,30.2581,24.4511,30.6332,28.8151,22.284,16.595,19.458,20.458,21.741,14.154,17.5781,10.881,-6.773,24.094
total-non-operating-income-expense,-24.0,-8.0,-20.0,-16.0,-36.0,-37.0,-43.0,-47.0,-32.0,-27.0,49.0,-25.0,-26.0,-25.0,-25.0,-20.0,-15.0,-15.0,-15.0,-14.956,-15.282,-13.984,-13.778,-14.417,-13.508,-15.169,-12.906,-4.023,-4.499,-4.894,-4.298,-3.853,-4.38,-3.683,-3.603,-3.453,-4.6,-4.099,-3.357,-3.86,-3.279,-3.223,-3.415,-3.318,-3.12,-3.425,-3.368,-3.225,-0.53,-0.725,-1.125,-0.717,-0.645,-0.577,-0.414,-0.241,-0.581,-0.818,-0.289
pre-tax-income,233.0,257.0,260.0,256.0,259.0,305.0,179.0,-316.0,-113.0,-314.0,131.0,-31.0,92.0,80.0,64.0,56.0,98.0,101.0,67.0,81.571,24.497,18.443,10.489,-16.662,11.418,31.277,54.967,50.712,-2.131,-54.324,29.122,35.692,29.186,27.727,27.697,29.979,25.353,17.079,17.081,-9.664,11.81,16.265,19.746,19.099,27.309,26.833,21.083,27.408,28.285,21.559,15.47,18.741,19.813,21.164,13.74,17.337,10.3,-7.591,23.805
total-provision-income-taxes,58.0,61.0,62.0,55.0,62.0,103.0,72.0,-54.0,-16.0,-84.0,54.0,16.0,50.0,47.0,40.0,26.0,52.0,62.0,39.0,48.216,8.427,10.702,5.655,-7.791,3.865,15.481,24.445,22.713,-1.966,-21.267,11.033,12.082,10.236,10.287,10.309,12.351,9.18,6.5,6.491,-5.192,3.246,1.7,7.535,4.279,10.829,11.01,8.608,10.101,10.772,8.245,5.878,7.097,7.472,8.012,5.15,6.605,3.489,-2.885,9.046
