,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,12397.0,11760.0,10816.0,10998.0,10794.0,10465.0,10037.0,10433.0,10325.0,9930.0,9434.0,10115.0,10536.0,9844.0,9312.0,10215.0,10073.0,9785.0,9425.0,10482.0,10557.0,10934.0,10264.0,11320.0,11032.0,11010.0,10671.0,11737.0,11488.0,12311.0,11731.0,12294.0,12022.0,12151.0,11580.0,12094.0,11125.0,11346.0,11422.0,10093.2,6049.7,5899.9,5385.2,6032.2,5943.9,6051.8,5822.1,6242.799,6074.1,6111.4,5769.4,6044.1,5410.4,5771.7,5409.8,5765.999,5416.2,5467.5,5362.2
cost-goods-sold,3990.0,3401.0,3052.0,3289.0,3619.0,3417.0,3184.0,3440.0,3307.0,3116.0,3049.0,3471.0,3409.0,3578.0,3572.0,3850.0,3761.0,3754.0,3569.0,3749.0,4223.0,4893.0,3903.0,4607.0,4104.0,4284.0,3959.0,4160.0,4137.0,4112.0,4037.0,4176.0,4352.0,4284.0,4059.0,4440.0,4191.0,4549.0,5216.0,4901.0,1430.3,1353.9,1333.8,1470.5,1477.9,1396.5,1238.1,1544.9,1517.7,1552.3,1525.8,1669.1,1544.1,1445.2,1342.7,1478.8,1238.8,1160.6,1271.4
gross-profit,8407.0,8359.0,7764.0,7709.0,7175.0,7048.0,6853.0,6993.0,7018.0,6814.0,6385.0,6644.0,7127.0,6266.0,5740.0,6365.0,6312.0,6031.0,5856.0,6733.0,6334.0,6041.0,6361.0,6713.0,6928.0,6726.0,6712.0,7577.0,7351.0,8199.0,7694.0,8118.0,7670.0,7867.0,7521.0,7654.0,6934.0,6797.0,6206.0,5192.2,4619.4,4546.0,4051.4,4561.7,4466.0,4655.3,4584.0,4697.899,4556.4,4559.1,4243.6,4375.0,3866.3,4326.5,4067.1,4287.199,4177.4,4306.9,4090.8
research-development-expenses,3204.0,2189.0,1931.0,2214.0,2068.0,2274.0,3196.0,2314.0,4413.0,1782.0,1830.0,4787.0,1664.0,2151.0,1659.0,1797.0,1500.0,1670.0,1737.0,2283.0,1659.0,1664.0,1574.0,1835.0,1660.0,2101.0,1907.0,2223.0,1918.0,2165.0,1862.0,2419.0,1954.0,1936.0,2158.0,4559.0,2322.0,2179.0,2051.0,1971.5,1254.0,1395.3,1224.2,1386.3,1171.1,1169.3,1078.3,1381.8,1440.5,1030.5,1030.0,1723.0,945.4,1172.5,942.0,1112.0,942.6,946.8,846.6
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,9783.0,8302.0,7408.0,8146.0,8130.0,8199.0,8888.0,8397.0,10179.0,7398.0,7351.0,11106.0,7466.0,8187.0,7549.0,8263.0,7733.0,8048.0,7907.0,8956.0,8857.0,9530.0,8211.0,9423.0,8567.0,9525.0,8853.0,9773.0,9118.0,9526.0,8973.0,10299.0,9646.0,9745.0,9381.0,12535.0,9705.0,9903.0,10489.0,10327.6,4409.8,4478.7,4190.9,4718.9,4379.3,4496.0,4170.8,4646.3,4909.6,4666.5,4357.8,5737.9,4860.1,4351.7,3999.7,4729.9,3842.8,3856.9,3723.5
operating-income,2614.0,3458.0,3408.0,2852.0,2664.0,2266.0,1149.0,2036.0,146.0,2532.0,2083.0,-991.0,3070.0,1657.0,1763.0,1952.0,2340.0,1737.0,1518.0,1526.0,1700.0,1404.0,2053.0,1897.0,2465.0,1485.0,1818.0,1964.0,2370.0,2785.0,2758.0,1995.0,2376.0,2406.0,2199.0,-441.0,1420.0,1443.0,933.0,-234.3994,1639.9,1421.2,1194.3,1313.299,1564.6,1555.8,1651.3,1596.5,1164.5,1444.9,1411.6,306.1992,550.2998,1420.0,1410.1,1036.099,1573.4,1610.6,1638.7
total-non-operating-income-expense,-267.0,-199.0,-341.0,-247.0,1.0,-180.0,196.0,-157.0,54.0,-93.0,-80.0,-365.0,-183.0,-153.0,-139.0,-1136.0,57.0,-930.0,-137.0,10285.0,-210.0,487.0,38.0,-672.0,-940.0,-240.0,-268.0,-630.0,-152.0,-105.0,-251.0,-414.0,-24.0,-734.0,-470.0,-261.0,-922.0,-202.0,-317.0,6697.299,3436.9,546.1,588.7,643.3,-122.5,533.6,2791.6,-4655.6,900.1,787.3,842.8,605.6998,680.5001,688.3,560.3,483.7998,425.0,314.3,282.0
pre-tax-income,2347.0,3259.0,3067.0,2605.0,2665.0,2086.0,1345.0,1879.0,200.0,2439.0,2003.0,-1356.0,2887.0,1504.0,1624.0,816.0,2397.0,807.0,1381.0,11811.0,1490.0,1891.0,2091.0,1225.0,1525.0,1245.0,1550.0,1334.0,2218.0,2680.0,2507.0,1581.0,2352.0,1672.0,1729.0,-702.0,498.0,1241.0,616.0,6462.9,5076.8,1967.3,1783.0,1956.601,1442.1,2089.4,4442.9,-3059.1,2064.6,2232.2,2254.4,911.8995,1230.8,2108.3,1970.4,1519.9,1998.4,1924.9,1920.7
total-provision-income-taxes,440.0,615.0,205.0,827.0,707.0,370.0,604.0,2917.0,251.0,488.0,447.0,-770.0,699.0,295.0,494.0,-166.0,566.0,119.0,423.0,4483.0,648.0,-142.0,360.0,409.0,375.0,310.0,-66.0,385.0,455.0,860.0,740.0,38.0,628.0,-382.0,658.0,-202.0,126.0,461.0,286.0,-59.7,1621.5,379.0,327.2,282.2001,318.2,290.2,1108.4,-1549.7,539.1,555.8,550.1,437.9999,290.2,609.0,450.4,400.2001,577.5,1204.3,550.6
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,1901.0,2670.0,2915.0,1827.0,1950.0,1707.0,736.0,-1047.0,-56.0,1946.0,1551.0,-594.0,2184.0,1205.0,1125.0,976.0,1826.0,687.0,953.0,7316.0,895.0,2004.0,1705.0,781.0,1124.0,906.0,1593.0,908.0,1729.0,1792.0,1736.0,1505.0,1689.0,2020.0,1043.0,-534.0,342.0,752.0,299.0,6447.4,3424.3,1556.3,1425.0,1624.4,1092.7,1768.3,3302.6,-1639.4,1525.5,1676.4,1704.3,473.8997,940.6,1499.3,1520.0,1119.7,1420.9,720.6,1370.1
ebitda,3459.0,4431.0,4306.0,3850.0,3758.0,3556.0,2286.0,3203.0,1300.0,3694.0,3276.0,194.0,4245.0,3207.0,3324.0,3512.0,3910.0,3345.0,3155.0,3099.0,3311.0,3157.0,3807.0,3851.0,4170.0,3140.0,3492.0,3625.0,4093.0,4589.0,4548.0,3856.0,4279.0,4238.0,4030.0,1425.0,3300.0,3391.0,2620.0,1015.301,2033.6,1910.5,1637.6,1787.099,1955.8,1930.7,2042.4,2095.5,1653.2,1945.0,1912.0,849.1991,1113.6,1958.7,2033.5,1541.999,1996.5,2009.9,2018.5
