,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,186.3,215.4,216.6,216.8,202.3,193.9,183.1,187.9,178.8,157.8,196.9,196.5,177.5,173.2,190.5,193.3,183.5,189.9,180.0,184.4,168.8,188.749,182.924,204.06,202.467,174.151,156.472,149.14,133.437,132.965,129.777,122.811,110.452,107.412,102.374,100.44,91.858,93.928,90.83,92.768,85.122,86.079,86.531,83.952,69.965,56.082,61.765,56.742,48.266,33.637,40.97,37.135,33.543,32.026,29.809,27.33,25.114,26.096,19.961
cost-goods-sold,49.7,50.6,48.6,52.1,49.7,45.7,44.1,44.4,43.0,42.5,44.3,44.4,40.0,40.0,40.2,40.6,36.5,38.3,36.3,37.9,34.9,30.979,26.609,26.131,25.481,22.155,20.334,19.884,17.327,16.953,17.228,16.117,14.361,12.524,11.133,12.046,11.011,11.261,10.88,11.083,11.062,11.185,11.232,11.06,9.79,9.052,8.263,7.69,7.335,7.602,7.577,7.529,8.105,8.064,7.505,6.272,5.803,5.655,5.297
gross-profit,136.6,164.8,168.0,164.7,152.6,148.2,139.0,143.5,135.8,115.3001,152.6,152.1,137.5,133.2,150.3,152.7,147.0,151.6,143.7,146.5,133.9,157.77,156.315,177.929,176.986,151.996,136.138,129.256,116.11,116.012,112.549,106.694,96.091,94.888,91.241,88.394,80.847,82.667,79.95,81.685,74.06,74.894,75.299,72.892,60.175,47.03,53.502,49.052,40.931,26.035,33.393,29.606,25.438,23.962,22.304,21.058,19.311,20.441,14.664
research-development-expenses,21.3,20.9,21.5,22.4,21.1,17.7,18.5,16.8,17.8,18.8,17.6,18.6,19.4,19.5,17.2,16.7,17.2,18.7,16.7,17.5,22.6,20.21,13.397,17.09,16.803,14.575,13.618,14.107,11.4,12.144,11.753,10.243,8.505,9.23,6.667,6.092,5.762,5.253,5.885,5.059,5.676,4.381,4.543,4.615,4.375,-66.01,31.161,27.306,26.025,-62.261,22.89,24.765,26.245,23.513,21.967,19.03,18.466,16.025,15.54
selling-general-administrative-expenses,135.5,149.8,140.6,135.2,129.9,112.5,107.9,107.4,107.2,85.6,122.1,120.3,111.9,91.4,90.5,90.8,86.5,96.6,91.3,92.7,85.4,84.35,87.631,77.84,77.279,71.507,64.602,59.563,56.128,56.583,54.7,50.986,46.114,43.881,42.75,43.716,39.494,39.798,40.84,42.104,38.672,36.017,35.496,34.96,32.411,23.301,30.157,30.482,26.488,20.522,19.595,16.21,14.193,14.431,12.291,11.628,10.898,13.158,9.834
other-operating-income-expenses,-0.7,0.3,,-1.0,-0.4,-0.2,1.2,-13.0,73.2,2.7,-5.2,3.8,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,207.2,221.0,210.7,210.7,201.1,176.1,169.3,181.6,94.8,144.2,189.2,179.5,171.8,150.9,147.9,148.1,140.2,153.6001,144.3,148.1,142.9,135.539,127.637,121.061,119.563,108.237,98.554,93.554,84.855,85.68,83.681,77.346,68.98,65.635,60.55,61.854,56.267,56.312,57.605,58.246,55.41,51.583,51.271,50.635,46.576,-33.657,69.581,65.478,59.848,-34.137,50.062,48.504,48.543,46.008,41.763,36.93,35.167,34.838,30.671
operating-income,-20.9,-5.6,5.9,6.1,1.2,17.8,13.8,6.3,84.0,13.6001,7.7,17.0,5.7,22.3,42.6,45.2,43.3,36.2999,35.7,36.3,25.9,53.21,55.287,82.999,82.904,65.914,57.918,55.586,48.582,47.285,46.096,45.465,41.472,41.777,41.824,38.586,35.591,37.616,33.225,34.522,29.712,34.496,35.26,33.317,23.389,89.739,-7.816,-8.736,-11.582,67.774,-9.092,-11.369,-15.0,-13.982,-11.954,-9.6,-10.053,-8.742,-10.71
total-non-operating-income-expense,-1.4,-2.1,-2.6,-2.5,-0.4,0.2,-0.5,-0.7,-0.8,-1.5,0.3,-4.9,-1.7,2.1,0.5,-0.2,0.2,-0.7,-0.2,1.6,,-0.724,2.056,1.145,0.923,1.338,1.323,1.399,1.24,1.186,1.385,1.318,0.333,0.33,0.488,0.468,0.587,0.989,1.255,1.817,1.698,2.206,2.913,3.437,1.429,2.952,3.185,3.669,3.583,4.472,3.155,2.573,2.575,2.558,2.383,1.648,0.811,-1.21,0.724
pre-tax-income,-22.3,-7.7,3.3,3.6,0.8,18.0,13.3,5.6,83.2,12.1,8.0,12.1,4.0,24.4,43.1,45.0,43.5,35.6,35.5,37.9,25.9,52.486,57.343,84.144,83.827,67.252,59.241,56.985,49.822,48.471,47.481,46.783,41.805,42.107,42.312,39.054,36.178,38.605,34.48,36.339,31.41,36.702,38.173,36.754,24.818,92.691,-4.631,-5.067,-7.999,72.246,-5.937,-8.796,-12.425,-11.424,-9.571,-7.952,-9.242,-9.952,-9.986
total-provision-income-taxes,-1.7,-3.4,-3.6,1.0,1.6,3.5,4.3,-25.3,4.5,3.8,3.8,6.2,5.2,9.1,8.6,7.9,13.2,16.8,14.1,13.9,9.9,18.881,20.573,33.784,28.362,23.116,21.349,21.949,19.686,19.33,17.866,18.487,16.706,16.066,14.372,14.863,13.64,-14.646,1.229,0.98,0.968,,-0.094,,0.287,,,0.0,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,-20.6,-4.3,6.9,2.6,-0.8,14.5,9.0,30.9,78.7,8.3,4.2,5.9,-1.2,15.3,34.5,37.1,30.3,18.8,21.4,24.0,16.0,33.605,36.77,50.36,55.465,44.136,37.892,35.036,30.136,29.141,29.615,28.296,25.099,26.041,27.94,24.191,22.538,53.251,33.251,35.359,30.442,36.702,38.267,36.754,24.531,92.083,-4.631,-5.067,-7.999,72.246,-5.937,-8.796,-12.425,-11.424,-9.571,-7.952,-9.242,-9.952,-9.986
income-from-discontinued-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.062,-12.949,-15.551,-10.077,,,,,,,,,,,,,,
net-income,-20.6,-4.2,6.9,2.6,-0.7,14.5,9.1,30.9,78.8,8.5,4.2,5.9,-1.2,15.3,34.5,37.1,30.3,18.8,21.4,24.0,16.0,33.605,36.77,50.36,55.465,44.136,37.892,35.036,30.136,29.141,29.615,28.296,25.099,26.041,27.94,24.191,22.538,53.251,33.251,35.359,30.442,23.64,25.318,21.203,14.454,65.542,-4.631,-5.067,-7.999,-7.804,-5.937,-8.796,-12.425,-11.424,-9.571,-7.952,-9.242,-9.952,-9.986
ebitda,-2.7,12.8,24.2,24.1,19.5,32.9,26.8,19.4,97.2,26.9001,20.6,29.9,14.9,29.1,49.1,51.9,50.1,42.8999,42.1,42.3,31.9,58.719,58.767,85.438,85.276,68.179,60.098,57.83,50.793,49.613,48.399,47.756,43.619,43.655,43.624,40.37,37.348,39.408,35.003,36.257,31.491,36.935,37.668,35.663,25.645,91.998,-5.529,-6.569,-9.514,69.782,-7.137,-9.545,-13.243,-12.178,-10.237,-7.909,-8.41,-7.196,-9.187
