,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31
revenue,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,,,,12.4,9.188,6.639,5.331,2.954,3.077,3.001,2.41,31.322,3.55,3.549,3.55,3.55,3.55,3.549,3.55,,2.366,,
research-development-expenses,47.372,27.708,26.19,19.028,15.91,17.218,16.618,8.169,14.361,13.689,11.917,10.023,8.783,9.279,8.13,8.375,6.672,6.73,6.616,,4.428,0.0,
selling-general-administrative-expenses,17.746,13.856,13.551,11.253,10.957,8.912,7.313,5.531,5.884,5.082,5.476,4.342,4.031,4.056,3.86,3.059,2.3,1.895,1.765,,1.327,,
other-operating-income-expenses,-80.0,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,145.118,41.564,39.741,30.281,26.867,26.13,23.931,13.7,20.245,18.771,17.393,14.365,12.814,13.335,11.99,11.434,8.972,8.625,8.381,,5.755,,
operating-income,-145.118,-41.564,-39.741,-17.881,-17.679,-19.491,-18.6,-10.746,-17.168,-15.77,-14.983,16.957,-9.264,-9.786,-8.44,-7.884,-5.422,-5.076,-4.831,,-3.389,,
total-non-operating-income-expense,3.332,3.172,2.271,2.205,1.89,1.078,0.78,0.68,0.447,0.309,0.221,0.074,0.033,0.026,0.02,-0.025,-0.04,0.001,0.331,,-0.452,,
pre-tax-income,-141.786,-38.392,-37.47,-15.676,-15.789,-18.413,-17.82,-10.066,-16.721,-15.461,-14.762,17.031,-9.231,-9.76,-8.42,-7.909,-5.462,-5.075,-4.5,,-3.841,0.0,
total-provision-income-taxes,0.016,-0.218,,,,,,,,,,,,,,,,,,,,0.0,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,0.0,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,0.0,
net-income,-141.802,-38.174,-37.47,-15.676,-15.789,-18.413,-17.82,-10.066,-16.721,-15.461,-14.762,17.031,-9.231,-9.76,-8.42,-8.54,-7.388,-6.782,-5.485,,-4.729,,
ebitda,-144.999,-41.445,-39.572,-17.6,-17.342,-19.123,-18.298,-10.406,-16.804,-15.433,-14.645,17.253,-8.98,-9.511,-8.184,-7.66,-5.174,-4.837,-4.577,,-3.212,,
ebit,-145.118,-41.564,-39.741,-17.881,-17.679,-19.491,-18.6,-10.746,-17.168,-15.77,-14.983,16.957,-9.264,-9.786,-8.44,-7.884,-5.422,-5.076,-4.831,,-3.389,,
basic-shares-outstanding,46.1331,46.066,40.5063,38.3869,40.1167,37.44,35.8272,32.8325,33.526,31.2008,31.0893,27.4758,26.47,26.3372,26.169,6.2928,2.6544,2.442,2.222,,1.707,,
shares-outstanding,46.1331,46.066,40.5063,38.3869,40.1167,37.44,35.8272,32.8325,33.526,31.2008,31.0893,27.4758,26.47,26.3372,26.169,6.2928,2.6544,2.442,2.222,,1.707,,
eps-basic-net-earnings-per-share,-3.07,-0.83,-0.93,-0.38,-0.39,-0.49,-0.5,-0.27,-0.5,-0.5,-0.47,0.66,-0.35,-0.37,-0.32,3.55,-2.78,-2.78,-2.47,,-2.77,,
eps-earnings-per-share-diluted,-3.07,-0.83,-0.93,-0.38,-0.39,-0.49,-0.5,-0.27,-0.5,-0.5,-0.47,0.66,-0.35,-0.37,-0.32,3.55,-2.78,-2.78,-2.47,0.0,-2.77,0.0,0.0
