,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,222.094,183.58,138.403,131.492,151.757,96.905,71.086,94.517,60.774,6.335,,,,,15.0,,,,19.769,,,,,0.73,0.729,0.73,0.73,21.947,9.357,10.569,11.267,11.11,41.634,12.157,12.512,13.657,14.448,4.643,0.753,0.74,0.733,0.733,0.747,0.729,0.761,0.734,1.751,0.532,0.54,0.048,0.104,9.44,1.074,9.244,19.476,14.111,64.745,33.169,11.864
cost-goods-sold,2.229,1.608,1.129,1.534,1.551,0.854,0.95,0.76,0.433,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,219.865,181.972,137.274,129.958,150.206,96.051,70.136,93.757,60.341,6.274,,,,,15.0,,,,19.769,,,,,0.73,0.729,0.73,0.73,21.947,9.357,10.569,11.267,11.11,41.634,12.157,12.512,13.657,14.448,4.643,0.753,0.74,0.733,0.733,0.747,0.729,0.761,0.734,1.751,0.532,0.54,0.048,0.104,9.44,1.074,9.244,19.476,14.111,64.745,33.169,11.864
research-development-expenses,45.278,61.687,37.652,39.107,35.482,36.988,48.947,25.614,22.463,21.868,51.882,22.583,20.942,26.863,23.903,21.809,24.388,18.719,16.575,15.498,12.194,10.161,8.572,8.918,9.49,10.527,10.313,9.097,9.86,8.818,9.388,8.002,7.456,8.176,7.317,8.065,8.227,7.283,7.576,4.665,7.401,10.808,10.848,12.138,12.993,16.186,14.227,24.34,19.795,18.789,19.061,18.608,25.223,26.112,27.735,24.765,26.627,29.633,25.603
selling-general-administrative-expenses,84.489,80.824,87.538,68.98,60.401,60.915,58.636,56.309,43.873,41.674,28.05,23.668,17.494,14.965,11.954,8.939,11.456,6.603,5.482,4.97,4.663,4.2,4.153,3.342,3.245,3.37,3.392,3.311,3.324,3.131,3.671,2.668,3.825,2.809,3.156,3.323,3.635,3.116,3.199,2.372,2.966,4.827,4.195,1.513,3.472,4.665,8.286,10.786,9.571,8.807,8.317,7.095,16.047,12.396,19.335,13.94,12.997,9.788,5.608
other-operating-income-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.957,-0.135,,,0.007,0.087,-0.076,-0.1,-2.398,-0.12,-0.134,-0.147,-0.126,-0.089,-0.941,-4.828,,,,,,,,,,,,,,,,
operating-expenses,131.996,149.119,239.4,109.621,97.434,98.757,108.533,82.683,66.769,63.603,79.932,46.251,38.436,41.828,35.857,30.748,35.844,25.322,22.057,20.468,16.857,14.361,12.725,12.26,12.735,13.897,13.705,13.365,13.319,11.949,13.059,10.663,11.194,11.061,10.573,13.786,11.982,10.533,10.922,9.72,10.456,16.576,19.871,31.444,16.465,20.851,22.513,129.126,29.366,27.596,27.378,25.703,41.27,38.508,47.07,38.705,39.624,39.421,31.211
operating-income,90.098,34.461,-100.997,21.871,54.323,-1.852,-37.447,11.834,-5.995,-57.268,-79.932,-46.251,-38.436,-41.828,-20.857,-30.748,-35.844,-25.322,-2.288,-20.468,-16.857,-14.361,-12.725,-11.53,-12.006,-13.167,-12.975,8.582,-3.962,-1.38,-1.792,0.447,30.44,1.096,1.939,-0.129,2.466,-5.89,-10.169,-8.98,-9.723,-15.843,-19.124,-30.715,-15.704,-20.117,-20.762,-128.594,-28.826,-27.548,-27.274,-16.263,-40.196,-29.264,-27.594,-24.594,25.121,-6.252,-19.347
total-non-operating-income-expense,-31.691,17.63,-1.597,-3.063,-3.559,-4.061,-4.371,-4.94,-5.13,-2.717,1.606,1.592,1.549,1.548,1.593,1.433,1.409,1.335,1.096,1.024,0.982,0.98,0.883,0.888,0.875,0.925,0.9,0.908,0.884,0.879,0.906,0.884,0.942,0.88,0.943,2.616,0.867,0.738,1.533,1.064,1.546,0.563,-0.541,1.861,-2.007,-0.854,-0.315,0.619,1.586,1.184,1.554,1.551,1.053,1.815,1.693,0.686,1.03,0.648,0.517
pre-tax-income,58.407,52.091,-102.594,18.808,50.764,-5.913,-41.818,6.894,-11.125,-59.985,-78.326,-44.659,-36.887,-40.28,-19.264,-29.315,-34.435,-23.987,-1.192,-19.444,-15.875,-13.381,-11.842,-10.642,-11.131,-12.242,-12.075,9.49,-3.078,-0.501,-0.886,1.331,31.382,1.976,2.882,2.487,3.333,-5.152,-8.636,-7.916,-8.177,-15.28,-19.665,-28.854,-17.711,-20.971,-21.077,-127.975,-27.24,-26.364,-25.72,-14.712,-39.143,-27.449,-25.901,-23.908,26.151,-5.604,-18.83
total-provision-income-taxes,4.618,0.753,-0.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,53.789,51.338,-102.115,18.078,50.764,-5.913,-41.818,6.894,-11.125,-59.985,-78.326,-44.659,-36.887,-40.28,-19.264,-29.315,-34.435,-23.987,-1.192,-19.444,-15.875,-13.381,-11.842,-10.642,-11.131,-12.242,-12.075,9.49,-3.078,-0.501,-0.886,1.331,31.382,1.976,2.882,2.487,3.333,-5.152,-8.636,-7.916,-8.177,-15.28,-19.665,-28.854,-17.711,-20.971,-21.077,-127.975,-27.24,-26.364,-25.72,-14.712,-39.143,-27.449,-25.901,-23.908,26.151,-5.604,-18.83
ebitda,96.596,40.736,-94.782,28.008,60.537,4.259,-31.558,17.598,-0.35,-53.494,-79.174,-45.437,-37.317,-40.461,-19.184,-28.757,-33.868,-23.503,-1.033,-19.197,-15.489,-13.176,-11.93,-10.639,-11.088,-12.276,-12.161,9.413,-2.809,-0.347,-1.017,1.158,31.197,1.922,2.68,0.558,3.062,-5.332,-9.741,-8.407,-8.964,-14.955,-18.165,-29.157,-13.733,-18.089,-18.709,-126.428,-26.615,-25.082,-24.713,-13.684,-37.565,-26.574,-24.928,-21.991,27.665,-3.747,-16.905
ebit,90.098,34.461,-100.997,21.871,54.323,-1.852,-37.447,11.834,-5.995,-57.268,-79.932,-46.251,-38.436,-41.828,-20.857,-30.748,-35.844,-25.322,-2.288,-20.468,-16.857,-14.361,-12.725,-11.53,-12.006,-13.167,-12.975,8.582,-3.962,-1.38,-1.792,0.447,30.44,1.096,1.939,-0.129,2.466,-5.89,-10.169,-8.98,-9.723,-15.843,-19.124,-30.715,-15.704,-20.117,-20.762,-128.594,-28.826,-27.548,-27.274,-16.263,-40.196,-29.264,-27.594,-24.594,25.121,-6.252,-19.347
basic-shares-outstanding,91.859,91.389,91.056,90.235,90.555,90.1,89.526,88.089,88.325,88.063,87.283,86.713,86.784,86.694,86.497,84.496,85.856,85.518,80.349,74.577,75.948,75.879,70.26,66.989,67.199,66.799,66.6,65.619,66.342,66.309,63.409,55.176,55.248,55.209,54.983,52.82,54.844,54.836,46.618,39.137,39.096,39.046,38.669,38.449,38.446,38.421,38.33,38.009,37.99,37.969,37.908,37.722,37.868,37.764,37.355,36.763,36.707,36.647,36.598
shares-outstanding,96.074,94.779,91.056,95.386,96.798,90.1,89.526,88.089,88.325,88.063,87.283,86.713,86.784,86.694,86.497,84.496,85.856,85.518,80.349,74.577,75.948,75.879,70.26,66.989,67.199,66.799,66.6,66.946,66.342,66.309,63.409,56.347,56.378,56.434,56.114,52.82,55.648,54.836,46.618,39.137,39.096,39.046,38.669,38.449,38.446,38.421,38.33,38.009,37.99,37.969,37.908,37.722,37.868,37.764,37.355,36.763,38.406,36.647,36.598
eps-basic-net-earnings-per-share,0.59,0.56,-1.12,0.21,0.56,-0.07,-0.47,0.09,-0.13,-0.68,-0.9,-0.52,-0.43,-0.46,-0.22,-0.36,-0.4,-0.28,-0.01,-0.25,-0.21,-0.18,-0.17,-0.16,-0.17,-0.18,-0.18,0.15,-0.05,-0.01,-0.01,0.02,0.57,0.04,0.05,0.07,0.06,-0.09,-0.19,-0.19,-0.21,-0.39,-0.51,-0.74,-0.46,-0.55,-0.55,-3.36,-0.72,-0.69,-0.68,-0.39,-1.03,-0.73,-0.69,-0.65,0.71,-0.15,-0.51
eps-earnings-per-share-diluted,0.56,0.54,-1.12,0.24,0.52,-0.07,-0.47,0.09,-0.13,-0.68,-0.9,-0.52,-0.43,-0.46,-0.22,-0.36,-0.4,-0.28,-0.01,-0.25,-0.21,-0.18,-0.17,-0.16,-0.17,-0.18,-0.18,0.15,-0.05,-0.01,-0.01,0.02,0.56,0.04,0.05,0.07,0.06,-0.09,-0.19,-0.19,-0.21,-0.39,-0.51,-0.74,-0.46,-0.55,-0.55,-3.36,-0.72,-0.69,-0.68,-0.39,-1.03,-0.73,-0.69,-0.62,0.68,-0.15,-0.51
