,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31
revenue,,,,,,,,,,,,,,,,,,,,
gross-profit,10.616,11.118,10.433,7.88,7.408,7.677,7.469,6.668,7.317,5.917,6.215,5.627,4.869,4.206,1.777,1.71,1.688,1.377,1.286,
research-development-expenses,27.513,25.46,23.709,19.918,23.237,23.467,22.493,21.17,17.481,15.565,13.431,11.331,7.861,7.423,5.225,4.39,3.458,1.966,1.371,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,
operating-expenses,35.944,38.578,34.242,28.626,31.507,31.272,29.899,31.383,23.192,21.934,19.163,16.449,12.566,11.152,8.471,7.2,4.989,4.799,2.481,
operating-income,-25.328,-27.46,-23.809,-20.746,-24.099,-23.595,-22.43,-24.715,-15.875,-16.017,-12.948,-10.822,-7.697,-6.946,-6.694,-5.49,-3.301,-3.422,-1.195,
total-non-operating-income-expense,1.694,1.777,1.869,1.68,1.397,1.376,1.074,0.752,0.519,0.424,0.317,0.259,0.215,0.046,0.005,,,,,
pre-tax-income,-23.634,-25.683,-21.94,-19.066,-22.702,-22.219,-21.356,-23.963,-15.356,-15.593,-12.631,-10.563,-7.482,-6.9,-6.689,-5.49,-3.301,-3.422,-1.195,
total-provision-income-taxes,,,,,,,,,,,,,,,,-0.25,-0.282,-0.382,-0.102,
income-after-taxes,,,,,,,,,,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,0.0,,,,
net-income,-23.634,-25.683,-21.94,-19.066,-22.702,-22.219,-21.356,-23.963,-15.356,-15.593,-12.631,-10.563,-7.482,-6.9,-6.689,-5.25,-3.019,-3.04,-1.093,
ebitda,-23.945,-26.138,-22.51,-19.519,-22.947,-22.522,-21.418,-23.882,-15.085,-15.306,-12.288,-10.417,-7.432,-6.699,-6.507,-5.366,-3.205,-3.355,-1.162,
ebit,-25.328,-27.46,-23.809,-20.746,-24.099,-23.595,-22.43,-24.715,-15.875,-16.017,-12.948,-10.822,-7.697,-6.946,-6.694,-5.49,-3.301,-3.422,-1.195,
basic-shares-outstanding,48.554,45.814,45.234,43.069,43.161,42.836,42.043,36.006,35.189,34.916,34.723,22.222,34.316,19.121,0.676,0.243,0.294,1.284,1.284,
shares-outstanding,48.554,45.814,45.234,43.069,43.161,42.836,42.043,36.006,35.189,34.916,34.723,22.222,34.316,19.121,0.676,0.243,0.294,1.284,1.284,
eps-basic-net-earnings-per-share,-0.49,-0.56,-0.49,-0.42,-0.53,-0.52,-0.51,-0.63,-0.44,-0.45,-0.36,9.05,-0.22,-0.36,-9.89,-37.53,-10.27,-2.37,-0.85,
eps-earnings-per-share-diluted,-0.49,-0.56,-0.49,-0.42,-0.53,-0.52,-0.51,-0.63,-0.44,-0.45,-0.36,9.05,-0.22,-0.36,-9.89,-37.53,-10.27,-2.37,-0.85,0.0
