,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,113.499,115.85,109.112,121.078,111.708,111.547,108.709,116.896,105.247,108.942,102.738,108.537,98.497,104.075,98.679,104.622,101.151,100.954,89.762,100.284,100.994,100.985,100.014,105.886,91.806,97.64,102.279,112.035,107.857,113.423,108.936,123.085,117.306,116.67,139.165,143.796,138.906,142.845,138.823,144.017,135.098,137.546,128.974,132.303,129.301,130.039,128.032,128.835,121.12,123.336,117.032,116.14,83.368,84.735,81.116,80.264,75.812,79.54,77.688
cost-goods-sold,24.896,25.812,23.708,25.626,24.02,22.835,24.147,23.562,23.717,23.177,22.581,23.32,19.88,22.516,22.137,21.411,23.865,21.91,19.339,21.457,25.268,25.414,26.773,34.123,25.064,21.884,25.841,18.504,24.384,27.547,21.378,23.239,23.854,23.186,33.361,32.669,32.266,34.087,32.694,36.75,31.985,36.909,32.806,34.73,47.998,35.048,34.238,34.486,30.742,33.008,30.796,29.96,21.007,21.199,21.459,21.924,20.193,20.775,20.896
gross-profit,88.603,90.038,85.404,95.452,87.688,88.712,84.562,93.334,81.53,85.765,80.157,85.217,78.617,81.559,76.542,83.211,77.286,79.044,70.423,78.827,75.726,75.571,73.241,71.763,66.742,75.756,76.438,93.531,83.473,85.876,87.558,99.846,93.452,93.484,105.804,111.127,106.64,108.758,106.129,107.267,103.113,100.637,96.168,97.573,81.303,94.991,93.794,94.349,90.378,90.328,86.236,86.18,62.361,63.536,59.657,58.34,55.619,58.765,56.792
research-development-expenses,7.982,8.98,9.229,8.792,9.598,7.891,6.937,8.454,6.935,6.887,7.424,7.509,6.858,6.796,7.64,7.57,6.523,6.451,5.845,6.176,6.572,6.313,5.933,6.115,6.361,8.551,5.741,5.418,6.858,9.252,7.05,5.207,5.982,6.229,6.052,7.077,7.375,8.37,7.528,5.624,7.863,8.886,9.087,11.444,6.447,6.599,6.354,5.907,5.953,6.023,6.337,6.442,42.865,2.721,2.964,3.089,2.595,2.956,3.126
selling-general-administrative-expenses,75.895,78.799,74.166,74.68,72.174,73.487,69.692,67.02,65.561,70.88,66.814,70.292,60.989,64.588,61.827,68.454,65.477,65.452,65.854,66.627,60.32,60.227,58.447,67.171,52.009,59.72,64.085,62.825,56.872,61.37,61.698,67.657,63.334,67.304,78.558,85.404,78.849,77.557,77.76,77.567,75.831,76.463,74.948,74.815,69.503,72.025,72.376,71.318,63.963,64.116,60.489,63.694,48.024,44.035,43.263,40.392,37.579,37.415,36.086
other-operating-income-expenses,-23.608,-1.808,-6.457,0.422,-2.009,-1.419,-0.063,,,,,0.0,-1.499,-12.87,,0.193,-1.147,-2.213,-5.916,-2.655,-2.326,-2.327,-8.306,-10.281,-2.664,,,-0.283,-0.373,-0.376,-0.31,-10.463,,,-46.0,0.3,-0.02,-0.211,12.551,,,,,,,,1.57,,,,,,,,,,,,
operating-expenses,132.381,115.399,113.56,108.676,107.801,105.632,100.839,99.036,96.213,100.944,96.819,101.121,89.226,106.77,91.604,97.242,97.012,96.026,96.954,96.331,94.486,94.281,100.043,115.965,105.907,90.72,96.211,87.554,89.052,99.125,91.016,107.274,93.707,97.274,165.226,126.355,119.912,121.635,106.878,122.038,117.347,123.901,118.474,122.863,418.818,118.502,116.441,137.129,105.329,107.718,102.09,102.468,113.825,69.664,69.456,26.965,62.002,62.807,61.735
operating-income,-18.882,0.451,-4.448,12.402,3.907,5.915,7.87,17.86,9.034,7.998,5.919,7.416,9.271,-2.695,7.075,7.38,4.139,4.928,-7.192,3.953,6.508,6.704,-0.029,-10.079,-14.101,6.92,6.068,24.481,18.805,14.298,17.92,15.811,23.599,19.396,-26.061,17.441,18.994,21.21,31.945,21.979,17.751,13.645,10.5,9.44,-289.517,11.537,11.591,-8.294,15.791,15.618,14.942,13.672,-30.457,15.071,11.66,53.299,13.81,16.733,15.953
total-non-operating-income-expense,-7.96,0.221,-0.661,-0.809,-5.235,-3.894,2.729,-1.242,0.464,0.661,-4.303,-3.709,-0.163,0.034,1.795,-0.233,-1.861,0.927,0.419,-2.094,-1.717,-0.129,-0.74,0.049,-2.02,-1.662,4.222,-1.339,-1.485,-0.605,-2.852,-3.138,-2.666,-2.54,-3.489,-1.62,-4.705,-4.436,-5.831,-5.929,-7.354,-4.37,-6.201,-15.906,-13.806,-3.478,-4.896,-6.357,-5.147,-5.555,-6.263,-4.132,-0.99,0.599,0.896,-42.423,39.773,-2.022,0.392
pre-tax-income,-26.842,0.672,-5.109,11.593,-1.328,2.021,10.599,16.618,9.498,8.659,1.616,3.707,9.108,-2.661,8.87,7.147,2.278,5.855,-6.773,1.859,4.791,6.575,-0.769,-10.03,-16.121,5.258,10.29,23.142,17.32,13.693,15.068,12.673,20.933,16.856,-29.55,15.221,14.289,16.774,26.114,16.05,10.397,9.275,4.299,-6.466,-303.323,8.059,6.695,-14.651,10.644,10.063,8.679,9.54,-31.447,15.67,12.556,10.876,53.583,14.711,16.345
