,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,35.989,38.826,30.122,50.246,45.885,43.625,41.987,52.028,42.314,40.176,32.546,35.499,32.251,31.359,29.089,32.382,29.861,30.388,27.088,28.681,27.845,26.401,23.537,28.768,24.671,24.337,21.164,22.145,22.115,22.616,20.944,23.6898,21.7139,19.0636,17.4137,18.8175,19.0341,19.2178,17.9455,20.8869,21.6093,17.2736,17.2565,17.2093,16.8602,18.9462,18.0888,19.8091,21.4153,21.3524,20.1091,17.7339,17.6393,17.5644,15.2173,18.0309,18.0768,17.4302,15.8283
cost-goods-sold,14.343,13.808,12.042,15.54,17.34,17.73,17.52,23.503,17.67,14.699,12.236,11.545,9.576,10.274,8.776,10.452,9.192,9.692,10.09,10.705,9.14,10.385,9.61,11.64,9.738,9.838,9.135,8.893,8.227,7.917,7.212,9.0944,8.1201,6.8026,6.1469,6.853,7.2204,7.0402,6.5415,8.5121,7.7057,7.3937,6.2844,7.5827,7.1447,7.8029,7.4459,8.2811,8.6475,7.8897,7.5844,6.24,6.3653,6.5328,5.618,7.2009,6.4322,7.9701,6.3706
gross-profit,21.646,25.018,18.08,34.706,28.545,25.895,24.467,28.525,24.644,25.477,20.31,23.954,22.675,21.085,20.313,21.93,20.669,20.696,16.998,17.976,18.705,16.016,13.927,17.128,14.933,14.499,12.029,13.252,13.888,14.699,13.732,14.5955,13.5938,12.261,11.2668,11.9646,11.8137,12.1776,11.4041,12.3748,13.9037,9.8799,10.9721,9.6266,9.7155,11.1433,10.643,11.5279,12.7678,13.4627,12.5247,11.4939,11.274,11.0316,9.5993,10.83,11.6446,9.46,9.4577
research-development-expenses,4.619,4.535,4.371,4.059,3.855,4.261,4.075,3.829,3.228,3.338,2.97,1.207,3.196,2.985,2.366,2.693,2.525,2.996,3.44,3.816,2.99,2.771,2.481,2.212,2.67,2.693,3.357,2.894,2.994,3.113,3.444,3.2963,5.5464,5.143,4.4202,4.0482,3.0084,3.0287,3.1068,4.661,2.9252,2.4326,3.3525,5.3917,4.1666,6.0995,4.5976,4.2396,3.6721,3.3044,2.9199,3.4977,1.7525,1.7485,1.6488,1.5185,1.2979,1.2541,1.1985
selling-general-administrative-expenses,16.511,14.949,16.225,18.135,13.833,16.076,20.89,14.535,14.097,15.252,13.969,15.674,13.335,13.751,15.248,15.145,16.608,14.979,13.849,16.723,14.833,16.248,17.064,17.153,14.323,17.382,19.261,16.508,13.822,15.126,13.94,11.5789,12.2523,9.4774,9.3995,8.8481,8.5166,9.6843,10.473,9.6659,9.2026,9.7237,9.4798,10.406,8.889,8.8518,9.0568,8.7309,10.0535,9.5739,9.0081,7.802,7.0422,7.3802,7.0642,7.1294,7.133,7.2439,7.0441
other-operating-income-expenses,12.536,-0.249,-1.295,,,,,,,,12.5,,,,,,,,,,,5.5,,,,,,,,,,,,,,,,,,-1.4512,,-3.0284,,,,,,,,,,,,,,,,,
operating-expenses,22.937,33.541,33.933,37.734,35.028,38.067,42.485,41.867,34.995,33.289,16.675,28.426,26.107,27.01,26.39,28.29,28.325,27.667,27.379,31.244,26.963,23.904,29.155,22.705,26.731,29.913,31.753,28.295,25.043,26.156,24.596,23.9696,25.9189,21.4229,19.9666,19.7493,18.7454,19.7532,20.1212,24.2902,19.8335,22.5784,19.1167,18.4967,20.2004,22.7542,21.1003,21.2516,22.3731,20.768,19.5124,16.9397,15.1601,16.2615,14.331,15.8489,14.8632,16.4682,14.6132
operating-income,13.052,5.285,-3.811,12.512,10.857,5.558,-0.498,10.161,7.319,6.887,15.871,7.073,6.144,4.349,2.699,4.092,1.536,2.721,-0.291,-2.563,0.882,2.497,-5.618,6.063,-2.06,-5.576,-10.589,-6.15,-2.928,-3.54,-3.652,-0.2797,-4.205,-2.3594,-2.5529,-0.9317,0.2887,-0.5353,-2.1757,-3.4033,1.7758,-5.3048,-1.8602,-1.2874,-3.3402,-3.808,-3.0114,-1.4425,-0.9577,0.5844,0.5967,0.7941,2.4793,1.3029,0.8864,2.182,3.2136,0.962,1.2151
total-non-operating-income-expense,1.195,0.524,0.524,1.629,0.51,0.736,0.412,0.118,0.113,0.096,0.467,0.092,0.498,-0.34,-0.192,0.379,0.081,-0.095,0.409,0.287,0.268,-0.142,0.118,0.164,0.041,0.042,-0.047,0.026,-0.034,-0.113,-0.121,-0.1591,-0.0297,-0.079,-0.0452,-0.0935,-0.0148,-0.015,-0.0197,-0.0538,0.0235,0.1451,0.2423,-4.3779,0.5874,0.7442,5.7454,1.0696,1.0854,0.9693,2.3886,0.992,0.92,0.8962,0.7906,0.7248,0.5945,0.4807,0.3463
pre-tax-income,14.247,5.809,-3.287,14.141,11.367,6.294,-0.086,10.279,7.432,6.983,16.338,7.165,6.642,4.009,2.507,4.471,1.617,2.626,0.118,-2.276,1.15,2.355,-5.5,6.227,-2.019,-5.534,-10.636,-6.124,-2.962,-3.653,-3.773,-0.4388,-4.2347,-2.4384,-2.5981,-1.0228,0.274,-0.5528,-2.1954,-3.4571,1.7993,-5.1597,-1.618,-5.6653,-2.7528,-3.0638,2.734,-0.3729,0.1277,1.5537,2.9853,1.7861,3.3993,2.1991,1.6769,2.9068,3.8081,1.4427,1.5613
total-provision-income-taxes,1.169,1.411,-0.029,3.843,3.271,2.173,2.033,2.963,1.669,1.555,3.897,-0.031,0.4,0.173,0.061,-0.145,0.147,0.658,0.005,0.376,0.01,-0.174,0.131,0.014,-0.127,-0.249,-0.41,-0.258,-0.527,-0.091,-0.521,-0.5537,-0.3153,,0.0,,0.0,0.0,,,0.0,0.0,0.0,23.6068,-0.9912,-0.8205,0.7322,-0.4002,0.1236,0.5991,1.4988,0.761,1.2648,0.9909,0.7773,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
