,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31
revenue,139.502,134.201,128.439,120.793,111.806,109.638,102.701,96.051,83.911,80.589,73.213,73.105,67.187,65.106,57.919,54.416,50.416,42.311,38.952,,32.464,
cost-goods-sold,43.504,40.273,44.529,42.081,36.794,37.386,36.144,32.324,29.134,29.66,25.504,26.525,24.313,23.636,18.014,17.958,16.919,14.936,12.224,,11.667,
gross-profit,95.998,93.928,83.91,78.712,75.012,72.252,66.557,63.727,54.777,50.929,47.709,46.58,42.874,41.47,39.905,36.458,33.497,27.375,26.728,,20.797,
research-development-expenses,13.733,13.462,11.667,10.867,9.092,8.193,8.013,8.401,8.132,8.094,7.034,6.113,6.497,6.264,5.001,5.484,4.56,4.792,3.191,,3.897,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,126.526,121.4,117.287,114.124,132.655,100.355,98.656,92.195,83.228,81.917,75.259,74.257,68.55,65.776,56.084,52.596,48.234,46.124,34.962,,32.153,
operating-income,12.976,12.801,11.152,6.669,-20.849,9.283,4.045,3.856,0.683,-1.328,-2.046,-1.152,-1.363,-0.67,1.835,1.82,2.182,-3.813,3.99,,0.311,
total-non-operating-income-expense,-0.013,0.713,0.757,0.68,0.941,0.38,0.459,0.05,0.556,0.41,0.295,-0.363,0.271,0.287,0.286,0.056,-0.098,-0.365,0.252,,0.088,
pre-tax-income,12.963,13.514,11.909,7.349,-19.908,9.663,4.504,3.906,1.239,-0.918,-1.751,-1.515,-1.092,-0.383,2.121,1.876,2.084,-4.178,4.242,,0.399,
total-provision-income-taxes,1.963,-2.735,1.455,0.885,1.598,-4.948,-1.938,-5.904,0.456,0.482,1.355,0.881,-12.998,-3.396,-0.17,0.243,1.183,-1.507,1.74,,0.227,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,
net-income,11.483,16.588,10.698,6.659,-18.93,13.381,5.491,9.083,0.238,-1.558,-3.106,-2.396,11.906,3.013,2.291,0.858,0.276,-0.553,0.503,,-1.192,
ebitda,15.029,14.734,12.956,8.217,-19.338,10.832,5.444,5.147,1.906,-0.423,-1.093,-0.4,-0.412,0.194,2.562,2.428,2.664,-3.406,4.328,,0.311,
ebit,12.976,12.801,11.152,6.669,-20.849,9.283,4.045,3.856,0.683,-1.328,-2.046,-1.152,-1.363,-0.67,1.835,1.82,2.182,-3.813,3.99,,0.311,
basic-shares-outstanding,34.84,34.694,34.507,34.1382,34.248,34.072,33.846,32.978,33.447,33.219,31.612,30.465,30.604,30.21,29.99,11.993,7.85,5.096,4.904,,4.688,
shares-outstanding,36.271,36.214,36.213,36.087,34.248,36.116,35.917,35.319,35.664,33.219,31.612,33.478,33.755,33.308,33.023,14.22,10.189,5.096,7.193,,4.688,
eps-basic-net-earnings-per-share,0.33,0.48,0.31,0.19,-0.55,0.39,0.16,0.28,0.01,-0.05,-0.1,-0.08,0.39,0.1,0.08,0.06,0.04,-0.11,0.1,,-0.25,
eps-earnings-per-share-diluted,0.32,0.46,0.3,0.21,-0.55,0.37,0.15,0.27,0.01,-0.05,-0.1,-0.07,0.35,0.09,0.07,0.09,0.03,-0.11,0.07,0.0,-0.25,0.0
