,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31
revenue,186.025,220.634,148.436,111.024,131.382,171.142,115.066,51.926,60.554,87.178,67.029,,41.671,61.28,
cost-goods-sold,158.734,185.734,123.706,94.119,107.2,144.824,99.183,41.4,48.037,71.227,54.829,,35.511,52.319,
gross-profit,,,,,,,,,,,,,,,
selling-general-administrative-expenses,29.345,24.45,20.538,18.728,17.621,16.943,18.968,10.484,10.739,9.277,7.405,,7.942,8.302,
other-operating-income-expenses,-2.31,-1.46,0.68,-3.03,0.35,-0.459,-0.141,,,,,,,,
operating-expenses,190.389,211.644,143.564,115.877,124.471,162.226,118.292,51.884,58.776,80.504,62.234,,43.453,60.621,
operating-income,-4.364,8.99,4.872,-4.853,6.911,8.916,-3.226,0.042,1.778,6.674,4.795,,-1.782,0.659,
total-non-operating-income-expense,-5.736,-2.191,-2.046,-1.818,-2.208,-2.498,-1.798,-0.013,-0.369,-0.604,-0.516,,-0.73,-0.061,
pre-tax-income,-10.1,6.799,2.826,-6.671,4.703,6.418,-5.024,0.029,1.409,6.07,4.279,,-2.512,0.598,
total-provision-income-taxes,-1.304,0.881,0.5,-1.415,0.801,1.02,-1.067,3.42,0.55,,,,,,
income-after-taxes,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,
net-income,-5.89,3.815,1.611,-3.474,2.221,2.499,-2.028,-3.267,-0.226,,,,,0.597,
ebitda,0.585,11.955,7.963,-1.313,10.124,12.108,-0.704,0.931,2.816,7.51,5.646,,-1.038,0.659,
ebit,-4.364,8.99,4.872,-4.853,6.911,8.916,-3.226,0.042,1.778,6.674,4.795,,-1.782,0.659,
basic-shares-outstanding,22.974,22.365,21.8,17.216,16.944,15.98,14.575,13.223,13.223,,,,,,
shares-outstanding,22.974,22.597,21.978,17.216,17.239,16.008,14.575,13.223,13.223,,,,,,
eps-basic-net-earnings-per-share,-0.26,0.17,0.07,-0.2,0.13,0.16,-0.14,-0.24,-0.02,,,,,,
eps-earnings-per-share-diluted,-0.26,0.17,0.07,-0.2,0.13,0.16,-0.14,-0.24,-0.02,0.0,0.0,0.0,0.0,0.0,0.0
