,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30
revenue,,,,,,,,,
gross-profit,0.241,0.703,0.653,0.257,0.411,,,,
research-development-expenses,9.028,7.781,5.721,5.676,4.354,3.19,2.235,,1.33
selling-general-administrative-expenses,,,,,,,,,
operating-expenses,11.831,10.185,8.037,7.917,5.41,4.107,2.878,,1.895
operating-income,-11.59,-9.482,-7.384,-7.66,-4.999,-4.107,-2.878,,-1.895
total-non-operating-income-expense,0.199,0.25,0.091,2.792,-2.902,-2.567,-1.525,,-0.665
pre-tax-income,,,,,,,,,
income-after-taxes,,,,,,,,,
income-from-continuous-operations,,,,,,,,,
net-income,-11.391,-9.232,-7.293,-4.868,-7.901,-6.674,-4.403,,-2.56
ebitda,-11.54,-9.439,-7.353,-7.637,-4.971,-4.08,-2.851,,-1.895
ebit,-11.59,-9.482,-7.384,-7.66,-4.999,-4.107,-2.878,,-1.895
basic-shares-outstanding,28.72,27.933,24.498,5.305,0.756,0.746,0.746,,0.743
shares-outstanding,28.72,27.933,24.498,5.305,0.756,0.746,0.746,,0.743
eps-basic-net-earnings-per-share,-0.4,-0.33,-0.3,20.81,-10.45,-8.95,-5.9,,-3.44
eps-earnings-per-share-diluted,-0.4,-0.33,-0.3,20.81,-10.45,-8.95,-5.9,0.0,-3.44
