,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,706.923,722.517,648.737,756.3491,674.313,703.362,643.972,641.6299,554.275,546.962,514.115,566.7701,514.489,536.242,498.016,450.58,563.436,563.906,526.901,441.0508,542.049,556.17,530.61,589.435,522.1,540.673,505.378,562.9039,509.604,521.79,510.89,539.33,452.935,479.065,447.178,467.391,419.143,421.613,393.62,300.3029,377.036,438.27,435.157,217.2359,478.747,504.965,458.72,453.019,435.668,437.29,402.9,358.3131,386.917,377.001,355.454,387.6581,359.982,368.017,358.174
cost-goods-sold,364.648,374.724,340.931,380.099,341.986,363.222,351.75,334.201,285.308,289.36,274.359,289.5991,265.939,282.688,262.93,228.838,308.833,311.394,291.527,233.459,298.74,308.186,294.897,313.1079,288.832,299.011,280.493,302.9231,278.864,282.996,278.876,300.3911,253.579,269.871,246.867,259.038,233.36,232.36,218.354,144.422,208.281,250.199,246.619,96.305,273.124,289.935,266.606,251.675,257.167,263.312,244.21,198.77,230.976,225.412,213.767,222.816,209.7,216.894,209.885
gross-profit,342.275,347.793,307.806,376.2501,332.327,340.14,292.222,307.4288,268.967,257.602,239.756,277.1711,248.55,253.554,235.086,221.742,254.603,252.512,235.374,207.5919,243.309,247.984,235.713,276.3271,233.268,241.662,224.885,259.9809,230.74,238.794,232.014,238.9389,199.356,209.194,200.311,208.353,185.783,189.253,175.266,155.8809,168.755,188.071,188.538,120.931,205.623,215.03,192.114,201.3439,178.501,173.978,158.69,159.5431,155.941,151.589,141.687,164.8421,150.282,151.123,148.289
research-development-expenses,45.376,48.344,47.98,51.97,48.848,47.196,45.984,37.733,34.885,33.56,33.286,32.832,29.513,31.868,29.971,16.641,31.095,32.683,32.12,17.882,30.444,30.352,29.379,32.409,31.41,34.404,34.177,32.734,32.408,34.069,32.624,31.502,30.102,28.032,26.185,25.014,23.814,22.922,23.061,15.144,23.301,25.812,26.234,10.07,26.192,28.924,27.847,22.043,27.691,27.316,27.841,20.808,24.762,25.036,22.842,21.022,21.676,22.082,22.591
selling-general-administrative-expenses,204.171,201.553,198.857,210.539,196.769,204.88,199.725,176.376,152.775,149.859,147.008,152.381,142.6,150.952,144.538,146.876,147.728,146.742,145.873,205.522,142.997,147.253,152.437,139.826,142.78,147.795,151.497,175.344,145.442,149.735,156.849,220.176,133.119,138.403,132.695,121.921,120.552,123.254,121.586,110.892,112.755,124.039,129.135,83.985,129.8,141.75,130.834,123.649,106.406,109.357,101.765,93.312,94.664,92.655,89.853,88.02,87.9,92.711,96.826
other-operating-income-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.346,,-3.246,,1.505,,1.438,0.461,-0.397,
operating-expenses,628.263,630.782,595.407,640.6661,594.111,615.298,604.037,548.0469,476.237,472.779,464.304,474.8121,438.708,469.976,437.439,401.0641,487.538,495.775,469.52,456.2189,483.273,486.533,478.848,495.7119,464.146,500.457,469.477,589.171,466.386,472.003,474.508,565.1871,416.8,439.646,405.747,415.1029,377.726,388.369,363.001,269.801,355.133,400.05,409.836,190.8389,435.611,460.304,425.287,404.2009,389.832,389.186,379.756,312.7859,350.402,341.308,326.462,338.24,318.815,346.329,329.496
operating-income,78.66,91.7351,53.33,115.6829,80.202,88.064,39.935,93.583,78.038,74.183,49.811,91.958,75.781,66.266,60.577,49.5159,75.898,68.131,57.381,-15.1681,58.776,69.637,51.762,93.7231,57.954,40.216,35.901,-26.267,43.218,49.787,36.382,-25.8571,36.135,39.419,41.431,52.2881,41.417,33.244,30.619,30.502,21.903,38.22,25.321,26.397,43.1361,44.661,33.433,48.818,45.836,48.104,23.144,45.5271,36.515,35.693,28.992,49.4182,41.167,21.688,28.678
total-non-operating-income-expense,-15.406,-19.908,-16.565,-36.254,-2.161,-16.356,-11.43,-12.694,27.016,-3.391,-9.828,-22.772,-11.263,-5.393,-11.086,-9.911,-11.944,-10.843,-9.421,-9.92,-10.966,-8.964,-11.289,-26.865,-12.34,-12.865,-12.04,-11.896,-11.872,-11.358,-12.83,-12.831,-3.916,-4.271,-5.756,-3.468,-6.68,21.653,-3.122,-2.219,-4.55,-4.181,-4.837,-27.731,-6.049,-4.949,-5.31,-5.401,-5.28,-3.43,-2.766,-1.248,0.223,-1.814,0.173,-52.739,-6.048,-7.445,-8.059
pre-tax-income,63.254,71.827,36.765,79.429,78.041,71.708,28.505,80.889,105.054,70.792,39.983,69.186,64.518,60.873,49.491,39.605,63.954,57.288,47.96,-25.088,47.81,60.673,40.473,66.858,45.614,27.351,23.861,-38.163,31.346,38.429,23.552,-38.688,32.219,35.148,35.675,48.82,34.737,54.897,27.497,28.283,17.353,34.039,20.484,-1.334,37.087,39.712,28.123,43.417,40.556,44.674,20.378,44.279,36.738,33.879,29.165,-3.321,35.119,14.243,20.619
total-provision-income-taxes,4.644,2.686,1.312,8.107,2.596,7.035,2.47,119.333,8.508,8.066,3.921,6.897,10.601,3.117,7.747,-4.976,9.057,8.292,7.649,-25.375,4.912,8.67,5.522,-7.083,4.851,0.077,-8.428,-24.819,2.357,4.861,1.476,44.536,4.215,6.047,8.384,3.272,8.192,7.718,7.861,6.072,4.025,10.799,5.802,-0.21,-4.596,10.12,7.384,-9.907,9.454,11.371,5.559,7.642,7.823,7.559,7.145,2.78,8.65,-16.319,5.017
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,58.61,69.141,35.453,71.322,75.445,64.673,26.035,-38.444,96.546,62.726,36.062,62.289,53.917,57.756,41.744,44.581,54.897,48.996,40.311,0.287,42.898,52.003,34.951,73.941,40.763,27.274,32.289,-13.344,28.989,33.568,22.076,-83.224,28.004,29.101,27.291,45.548,26.545,47.179,19.636,22.211,13.328,23.24,14.682,-1.124,41.683,29.592,20.739,53.324,31.102,33.303,14.819,36.637,28.915,26.32,22.02,-6.101,26.469,30.562,15.602
income-from-discontinued-operations,-0.052,-0.054,-0.041,-0.03,1.103,-0.61,-0.011,-2.673,-5.468,141.343,2.541,2.56,4.21,6.101,5.722,23.673,-0.034,-0.022,0.023,30.5,-0.621,-1.513,-0.727,-7.068,-0.565,0.651,-0.073,-2.512,0.605,0.065,0.493,-0.417,8.618,0.66,-2.378,250.01,-13.154,10.464,4.755,14.217,0.261,-1.735,-4.123,31.787,10.219,-5.886,-0.601,-0.762,-0.357,0.384,-0.127,5.091,0.838,-1.835,1.597,193.649,5.364,-1.664,4.227
net-income,58.558,69.087,35.412,71.292,76.548,64.063,26.024,-41.117,91.078,204.069,38.603,64.849,58.127,63.857,47.466,68.254,54.863,48.974,40.334,30.787,42.277,50.49,34.224,66.873,40.198,27.925,32.216,-15.856,29.594,33.633,22.569,-83.641,36.622,29.761,24.913,295.558,13.391,57.643,24.391,36.428,13.589,21.505,10.559,30.663,51.902,23.706,20.138,52.562,30.745,33.687,14.692,41.728,29.753,24.485,23.617,187.548,31.833,28.898,19.829
ebitda,140.665,151.2701,104.943,164.8839,126.298,141.692,94.211,125.68,104.745,101.651,77.319,118.053,100.803,91.772,86.459,71.5069,104.305,98.372,90.877,11.2519,88.111,98.574,81.394,129.2651,92.133,72.566,67.414,5.37,74.756,83.1,73.751,13.5429,65.15,66.97,66.129,76.2881,64.846,56.955,51.255,54.809,36.462,61.272,47.8461,38.148,66.2871,67.396,55.411,68.646,65.337,67.924,43.68,62.3851,54.121,52.694,45.54,114.1782,62.789,41.559,46.808
ebit,78.66,91.7351,53.33,115.683,80.202,88.064,39.935,93.583,78.038,74.183,49.811,91.958,75.781,66.266,60.577,49.516,75.898,68.131,57.381,-15.168,58.776,69.637,51.762,93.7231,57.954,40.216,35.901,-26.267,43.218,49.787,36.382,-25.8571,36.135,39.419,41.431,52.288,41.417,33.244,30.619,30.5019,21.903,38.22,25.321,26.397,43.1361,44.661,33.433,48.818,45.836,48.104,23.144,45.5271,36.515,35.693,28.992,49.4181,41.167,21.688,28.678
basic-shares-outstanding,110.946,110.845,110.543,110.561,110.724,110.477,110.296,109.857,110.003,109.894,109.468,109.478,109.192,108.97,110.409,112.507,112.632,113.018,112.641,112.593,112.646,112.788,112.553,112.254,111.827,111.575,113.454,113.728,113.86,113.515,113.097,112.976,112.703,112.494,113.998,117.109,117.475,117.361,117.189,116.25,116.211,116.063,116.408,117.659,118.347,117.811,117.305,118.916,117.583,118.911,121.685,125.203,124.277,126.119,127.918,129.267,129.543,129.034,128.828
shares-outstanding,111.559,111.528,111.293,111.534,111.747,111.452,111.33,110.859,110.993,110.762,110.204,110.313,110.078,109.844,111.195,113.315,113.422,113.833,113.439,113.739,113.759,113.971,113.777,113.503,113.115,112.718,114.716,114.86,114.998,114.578,114.119,113.864,113.425,113.623,115.14,117.982,118.207,118.304,117.931,116.59,116.641,116.268,116.552,118.687,119.609,119.263,118.459,120.605,119.453,120.689,123.263,126.512,125.171,127.401,129.715,131.14,131.291,130.718,131.056
eps-basic-net-earnings-per-share,0.53,0.62,0.32,0.64,0.69,0.58,0.24,-0.37,0.83,1.86,0.35,0.59,0.53,0.59,0.43,0.61,0.49,0.43,0.36,0.27,0.38,0.45,0.3,0.6,0.36,0.25,0.28,-0.15,0.26,0.3,0.2,-0.73,0.32,0.26,0.22,2.53,0.11,0.49,0.21,0.31,0.12,0.19,0.09,0.26,0.44,0.2,0.17,0.45,0.26,0.28,0.12,0.35,0.24,0.19,0.18,1.45,0.25,0.22,0.15
eps-earnings-per-share-diluted,0.52,0.62,0.32,0.64,0.69,0.57,0.23,-0.37,0.82,1.84,0.35,0.58,0.53,0.58,0.43,0.6,0.48,0.43,0.36,0.28,0.37,0.44,0.3,0.58,0.36,0.25,0.28,-0.14,0.26,0.29,0.2,-0.73,0.32,0.26,0.22,2.5,0.11,0.49,0.21,0.31,0.12,0.18,0.09,0.27,0.43,0.2,0.17,0.43,0.26,0.28,0.12,0.34,0.24,0.19,0.18,1.43,0.24,0.22,0.15
