,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31
revenue,192.115,177.136,159.555,164.907,151.076,124.262,123.578,130.524,121.775,109.756,101.713,103.575,94.871,87.33,81.213,83.801,71.393,60.551,48.148,15.162,74.985,72.013,69.161,68.533,61.103,60.092,57.356,57.828,54.752,51.035,47.754,47.192,44.594,32.211,28.258,27.767,25.455,22.937,20.807,20.211,18.735,14.617,12.469,11.861,10.11,7.417,6.671,4.361,3.791,3.212,2.008,1.641,0.92,0.88,0.222
cost-goods-sold,69.035,60.718,52.859,54.595,49.107,42.19,47.763,51.016,48.151,45.117,42.315,42.638,39.23,36.873,37.162,41.808,39.823,30.036,18.955,-5.349,36.943,36.248,36.353,35.515,33.708,33.259,32.201,32.509,30.362,28.704,27.458,27.112,26.033,17.673,14.725,13.941,13.826,13.051,12.422,12.877,12.936,11.448,10.474,10.663,10.197,9.785,9.998,6.679,7.583,6.899,4.572,3.942,4.379,4.586,2.753
gross-profit,123.08,116.418,106.696,110.312,101.969,82.072,75.815,79.508,73.624,64.639,59.398,60.937,55.641,50.457,44.051,41.993,31.57,30.515,29.193,20.511,38.042,35.765,32.808,33.018,27.395,26.833,25.155,25.319,24.39,22.331,20.296,20.08,18.561,14.538,13.533,13.826,11.629,9.886,8.385,7.334,5.799,3.169,1.995,1.198,-0.087,-2.368,-3.327,-2.318,-3.792,-3.687,-2.564,-2.301,-3.459,-3.706,-2.531
research-development-expenses,30.779,32.264,31.954,27.202,22.336,18.801,20.267,18.782,20.141,18.029,17.5,16.034,13.734,12.953,12.989,12.897,10.035,12.069,8.207,7.286,7.158,6.677,6.779,6.424,5.771,5.174,4.396,5.847,6.559,6.521,5.432,5.804,4.638,6.832,4.589,4.438,3.698,4.583,3.847,3.351,3.404,3.272,3.204,3.536,3.263,3.382,2.923,3.17,2.231,2.52,2.47,2.208,2.083,2.053,1.75
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,175.111,169.533,152.29,148.674,144.211,119.937,123.578,131.292,119.728,113.114,107.021,107.71,92.453,88.618,88.912,96.417,86.188,74.61,55.414,13.994,77.861,77.293,71.047,68.327,78.416,65.914,63.562,63.914,63.223,61.554,58.649,57.703,54.362,47.126,35.531,37.492,33.733,32.837,31.537,32.173,32.215,31.062,29.941,39.218,29.944,29.556,26.683,20.414,18.373,15.621,12.806,10.84,10.453,9.887,7.128
operating-income,17.004,7.603,7.265,16.2331,6.865,4.325,,-0.768,2.047,-3.358,-5.308,-4.135,2.418,-1.288,-7.699,-12.616,-14.795,-14.059,-7.266,1.168,-2.876,-5.28,-1.886,0.206,-17.313,-5.822,-6.206,-6.086,-8.471,-10.519,-10.895,-10.511,-9.768,-14.915,-7.273,-9.725,-8.278,-9.9,-10.73,-11.962,-13.48,-16.445,-17.472,-27.357,-19.834,-22.139,-20.012,-16.053,-14.582,-12.409,-10.798,-9.199,-9.533,-9.007,-6.906
total-non-operating-income-expense,-15.874,-5.719,-2.561,-5.345,-5.012,-5.604,-6.236,-6.153,-4.153,-4.308,-4.573,-4.821,-5.369,-2.998,-2.926,-3.163,-3.146,-3.193,-3.152,-3.086,-7.948,-23.779,-4.193,-2.86,-3.972,-4.579,-4.328,-4.039,-3.918,-3.888,-3.839,-3.699,-3.794,-4.508,-2.575,-11.132,-3.822,-3.811,-3.761,-3.576,-3.442,-3.794,-2.173,-1.84,-1.832,-1.895,0.138,0.385,0.943,-0.263,-0.762,-1.681,0.116,0.294,-0.034
pre-tax-income,1.13,1.884,4.704,10.888,1.853,-1.279,-6.236,-6.921,-2.106,-7.666,-9.881,-8.956,-2.951,-4.286,-10.625,-15.779,-17.941,-17.252,-10.418,-1.918,-10.824,-29.059,-6.079,-2.654,-21.285,-10.401,-10.534,-10.125,-12.389,-14.407,-14.734,-14.21,-13.562,-19.423,-9.848,-20.857,-12.1,-13.711,-14.491,-15.538,-16.922,-20.239,-19.645,-29.197,-21.666,-24.034,-19.874,-15.668,-13.639,-12.672,-11.56,-10.88,-9.417,-8.713,-6.94
total-provision-income-taxes,0.278,0.482,0.326,0.995,0.194,0.412,0.333,-0.061,0.121,0.101,0.096,0.197,0.066,0.065,0.064,0.129,0.044,0.015,0.024,-0.078,0.021,0.052,0.065,-0.154,0.005,0.118,0.131,0.069,0.028,0.069,0.046,0.127,0.0,-11.339,0.0,,,,,,,,,,,,,,,,,,,,
