,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
revenue,,,,,,,,,,
gross-profit,,30.0,5.16,26.137,18.564,12.987,11.449,,1.512,
research-development-expenses,18.368,18.718,15.523,13.678,9.2,8.894,8.761,,6.061,
selling-general-administrative-expenses,,,,,,,,,,
operating-expenses,23.333,23.951,20.031,17.875,12.087,11.116,10.917,,7.39,
operating-income,-23.333,6.049,-14.871,8.262,6.477,1.871,0.532,,-5.878,
total-non-operating-income-expense,1.037,1.066,1.184,1.115,0.206,-0.074,-0.222,,-1.247,
pre-tax-income,,,,,,,,,,
income-after-taxes,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,
net-income,-22.296,7.115,-13.687,,0.0,0.0,0.0,,-7.125,
ebitda,-23.094,6.102,-15.051,8.016,6.481,1.932,0.578,,-5.878,
ebit,-23.333,6.049,-14.871,8.262,6.477,1.871,0.532,,-5.878,
basic-shares-outstanding,24.018,23.927,23.866,7.623,5.088,0.682,0.63,,0.581,
shares-outstanding,24.018,25.792,23.866,8.627,6.144,1.413,1.171,,0.581,
eps-basic-net-earnings-per-share,-0.93,0.3,-0.57,,,,0.0,,-12.26,
eps-earnings-per-share-diluted,-0.93,0.28,-0.57,0.0,0.0,0.0,0.0,0.0,-12.26,0.0
