,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31
revenue,71.416,85.522,53.583,86.338,53.591,68.743,56.062,78.03,41.853,47.962,26.547,25.191,22.986,15.633,18.895,12.734,9.776,6.774,7.482,12.657,1.694,1.677,9.217,4.411,16.289,6.854,7.142,6.65,7.1951,7.5852,12.5257,
cost-goods-sold,3.006,3.211,2.376,3.761,3.292,2.572,3.045,2.198,1.582,0.758,0.039,,,,,,,,,,,,,,,,,,,,,
gross-profit,68.41,82.311,51.207,82.577,50.299,66.171,53.017,75.832,40.271,47.204,26.508,25.191,22.986,15.633,18.895,12.734,9.776,6.774,7.482,12.657,1.694,1.677,9.217,4.411,16.289,6.854,7.142,6.65,7.1951,7.5852,12.5257,
research-development-expenses,63.076,59.979,52.566,53.646,54.368,32.607,31.363,29.234,30.024,30.835,27.363,26.011,31.396,28.827,31.399,35.048,30.64,28.19,27.938,26.871,18.765,18.313,15.889,15.02,13.886,14.712,11.257,9.46,10.4665,11.919,14.3033,
selling-general-administrative-expenses,49.284,49.215,40.544,48.666,38.368,33.545,32.969,35.482,31.423,28.866,25.5,24.172,23.654,23.366,25.938,25.887,21.368,17.21,17.615,18.017,10.53,8.733,7.54,7.484,6.679,6.595,4.461,3.23,3.7839,3.1644,4.4426,
other-operating-income-expenses,-9.5,-5.3,-21.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,131.891,124.28,122.723,131.476,101.821,74.317,72.805,72.578,72.745,60.459,52.902,50.183,55.05,52.193,57.337,60.935,52.008,45.4,45.553,44.888,29.295,27.046,23.429,22.504,20.565,21.307,15.718,12.69,14.2504,15.0834,18.746,
operating-income,-60.475,-38.758,-69.14,-45.1379,-48.23,-5.574,-16.743,5.452,-30.892,-12.497,-26.355,-24.992,-32.064,-36.56,-38.442,-48.201,-42.232,-38.626,-38.071,-32.231,-27.601,-25.369,-14.212,-18.093,-4.276,-14.453,-8.576,-6.04,-7.0553,-7.4982,-6.2202,
total-non-operating-income-expense,0.134,-2.257,-2.397,-4.185,-2.384,-3.557,-2.299,-3.353,-2.655,-4.828,-2.537,-1.44,-2.919,-2.447,-2.677,-2.495,-0.903,0.41,0.156,0.269,0.319,0.265,0.114,0.205,-0.14,-0.133,-6.108,-0.2455,-0.2418,1.4301,-0.3776,
pre-tax-income,-60.341,-41.015,-71.537,-49.323,-50.614,-9.131,-19.042,2.099,-33.547,-17.325,-28.892,-26.432,-34.983,-39.007,-41.119,-50.696,-43.135,-38.216,-37.915,-31.962,-27.282,-25.104,-14.098,-17.888,-4.416,-14.586,-14.684,-6.29,-7.2971,-6.0681,-6.5979,
total-provision-income-taxes,-0.344,0.774,0.576,-0.994,0.355,0.389,0.221,0.829,0.191,0.15,0.165,0.364,0.184,-0.093,0.114,0.252,0.088,0.145,,,,,,,,,,0.0,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
net-income,-59.997,-41.789,-72.113,-48.329,-50.969,-9.52,-19.263,1.27,-33.738,-17.475,-29.057,-26.796,-35.167,-38.914,-41.233,-50.948,-43.223,-38.361,-37.915,-27.269,-27.282,-25.104,-14.098,-17.888,-4.416,-14.586,-29.542,-6.29,-7.2971,153.5082,-6.5979,
ebitda,-52.645,-31.566,-62.199,-38.3119,-41.147,0.643,-10.691,11.558,-20.346,-11.399,-25.455,-23.826,-30.704,-35.161,-36.89,-46.173,-41.031,-37.512,-36.951,-31.307,-26.743,-24.311,-13.21,-17.508,-3.687,-13.856,-7.951,-5.3887,-6.3879,-6.8166,-5.5206,
ebit,-60.475,-38.758,-69.14,-45.138,-48.23,-5.574,-16.743,5.452,-30.892,-12.497,-26.355,-24.992,-32.064,-36.56,-38.442,-48.201,-42.232,-38.626,-38.071,-32.231,-27.601,-25.369,-14.212,-18.093,-4.276,-14.453,-8.576,-6.04,-7.0553,-7.4982,-6.2202,
basic-shares-outstanding,56.4635,55.913,55.8551,46.5763,48.0965,46.138,41.6266,39.1831,41.2967,39.622,34.306,34.0446,34.089,34.0003,33.919,33.6263,33.9089,33.601,33.068,31.5653,29.352,29.332,24.492,12.829,23.803,2.649,0.005,0.0033,0.005,0.0031,0.001,
shares-outstanding,56.4635,55.913,55.8551,46.5763,48.0965,46.138,41.6266,39.1831,41.2967,39.622,34.306,34.0446,34.089,34.0003,33.919,33.6263,33.9089,33.601,33.068,31.5653,29.352,29.332,24.492,12.829,23.803,2.649,0.005,0.0172,0.005,0.0108,0.001,
