,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31
eps-earnings-per-share-diluted,-0.35,-0.3,1.19,-0.24,-0.26,-2.02,-1.44,-0.87,-0.94,-0.71,0.0
research-development-expenses,8.168,7.457,5.418,7.857,4.962,3.936,4.51,3.573,3.149,2.291,
selling-general-administrative-expenses,,,,,,,,,,,
operating-expenses,12.242,10.907,7.826,10.137,7.104,5.879,7.093,4.732,4.256,3.176,
operating-income,-12.242,-10.907,-7.826,-10.137,-7.104,-5.879,-7.093,-4.732,-4.256,-3.176,
total-non-operating-income-expense,1.103,1.399,1.17,2.464,0.643,-4.165,-0.073,0.378,-0.404,-0.376,
pre-tax-income,,,,,,,0.0,,,,
income-after-taxes,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,0.0,,,,
net-income,-11.139,-9.508,-6.656,-7.673,-6.461,-10.044,-7.142,-4.354,-4.66,-3.552,
ebitda,-12.494,-11.301,-9.499,-9.556,-7.491,-5.967,-7.184,-4.701,-4.229,-3.153,
ebit,-12.242,-10.907,-7.826,-10.137,-7.104,-5.879,-7.093,-4.732,-4.256,-3.176,
basic-shares-outstanding,31.675,31.661,23.198,31.577,24.574,4.981,4.979,4.981,4.978,4.973,
shares-outstanding,31.675,31.661,23.198,31.577,24.574,4.981,4.979,4.981,4.978,4.973,
eps-basic-net-earnings-per-share,-0.35,-0.3,1.19,-0.24,-0.26,-2.02,-1.44,-0.87,-0.94,-0.71,
