,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-11-30,2012-09-30,2012-08-31,2012-06-30,2012-05-31,2012-03-31,2012-02-29,2011-12-31,2011-11-30,2011-09-30,2011-08-31,2011-06-30,2011-05-31,2011-03-31
revenue,44.373,44.707,39.57,43.771,40.706,41.337,38.432,42.177,40.34,38.8,33.62,37.327,33.945,33.311,29.008,30.447,28.005,24.068,17.372,14.0841,8.349,5.742,0.0279,,,,,,,,,,,,,,,,,,,
cost-goods-sold,1.513,0.979,1.017,1.603,1.133,1.178,1.613,1.174,0.925,0.797,0.709,1.203,1.573,1.021,0.757,0.761,0.513,0.637,0.274,0.3371,0.198,0.035,0.0009,,,,,,,8.236,,4.5954,,3.4783,,,,,,,,
gross-profit,42.86,43.728,38.553,42.168,39.573,40.159,36.819,41.003,39.415,38.003,32.911,36.124,32.372,32.29,28.251,29.686,27.492,23.431,17.098,13.747,8.151,5.707,0.027,,,,,,,-8.236,,-4.5954,,-3.4783,,,,,,,,
research-development-expenses,33.22,37.934,33.443,32.213,32.448,34.46,24.636,18.216,19.61,19.482,20.86,20.061,18.414,17.675,14.672,15.452,14.064,10.563,10.347,14.8967,12.646,13.31,6.9423,4.9202,1.3999,0.6052,0.1587,0.5518,,0.1107,,,,,,,,0.0,,0.0,,
selling-general-administrative-expenses,29.779,38.97,32.669,25.979,26.107,25.1,26.468,24.531,24.852,28.835,23.115,26.145,23.466,23.205,19.125,22.686,22.308,19.692,14.855,17.5477,17.372,9.579,15.1464,7.7128,3.7546,4.4947,1.7269,29.4441,0.0032,0.1131,0.003,0.1443,0.003,0.0802,,0.0543,0.003,0.0035,0.003,0.0035,0.003,0.0035
other-operating-income-expenses,-14.298,-3.353,-10.669,10.797,-16.601,-2.159,-3.627,-10.957,-4.429,-3.284,-3.344,-7.643,-10.468,-2.789,-2.695,-6.752,-6.906,-0.12,,,,,,,,,,,-0.0005,,-0.0005,,-0.0005,,,,-0.0005,,-0.0005,,-0.0005,
operating-expenses,78.81,81.236,77.798,48.756,76.289,62.897,56.344,57.354,50.948,52.398,48.028,55.549,54.317,44.69,37.249,45.651,48.501,31.012,25.476,32.7814,30.216,22.924,22.0896,12.633,5.1545,5.0999,1.8856,18.2353,0.0037,8.4597,0.0035,4.7397,0.0035,3.5585,,3.2532,0.0035,0.0035,0.0035,0.0035,0.0035,0.0035
operating-income,-34.437,-36.529,-38.228,-4.985,-35.583,-21.56,-17.912,-15.177,-10.608,-13.598,-14.408,-18.222,-20.372,-11.379,-8.241,-15.204,-20.496,-6.944,-8.104,-18.6973,-21.867,-17.182,-22.0617,-12.633,-5.1545,-5.0999,-1.8856,-18.2353,-0.0037,-8.4597,-0.0035,-4.7397,-0.0035,-3.5585,,-3.2532,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035
total-non-operating-income-expense,-2.576,-2.103,-2.348,-2.47,-18.518,-0.602,-0.237,4.139,-8.409,-1.556,1.254,5.935,-10.274,-9.416,14.387,2.21,164.835,-18.568,7.738,-10.3304,3.887,26.462,-53.6086,-1.101,-5.7433,0.0514,-2.9831,-0.0321,,-0.0207,,-0.0205,,-0.0136,,,,,,,,
pre-tax-income,-37.013,-38.632,-40.576,-7.455,-54.101,-22.162,-18.149,-11.038,-19.017,-15.154,-13.154,-12.287,-30.646,-20.795,6.146,-12.994,144.339,-25.512,-0.366,-29.0277,-17.98,9.28,-75.6703,-13.734,-10.8978,-5.0485,-4.8687,-21.8562,-0.0037,-8.4805,-0.0035,-4.7602,-0.0035,-3.572,,-3.2577,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035,-0.0035
