,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
eps-earnings-per-share-diluted,-0.59,-0.5,-0.42,2.3,-0.42,-2.43,-1.72,0.0,-1.48,-1.25,0.0
research-development-expenses,33.53,27.518,20.871,16.539,14.363,11.361,9.506,,6.126,4.821,
selling-general-administrative-expenses,,,,,,,,,,,
operating-expenses,48.482,41.285,34.406,29.122,27.554,20.384,14.603,,11.975,9.033,
operating-income,-48.482,-41.285,-34.406,-29.122,-27.554,-20.384,-14.603,,-11.975,-9.033,
total-non-operating-income-expense,1.467,1.895,1.825,1.939,1.192,-0.855,0.192,,0.056,-0.521,
pre-tax-income,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,
net-income,-47.015,-39.39,-32.581,-27.183,-26.362,-21.239,-14.411,,-11.919,-9.834,
ebitda,-47.634,-40.5,-33.745,-28.738,-27.177,-20.109,-14.376,,-11.833,-9.033,
ebit,-48.482,-41.285,-34.406,-29.122,-27.554,-20.384,-14.603,,-11.975,-9.033,
basic-shares-outstanding,79.115,78.397,77.544,39.285,62.311,8.727,8.355,,8.078,7.867,
shares-outstanding,79.115,78.397,77.544,39.285,62.311,8.727,8.355,,8.078,7.867,
eps-basic-net-earnings-per-share,-0.59,-0.5,-0.42,2.3,-0.42,-2.43,-1.72,,-1.48,-1.25,
