,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,213.263,218.447,195.199,174.513,169.424,170.173,140.59,129.605,135.291,108.223,109.131,105.275,106.315,95.402,111.155,93.477,84.072,77.096,82.157,74.326,75.853,68.308,68.271,67.409,70.969,73.558,57.328,63.912,49.832,48.823,48.245,48.887,20.666,13.054,12.171,8.146,15.991,36.878,46.455,21.769,11.646,9.408,9.142,10.068,8.079,10.004,7.085,7.836,4.637,5.611,4.336,2.583,2.441,2.84,2.141,2.319,2.632,2.2,2.606
cost-goods-sold,10.827,10.897,10.3,35.585,17.668,19.305,15.735,15.663,14.215,12.379,11.861,11.575,11.175,10.008,9.559,10.379,10.098,8.579,8.384,8.572,7.626,6.732,6.128,6.837,5.455,4.758,4.094,3.546,3.355,3.497,3.071,2.391,0.724,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,202.436,207.55,184.899,138.928,151.756,150.868,124.855,113.942,121.076,95.844,97.27,93.7,95.14,85.394,101.596,83.098,73.974,68.517,73.773,65.754,68.227,61.576,62.143,60.572,65.514,68.8,53.234,60.366,46.477,45.326,45.174,46.496,19.942,13.054,12.171,8.146,15.991,36.878,46.455,21.769,11.646,9.408,9.142,10.068,8.079,10.004,7.085,7.836,4.637,5.611,4.336,2.583,2.441,2.84,2.141,2.319,2.632,2.2,2.606
research-development-expenses,196.119,163.929,158.265,149.772,140.175,122.86,152.502,110.504,113.606,114.406,118.184,108.172,92.711,85.554,92.871,74.607,70.79,85.737,63.395,64.043,58.51,53.694,54.496,50.772,67.847,52.273,47.735,47.663,41.392,42.755,38.487,40.239,41.08,49.643,32.434,32.52,44.287,39.287,30.316,28.918,28.263,28.712,33.246,37.582,27.711,23.499,22.152,20.109,17.735,15.179,11.805,11.081,9.797,10.007,9.251,8.537,7.806,9.365,8.975
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,303.047,257.157,248.836,264.8241,214.998,200.457,234.419,174.617,167.488,167.497,168.449,161.124,138.727,128.844,132.177,118.621,110.572,124.659,103.9,102.05,91.478,85.951,84.642,83.09,94.753,80.567,73.715,74.62,63.589,66.114,63.743,67.584,61.599,64.84,45.147,43.042,51.325,45.754,35.547,34.47,32.219,32.731,37.402,41.944,31.398,27.593,26.087,24.415,21.032,17.993,14.625,13.827,12.416,12.409,11.558,10.316,9.47,11.222,10.82
operating-income,-89.784,-38.71,-53.637,-90.3111,-45.574,-30.284,-93.829,-45.012,-32.197,-59.274,-59.318,-55.849,-32.412,-33.442,-21.022,-25.144,-26.5,-47.563,-21.743,-27.724,-15.625,-17.643,-16.371,-15.681,-23.784,-7.009,-16.387,-10.708,-13.757,-17.291,-15.498,-18.697,-40.933,-51.786,-32.976,-34.896,-35.334,-8.876,10.908,-12.701,-20.573,-23.323,-28.26,-31.876,-23.319,-17.589,-19.002,-16.579,-16.395,-12.382,-10.289,-11.244,-9.975,-9.569,-9.417,-7.997,-6.838,-9.022,-8.214
total-non-operating-income-expense,-2.129,-40.528,40.308,-53.147,-21.872,106.557,-17.886,-47.546,82.218,2.914,-0.672,0.711,0.66,0.699,0.544,0.288,0.062,0.061,0.053,1.04,0.059,0.053,0.07,0.01,0.098,0.11,0.123,0.112,0.105,0.055,3.2,-8.468,0.248,0.28,0.302,0.35,0.478,0.553,0.552,0.584,0.746,0.852,0.992,1.279,1.555,1.561,1.89,1.638,1.782,1.832,1.461,1.224,1.326,0.926,0.714,0.648,0.667,0.662,0.661
pre-tax-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
