,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31
revenue,452.0,445.4,416.8,491.1561,432.4,436.6,411.3,460.3459,306.337,288.353,286.183,306.0009,282.682,289.681,267.074,263.322,239.599,232.827,224.143,,76.303,,
cost-goods-sold,353.1,340.4,326.1,359.7311,334.3,340.1,327.3,338.704,246.696,216.452,211.948,214.247,201.394,208.852,196.703,183.174,168.821,161.558,155.773,,45.377,,
gross-profit,,,,,,,,,,,,,,,,,,,,,,,
selling-general-administrative-expenses,19.9,23.3,21.7,23.858,19.4,26.1,24.2,21.376,20.378,18.655,15.541,18.041,14.985,15.023,12.197,21.048,11.236,11.846,11.862,,6.738,,
other-operating-income-expenses,-4.0,-9.3,-2.6,-143.987,-18.6,-12.7,-4.8,-4.055,-31.512,-5.142,-7.065,3.504,-14.909,-6.238,-15.084,-29.876,-7.977,-10.796,-10.402,,-1.7,,
operating-expenses,393.0,389.9,367.2,543.0181,387.4,393.1,370.1,380.002,307.907,250.614,244.462,237.595,239.834,238.733,232.794,242.194,195.325,191.826,185.792,,56.649,,
operating-income,59.0,55.5,49.6,-51.862,45.0,43.5,41.2,80.3439,-1.57,37.739,41.721,68.4059,42.848,50.948,34.28,21.128,44.274,41.001,38.351,,19.654,,
total-non-operating-income-expense,-45.7,-46.4,-44.4,-39.603,-37.2,-35.9,-34.3,-7.528,-17.638,-25.6,-25.182,-25.708,-30.208,-26.235,-22.153,-142.384,-26.573,-26.178,-25.756,,-11.263,,
pre-tax-income,13.3,9.1,5.2,-91.465,7.8,7.6,6.9,72.816,-19.208,12.139,16.539,42.698,12.64,24.713,12.127,-121.256,17.701,14.823,12.595,,8.391,,
total-provision-income-taxes,2.4,1.0,1.7,15.561,5.8,3.3,1.8,71.85,-20.929,0.512,2.117,4.599,-1.694,2.42,1.77,-157.35,3.917,2.344,2.107,,7.961,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,
net-income,-24.8,-28.6,-28.6,-156.232,-29.2,-27.4,-25.3,-40.024,-31.783,-4.471,-2.754,16.861,-2.338,2.12,-7.19,16.739,-3.122,-5.426,-6.762,,-6.908,,
ebitda,108.6,76.8,70.4,-31.224,63.9,62.7,58.8,101.4249,10.967,48.443,55.794,75.7579,55.568,63.556,45.915,32.235,55.762,51.879,49.032,,19.654,,
ebit,61.4,57.7,51.6,-49.2641,46.9,46.0,43.1,82.951,0.038,38.791,42.921,70.163,44.015,52.03,35.038,22.0389,45.594,41.84,39.058,,19.654,,
basic-shares-outstanding,48.31,48.291,48.047,48.028,48.038,48.016,48.007,48.319,48.315,48.146,48.02,48.019,48.02,48.02,48.017,36.066,32.054,32.054,32.054,,31.699,,
shares-outstanding,48.31,48.291,48.047,48.028,48.038,48.016,48.007,48.319,48.315,48.146,48.02,48.191,48.02,48.129,48.017,37.464,32.054,32.054,32.054,,31.699,,
eps-basic-net-earnings-per-share,-0.51,-0.59,-0.6,-3.25,-0.61,-0.57,-0.53,-0.83,-0.66,-0.09,-0.06,0.36,-0.05,0.04,-0.15,0.52,-0.1,-0.17,-0.21,,-0.22,,
eps-earnings-per-share-diluted,-0.51,-0.59,-0.6,-3.25,-0.61,-0.57,-0.53,-0.83,-0.66,-0.09,-0.06,0.36,-0.05,0.04,-0.15,0.52,-0.1,-0.17,-0.21,0.0,-0.22,0.0,0.0
