,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
eps-earnings-per-share-diluted,-0.76,-0.85,-0.64,-0.55,-0.52,-0.54,-0.84,-0.79,-0.66,-0.01,0.0,0.0
research-development-expenses,21.61,23.269,17.762,14.68,13.594,11.929,11.96,10.619,8.607,8.733,,
selling-general-administrative-expenses,,,,,,,,,,,,
operating-expenses,26.969,30.302,22.386,19.15,18.178,15.973,15.182,13.696,11.887,14.113,,
operating-income,-26.969,-30.302,-22.386,-19.15,-18.178,-15.973,-15.182,-13.696,-11.887,-14.113,,
total-non-operating-income-expense,0.444,0.72,0.465,0.13,0.198,0.096,0.689,0.191,0.576,0.238,,
pre-tax-income,,,,,,,0.0,,,,,
income-after-taxes,,,,,,,0.0,,,,,
income-from-continuous-operations,,,,,,,0.0,,,,,
net-income,-26.525,-29.582,-21.921,-19.02,-17.98,-15.877,-14.487,-13.505,-11.311,-0.014,,
ebitda,-26.398,-29.854,-21.943,-18.623,-17.904,-15.741,-14.951,-13.555,-11.767,-13.955,,
ebit,-26.969,-30.302,-22.386,-19.15,-18.178,-15.973,-15.182,-13.696,-11.887,-14.113,,
basic-shares-outstanding,34.843,34.776,33.263,34.539,34.45,29.355,13.65,17.096,17.041,3.048,,
shares-outstanding,34.843,34.776,33.263,34.539,34.45,29.355,13.65,17.096,17.041,3.048,,
eps-basic-net-earnings-per-share,-0.76,-0.85,-0.64,-0.55,-0.52,-0.54,-0.84,-0.79,-0.66,-0.01,,
