,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
revenue,,,,,,,,,,,
gross-profit,4.774,5.039,3.106,,,,,,,,
research-development-expenses,15.699,13.715,10.739,10.124,8.061,11.424,6.701,,4.778,4.711,
selling-general-administrative-expenses,,,,,,,,,,,
operating-expenses,21.88,18.425,14.809,15.558,11.234,14.884,9.016,,5.942,5.888,
operating-income,-17.106,-13.386,-11.703,-15.558,-11.234,-14.884,-9.016,,-5.942,-5.888,
total-non-operating-income-expense,0.959,0.861,0.948,0.593,0.472,0.177,0.124,,0.005,0.009,
pre-tax-income,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,
net-income,-16.147,-12.525,-10.755,-14.965,-10.762,-14.707,-8.892,,-5.929,-5.879,
ebitda,-17.596,-13.152,-11.553,-15.663,-11.026,-14.673,-8.868,,-5.827,-5.888,
ebit,-17.106,-13.386,-11.703,-15.558,-11.234,-14.884,-9.016,,-5.942,-5.888,
basic-shares-outstanding,29.232,25.923,25.593,15.655,24.311,10.594,2.795,,1.603,1.603,
shares-outstanding,29.232,25.923,25.593,15.655,24.311,10.594,2.795,,1.603,1.603,
eps-basic-net-earnings-per-share,-0.55,-0.48,-0.42,1.86,-0.44,-1.39,-3.18,,-0.0037,-3.67,
eps-earnings-per-share-diluted,-0.55,-0.48,-0.42,1.86,-0.44,-1.39,-3.18,0.0,-0.0037,-3.67,0.0
