,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,736.84,696.803,768.213,696.238,678.961,638.758,715.973,661.9,634.159,607.964,681.1891,646.774,646.415,638.378,690.277,618.688,489.897,439.902,501.6469,473.244,462.729,412.643,465.287,405.551,383.762,367.652,428.2159,380.405,356.321,336.96,390.2491,355.215,342.707,318.639,377.7601,328.283,312.425,188.98,332.129,327.832,314.229,283.543,344.366,319.467,323.127,311.565,375.17,313.974,295.002,280.944,349.8369,298.967,283.536,265.067,331.274,287.492,273.436,268.083,288.2659
cost-goods-sold,418.173,390.96,433.4971,409.241,394.297,369.708,423.6071,383.683,367.762,352.198,400.483,389.165,398.507,398.388,426.388,380.507,280.576,255.812,288.587,276.088,268.737,242.55,280.792,241.776,229.256,220.806,250.4479,227.283,203.2,199.708,226.024,217.209,209.398,185.714,221.733,191.269,177.37,170.914,189.922,188.349,181.574,158.707,204.5551,195.4,190.764,181.064,226.977,187.372,174.794,165.344,217.421,171.266,164.775,151.692,197.944,165.396,160.253,152.507,164.193
gross-profit,318.667,305.843,334.7159,286.997,284.664,269.05,292.366,278.217,266.397,255.766,280.7062,257.609,247.908,239.99,263.889,238.181,209.321,184.09,213.0599,197.156,193.992,170.093,184.4949,163.775,154.506,146.846,177.768,153.122,153.121,137.252,164.2251,138.006,133.309,132.925,156.027,137.014,135.055,18.066,142.207,139.483,132.655,124.836,139.8109,124.067,132.363,130.501,148.193,126.602,120.208,115.6,132.4159,127.701,118.761,113.375,133.3301,122.096,113.183,115.576,124.0729
research-development-expenses,16.249,15.585,15.878,15.167,15.773,16.22,17.609,15.195,13.974,14.004,15.761,14.591,14.617,14.428,14.31,14.334,14.255,13.765,14.175,14.549,13.006,12.409,11.681,11.58,13.527,11.853,11.726,10.415,9.852,9.312,9.085,9.196,8.915,8.757,9.889,7.739,8.043,8.609,9.974,8.265,8.189,7.58,8.291,8.122,8.068,8.279,8.953,10.173,8.531,9.259,8.87,8.078,8.283,8.395,8.034,8.726,9.096,7.741,5.414
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,610.107,586.715,627.3352,626.6539,572.382,544.334,603.2621,558.62,535.642,522.589,623.9521,620.89,576.8519,564.856,590.951,571.9661,467.234,395.686,433.373,411.898,409.306,368.475,405.6819,349.661,333.462,326.64,363.106,313.265,294.044,288.658,316.2011,301.491,295.064,271.738,320.7091,292.475,257.412,251.64,280.46,268.39,264.279,240.892,295.919,270.794,276.122,276.691,320.682,279.56,267.856,257.986,296.839,261.938,255.844,238.501,287.3639,248.438,247.997,241.48,244.3889
operating-income,126.733,110.088,140.8777,69.5841,106.579,94.424,112.7109,103.28,98.517,85.375,57.2371,25.884,69.5631,73.522,99.326,46.7219,22.663,44.216,68.2739,61.346,53.423,44.168,59.6051,55.89,50.3,41.012,65.11,67.14,62.277,48.302,74.048,53.724,47.643,46.901,57.0509,35.808,55.013,-62.66,51.669,59.442,49.95,42.651,48.447,48.673,47.005,34.874,54.488,34.414,27.146,22.958,52.998,37.029,27.692,26.566,43.9101,39.054,25.439,26.603,43.877
total-non-operating-income-expense,-9.426,-10.678,-7.478,-11.824,-11.32,-11.373,-11.266,-11.344,-11.17,-11.121,-9.901,-10.441,-10.64,-10.578,-10.847,-17.3,-7.258,-5.638,-4.612,-4.405,-4.912,-4.462,-4.619,-4.431,-4.642,-4.739,-5.775,-3.869,-3.375,-2.712,-3.073,-2.632,-2.399,-3.104,-2.589,-2.705,-2.913,-3.186,-3.735,-2.77,-2.737,-2.654,-3.577,-5.703,-2.015,-1.219,-13.594,-1.887,-1.562,-2.164,-2.125,-4.302,-2.733,-2.195,-26.153,-0.503,-0.938,0.706,-1.033
pre-tax-income,117.307,99.41,133.4,57.76,95.259,83.051,101.445,91.936,87.347,74.254,47.336,15.443,58.923,62.944,88.479,29.422,15.405,38.578,63.662,56.941,48.511,39.706,54.986,51.459,45.658,36.273,59.335,63.271,58.902,45.59,70.975,51.092,45.244,43.797,54.462,33.103,52.1,-65.846,47.934,56.672,47.213,39.997,44.87,42.97,44.99,33.655,40.894,32.527,25.584,20.794,50.873,32.727,24.959,24.371,17.757,38.551,24.501,27.309,42.844
total-provision-income-taxes,22.165,14.633,24.523,9.334,17.764,12.773,27.822,-3.404,22.903,16.039,21.27,19.79,18.721,14.234,30.61,8.268,7.154,14.267,22.263,18.817,17.507,15.169,16.11,22.953,15.915,3.956,17.954,15.174,18.757,15.236,26.804,17.443,15.68,15.066,15.463,11.338,16.389,-20.636,18.099,15.666,15.129,14.455,17.054,14.395,16.196,8.155,14.785,10.751,9.566,7.591,21.061,11.859,8.599,10.314,10.313,15.386,9.096,10.377,19.313
