,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31
revenue,102.14,104.695,85.474,115.934,102.996,99.538,90.429,88.435,80.398,75.829,57.576,62.373,56.81,51.626,44.194,43.687,39.362,35.678,28.738,31.235,22.687,29.675,9.081,10.334,1.257,0.281,0.147,1.09,0.091,0.091,0.208,0.042,0.011,0.75,,
cost-goods-sold,4.819,4.044,3.684,4.188,4.207,3.683,3.278,4.154,4.251,3.861,2.949,3.772,3.428,2.751,2.035,2.795,2.248,1.762,1.618,2.282,1.321,1.661,0.494,1.067,0.033,0.004,,,,,,,,,,
gross-profit,97.321,100.651,81.79,111.746,98.789,95.855,87.151,84.281,76.147,71.968,54.627,58.601,53.382,48.875,42.159,40.892,37.114,33.916,27.12,28.953,21.366,28.014,8.587,9.267,1.224,0.277,0.147,1.09,0.091,0.091,0.208,0.042,0.011,0.75,,
research-development-expenses,16.943,16.97,15.394,29.841,20.422,20.038,18.908,16.173,12.98,10.823,9.601,13.252,7.868,11.109,10.562,9.445,9.129,6.878,3.683,5.77,4.657,4.677,4.482,5.402,3.779,3.542,4.522,5.15,8.306,4.703,5.358,7.5,8.425,7.251,7.451,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,62.411,62.097,60.046,76.079,65.521,63.818,59.035,54.091,58.056,49.762,40.788,46.078,36.971,39.981,37.757,35.806,34.277,31.834,24.704,26.111,23.423,25.919,22.503,21.692,18.432,15.76,18.055,13.834,12.381,9.348,8.086,10.29,9.926,9.146,9.198,
operating-income,39.729,42.598,25.428,39.855,37.475,35.72,31.394,34.344,22.342,26.067,16.788,16.295,19.839,11.645,6.437,7.881,5.085,3.844,4.034,5.124,-0.736,3.756,-13.422,-11.358,-17.175,-15.479,-17.908,-12.744,-12.29,-9.257,-7.878,-10.248,-9.915,-8.396,-9.198,
total-non-operating-income-expense,-0.139,0.148,-1.189,-1.088,-1.104,-1.864,-0.212,0.716,0.568,0.358,-0.565,-0.743,-0.703,-0.989,-1.412,-0.815,-1.027,-1.182,-3.21,-0.707,-1.635,-0.554,-2.121,-11.048,-6.921,-11.878,-0.506,-0.768,-1.192,-0.756,-1.399,-0.45,-0.236,-0.544,-0.517,
pre-tax-income,39.59,42.746,24.239,38.767,36.371,33.856,31.182,35.06,22.91,26.425,16.223,15.552,19.136,10.656,5.025,7.066,4.058,2.662,0.824,4.417,-2.371,3.202,-15.543,-22.406,-24.096,-27.357,-18.414,-13.512,-13.482,-10.013,-9.277,-10.67,-10.151,-8.94,-9.715,
total-provision-income-taxes,10.73,10.019,5.899,12.874,8.36,3.119,4.83,21.402,6.949,9.057,5.926,1.233,-42.69,0.405,0.2,0.213,0.142,0.225,0.086,,0.0,,0.0,,,,,,,,,-16.24,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
income-from-continuous-operations,28.86,32.727,18.34,25.893,28.011,30.737,26.352,13.658,15.961,17.368,10.297,14.319,61.826,10.251,4.825,6.853,3.916,2.437,0.738,3.787,-2.371,3.202,-15.543,-22.406,-24.096,-27.357,-18.414,-13.512,-13.482,-10.013,-9.277,5.581,-10.151,-8.94,-9.715,
income-from-discontinued-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.394,0.417,1.563,-1.334,
net-income,28.86,32.727,18.34,25.893,28.011,30.737,26.352,13.658,15.961,17.368,10.297,14.319,61.826,10.251,4.825,6.853,3.916,2.437,0.738,3.787,-2.371,3.202,-15.543,-22.406,-24.096,-27.357,-18.414,-13.511,-13.482,-10.299,-10.135,81.975,-10.592,-8.235,-11.907,
ebitda,42.562,47.994,30.74,45.495,43.114,39.271,33.802,35.793,26.705,27.446,17.216,17.26,20.676,12.333,6.866,8.253,5.951,4.061,4.248,5.842,0.017,4.502,-12.621,-10.179,-15.792,-14.511,-17.663,-12.441,-11.994,-8.963,-7.57,-9.968,-9.631,-8.117,-8.951,
ebit,39.729,42.598,25.428,39.855,37.475,35.72,31.394,34.344,22.342,26.067,16.788,16.295,19.839,11.645,6.437,7.881,5.085,3.844,4.034,5.124,-0.736,3.756,-13.422,-11.358,-17.175,-15.479,-17.908,-12.744,-12.29,-9.257,-7.878,-10.248,-9.915,-8.396,-9.198,
basic-shares-outstanding,52.453,52.386,52.336,51.99,52.228,51.92,51.536,50.757,51.046,50.531,50.159,49.472,49.517,49.428,49.24,47.485,48.515,47.912,44.563,42.261,42.9,42.056,41.129,31.848,30.941,30.897,30.875,17.441,24.464,16.818,1.676,2.042,1.596,1.594,1.593,
shares-outstanding,53.806,53.913,53.985,54.099,54.24,54.203,53.788,53.301,53.628,53.224,52.764,51.709,51.974,51.745,51.152,51.16,51.591,52.273,44.901,42.261,42.9,42.372,41.129,31.848,30.941,30.897,30.875,17.441,24.464,16.818,1.676,2.042,1.596,1.594,1.593,
eps-basic-net-earnings-per-share,0.55,0.62,0.35,0.49,0.54,0.59,0.51,0.27,0.31,0.34,0.21,0.28,1.25,0.21,0.1,0.14,0.08,0.05,0.02,0.1,-0.06,0.08,-0.38,-0.63,-0.78,-0.89,-0.6,4.49,-0.55,-0.61,-6.05,40.14,-6.64,-5.17,-7.48,
eps-earnings-per-share-diluted,0.54,0.61,0.34,0.47,0.52,0.57,0.49,0.28,0.29,0.32,0.19,0.32,1.18,0.18,0.08,0.14,0.08,0.04,0.02,0.1,-0.06,0.08,-0.38,-0.63,-0.78,-0.89,-0.6,4.49,-0.55,-0.61,-6.05,40.14,-6.64,-5.17,-7.48,0.0
