,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31
revenue,11.333,10.012,7.269,,3.6,2.279,1.322
cost-goods-sold,4.401,4.133,3.072,,1.973,1.179,0.794
gross-profit,6.932,5.879,4.197,,1.627,1.1,0.528
research-development-expenses,8.368,6.926,7.484,,5.533,5.53,5.516
selling-general-administrative-expenses,,,,,,,
operating-expenses,24.398,21.265,19.428,,13.676,12.473,11.124
operating-income,-13.065,-11.253,-12.159,,-10.076,-10.194,-9.802
total-non-operating-income-expense,0.134,0.663,-0.633,,-0.096,0.108,0.208
pre-tax-income,-12.931,-10.59,-12.792,,-10.172,-10.086,-9.594
total-provision-income-taxes,0.026,0.018,0.007,,0.006,0.021,
income-after-taxes,,,,,,,
income-from-continuous-operations,,,,,,,
net-income,-12.957,-10.608,-12.799,,-10.178,-10.107,-9.594
ebitda,-12.374,-10.637,-11.551,,-9.803,-10.023,-9.673
ebit,-13.065,-11.253,-12.159,,-10.076,-10.194,-9.802
basic-shares-outstanding,28.086,28.003,9.365,,1.776,1.745,1.705
shares-outstanding,28.086,28.003,9.365,,1.776,1.745,1.705
eps-basic-net-earnings-per-share,-0.46,-0.38,-1.37,,-5.73,-5.79,-5.63
eps-earnings-per-share-diluted,-0.46,-0.38,-1.37,0.0,-5.73,-5.79,-5.63
