,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30
revenue,,,,,,,,,,
gross-profit,1.266,1.174,1.474,1.182,0.238,,,,,
research-development-expenses,17.295,16.625,17.423,17.17,12.933,15.219,12.702,,11.097,13.506
selling-general-administrative-expenses,6.881,7.85,6.554,5.879,5.957,5.991,4.779,,3.607,3.125
other-operating-income-expenses,19.834,-4.889,-11.702,14.569,-26.829,-7.852,-4.908,,-6.132,-2.324
operating-expenses,22.901,29.364,35.679,8.48,45.719,29.062,22.389,,20.836,18.955
operating-income,-21.635,-28.19,-34.205,-7.298,-45.481,-29.062,-22.389,,-20.836,-18.955
total-non-operating-income-expense,0.408,0.358,0.521,0.823,0.311,0.059,0.077,,0.072,0.152
pre-tax-income,-21.227,-27.832,-33.684,-6.475,-45.17,-29.003,-22.312,,-20.764,-18.803
total-provision-income-taxes,,,-0.486,-0.438,-2.524,-1.5,-1.103,,-2.299,-0.87
income-after-taxes,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,
net-income,-21.227,-27.832,-33.198,-6.037,-42.646,-27.962,-21.394,,-18.645,-17.741
ebitda,-20.644,-27.255,-33.18,-6.38,-45.005,-28.151,-21.853,,-20.442,-18.955
ebit,-21.635,-28.19,-34.205,-7.298,-45.481,-29.062,-22.389,,-20.836,-18.955
basic-shares-outstanding,51.891,48.75,45.005,26.9455,44.036,9.187,9.092,,7.781,7.676
shares-outstanding,51.891,48.75,45.005,26.9455,44.036,9.187,9.092,,7.781,7.676
eps-basic-net-earnings-per-share,-0.41,-0.57,-0.74,2.72,-0.97,-3.04,-2.35,,-2.4,-2.31
eps-earnings-per-share-diluted,-0.41,-0.57,-0.74,2.72,-0.97,-3.04,-2.35,0.0,-2.4,-2.31
