,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
eps-earnings-per-share-diluted,-0.89,-0.75,-0.9,15.96,-0.71,-10.89,-9.0,0.0,-4.81,-3.6,0.0
research-development-expenses,31.976,28.976,31.423,22.697,25.23,21.034,16.633,,7.725,4.567,
selling-general-administrative-expenses,,,,,,,,,,,
operating-expenses,45.096,37.837,37.775,28.81,29.408,25.279,20.098,,10.874,6.922,
operating-income,-45.096,-37.837,-37.775,-28.81,-29.408,-25.279,-20.098,,-10.874,-6.922,
total-non-operating-income-expense,0.977,1.211,-0.122,0.966,0.31,-0.083,-0.406,,0.069,-0.815,
pre-tax-income,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,
net-income,-44.119,-36.626,-37.897,-27.844,-29.098,-25.362,-20.504,,-10.805,-7.726,
ebitda,-45.239,-38.211,-37.667,-28.935,-28.963,-24.902,-19.955,,-10.816,-6.922,
ebit,-45.096,-37.837,-37.775,-28.81,-29.408,-25.279,-20.098,,-10.874,-6.922,
basic-shares-outstanding,49.418,48.674,42.268,22.146,41.262,2.329,2.278,,2.245,2.146,
shares-outstanding,49.418,48.674,42.268,22.146,41.262,2.329,2.278,,2.245,2.146,
eps-basic-net-earnings-per-share,-0.89,-0.75,-0.9,15.96,-0.71,-10.89,-9.0,,-4.81,-3.6,
