,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31
revenue,49.612,45.2,37.617,46.448,36.322,34.133,26.848,34.886,28.283,26.264,19.85,28.478,22.635,19.729,13.7,21.16,16.82,14.771,10.121,
cost-goods-sold,14.239,13.695,11.359,14.433,10.141,9.61,7.309,8.829,7.528,7.034,5.624,7.523,6.282,5.324,3.811,5.07,4.466,4.401,2.972,
gross-profit,35.373,31.505,26.258,32.015,26.181,24.523,19.539,26.057,20.755,19.23,14.226,20.955,16.353,14.405,9.889,16.09,12.354,10.37,7.149,
research-development-expenses,1.467,1.234,1.281,1.34,1.223,1.289,1.437,1.361,1.116,1.465,1.118,1.162,1.285,1.049,0.98,1.4,1.094,1.011,0.817,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,
operating-expenses,46.409,42.152,39.419,44.312,34.952,32.822,28.675,29.959,27.11,25.534,22.782,25.186,21.661,17.937,15.486,17.94,15.358,14.543,11.605,
operating-income,3.203,3.048,-1.802,2.136,1.37,1.311,-1.827,4.927,1.173,0.73,-2.932,3.292,0.974,1.792,-1.786,3.22,1.462,0.228,-1.484,
total-non-operating-income-expense,0.16,0.159,0.161,0.135,0.128,0.132,0.091,0.088,0.085,0.064,0.055,0.018,0.01,0.005,0.005,-0.206,0.003,0.003,0.012,
pre-tax-income,3.363,3.207,-1.641,2.271,1.498,1.443,-1.736,5.015,1.258,0.794,-2.877,3.31,0.984,1.797,-1.781,3.03,1.465,0.231,-1.472,
total-provision-income-taxes,0.932,0.422,-3.113,-0.084,-0.248,-1.129,-1.686,2.785,-0.084,-2.993,-1.373,0.931,0.492,0.809,-0.801,1.78,0.589,0.093,-0.592,
income-after-taxes,,,,,,,,,,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,0.0,,,,
net-income,2.431,2.785,1.472,2.355,1.746,2.572,-0.05,2.23,1.342,3.787,-1.504,2.78,0.169,0.177,-1.494,1.259,0.144,-0.328,-1.34,
ebitda,3.953,3.885,-0.806,3.297,2.157,2.535,-1.364,5.703,1.582,1.096,-2.634,3.416,1.212,2.018,-1.575,3.418,1.673,0.438,-1.283,
ebit,3.203,3.048,-1.802,2.136,1.37,1.311,-1.827,4.927,1.173,0.73,-2.932,3.292,0.974,1.792,-1.786,3.22,1.462,0.228,-1.484,
basic-shares-outstanding,18.981,18.881,18.747,18.253,18.345,18.155,17.997,17.355,17.603,17.176,16.878,8.913,12.254,3.406,3.293,3.283,3.148,2.808,2.641,
shares-outstanding,19.642,19.591,19.58,19.348,19.526,19.313,17.997,18.878,19.084,18.815,16.878,10.759,13.983,4.846,3.293,4.932,4.799,2.808,2.641,
eps-basic-net-earnings-per-share,0.13,0.15,0.08,0.12,0.1,0.14,0.0,0.13,0.08,0.22,-0.09,0.57,0.01,0.05,-0.45,0.09,0.05,-0.12,-0.51,
eps-earnings-per-share-diluted,0.13,0.15,0.08,0.1,0.1,0.14,0.0,0.11,0.07,0.22,-0.09,0.55,0.01,0.04,-0.45,0.06,0.03,-0.12,-0.51,0.0
