,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,4568.0,4560.0,4545.0,4619.0,4489.0,4506.0,4699.0,4978.0,4586.0,4802.0,4813.0,4860.0,4849.0,4868.0,5044.0,5026.0,4692.0,4492.0,4424.0,4464.0,4175.0,4038.0,3926.0,3870.0,2408.0,2422.0,2387.0,2331.0,2221.0,2265.0,2302.0,2123.0,2100.0,2132.0,2299.0,1361.0,2262.0,2303.0,2339.0,1565.0,2262.0,2229.0,2262.0,2155.0,2140.0,2112.0,2178.0,1770.0,2041.0,2054.0,2218.0,1281.0,2058.0,2195.0,2210.0,1533.0,2150.0,2142.0,2501.0
cost-goods-sold,2934.0,2901.0,2894.0,2912.0,2842.0,2883.0,3001.0,3084.0,3004.0,3126.0,3145.0,3089.0,3075.0,3082.0,3206.0,3239.0,3010.0,2892.0,2812.0,2806.0,2693.0,2605.0,2549.0,2498.0,1559.0,1553.0,1545.0,1479.0,1426.0,1443.0,1461.0,1369.0,1381.0,1374.0,1439.0,1256.0,1367.0,1364.0,1385.0,1383.0,1343.0,1344.0,1356.0,1328.0,1319.0,1310.0,1333.0,1106.0,1253.0,1272.0,1387.0,799.0,1300.0,1361.0,1392.0,985.0,1383.0,1374.0,1581.0
gross-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-operating-income-expenses,-1173.0,-1099.0,-1106.0,-1156.0,-1156.0,-1062.0,-1002.0,-1250.0,-1350.0,-1172.0,-1209.0,-1319.0,-1261.0,-1327.0,-1296.0,-1294.0,-1238.0,-1255.0,-1119.0,-1089.0,-1068.0,-1017.0,-1014.0,-926.0,-582.0,-546.0,-582.0,-525.0,-532.0,-538.0,-536.0,-507.0,-540.0,-493.0,-500.0,147.0,-697.0,-671.0,-658.0,4.0,-689.0,-649.0,-634.0,-634.0,-657.0,-644.0,-678.0,-541.0,-640.0,-633.0,-639.0,-677.0,-648.0,-1367.0,-649.0,-629.0,-715.0,-622.0,-726.0
operating-expenses,4274.0,4172.0,4174.0,4215.0,4169.0,4100.0,4182.0,4493.0,4535.0,4492.0,4546.0,4580.0,4510.0,4594.0,4690.0,4690.0,4405.0,4328.0,4134.0,4127.0,3964.0,3831.0,3756.0,3703.0,2260.0,2220.0,2241.0,2120.0,2068.0,2085.0,2097.0,1973.0,2021.0,1967.0,2040.0,1196.0,2165.0,2132.0,2138.0,1474.0,2129.0,2091.0,2086.0,2056.0,2070.0,2047.0,2101.0,1725.0,1977.0,1990.0,2115.0,1546.0,2030.0,2810.0,2123.0,1674.0,2190.0,2075.0,2403.0
operating-income,294.0,388.0,371.0,404.0,320.0,406.0,517.0,485.0,51.0,310.0,267.0,280.0,339.0,274.0,354.0,336.0,287.0,164.0,290.0,337.0,211.0,207.0,170.0,167.0,148.0,202.0,146.0,211.0,153.0,180.0,205.0,150.0,79.0,165.0,259.0,165.0,97.0,171.0,201.0,91.0,133.0,138.0,176.0,99.0,70.0,65.0,77.0,45.0,64.0,64.0,103.0,-265.0,28.0,-615.0,87.0,-141.0,-40.0,67.0,98.0
total-non-operating-income-expense,-427.0,-248.0,-297.0,-246.0,-249.0,-256.0,-257.0,-261.0,-399.0,-291.0,-263.0,-251.0,-250.0,-249.0,-249.0,-269.0,-247.0,-218.0,-199.0,-196.0,-210.0,-190.0,-182.0,-182.0,-91.0,-268.0,-280.0,-114.0,-102.0,-102.0,-97.0,-217.0,-58.0,-97.0,-117.0,-103.0,-159.0,-106.0,-108.0,-102.0,-126.0,-131.0,26.0,-106.0,46.0,-98.0,-99.0,-90.0,-95.0,-91.0,-96.0,-86.0,-90.0,-84.0,-84.0,-76.0,-85.0,-88.0,-95.0
pre-tax-income,-133.0,140.0,74.0,158.0,71.0,150.0,260.0,224.0,-348.0,19.0,4.0,29.0,89.0,25.0,105.0,67.0,40.0,-54.0,91.0,141.0,1.0,17.0,-12.0,-15.0,57.0,-66.0,-134.0,97.0,51.0,78.0,108.0,-67.0,21.0,68.0,142.0,62.0,-62.0,65.0,93.0,-11.0,7.0,7.0,202.0,-7.0,116.0,-33.0,-22.0,-45.0,-31.0,-27.0,7.0,-351.0,-62.0,-699.0,3.0,-217.0,-125.0,-21.0,3.0
total-provision-income-taxes,20.0,30.0,17.0,56.0,6.0,44.0,70.0,324.0,-60.0,-12.0,-33.0,6.0,10.0,-16.0,67.0,68.0,11.0,-27.0,16.0,60.0,-18.0,8.0,-1.0,-8.0,16.0,-20.0,-53.0,35.0,18.0,30.0,42.0,-13.0,4.0,19.0,51.0,2.0,-1002.0,20.0,3.0,-35.0,3.0,4.0,5.0,-6.0,-4.0,-16.0,1.0,16.0,10.0,-3.0,-84.0,33.0,-43.0,-252.0,4.0,-62.0,3.0,-12.0,-17.0
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,-153.0,110.0,57.0,102.0,65.0,106.0,190.0,-100.0,-288.0,31.0,37.0,23.0,79.0,41.0,38.0,-1.0,29.0,-27.0,75.0,81.0,19.0,9.0,-11.0,-7.0,41.0,-46.0,-81.0,62.0,33.0,48.0,66.0,-54.0,17.0,49.0,91.0,60.0,940.0,45.0,90.0,24.0,4.0,3.0,197.0,-1.0,120.0,-17.0,-23.0,-61.0,-41.0,-24.0,91.0,-384.0,-19.0,-447.0,-1.0,-155.0,-128.0,-9.0,20.0
income-from-discontinued-operations,1.0,2.0,8.0,,,2.0,1.0,1.0,-1.0,1.0,-1.0,,1.0,-2.0,-4.0,3.0,-1.0,-1.0,1.0,,-1.0,-16.0,-5.0,-7.0,-5.0,3.0,-2.0,-8.0,-1.0,-68.0,1.0,-12.0,-2.0,14.0,-9.0,22.0,0.0,-10.0,5.0,5.0,-5.0,-17.0,-14.0,-28.0,-14.0,2.0,-7.0,-9.0,-18.0,-6.0,-16.0,-2.0,-70.0,49.0,69.0,-115.0,-273.0,-24.0,-24.0
net-income,-232.0,17.0,-19.0,-5.0,-9.0,26.0,99.0,-229.0,-367.0,-55.0,-53.0,-79.0,-8.0,-46.0,-59.0,-97.0,-29.0,-61.0,47.0,61.0,9.0,-26.0,-32.0,-24.0,28.0,-50.0,-88.0,49.0,40.0,-6.0,58.0,-76.0,6.0,55.0,73.0,74.0,932.0,25.0,88.0,21.0,-3.0,-15.0,178.0,-33.0,104.0,-15.0,-31.0,-75.0,-59.0,-30.0,75.0,-386.0,-89.0,-398.0,70.0,-286.0,-401.0,-33.0,-4.0
ebitda,541.0,654.0,624.0,669.0,568.0,650.0,757.0,753.0,319.0,571.0,528.0,552.0,587.0,530.0,600.0,604.0,511.0,391.0,508.0,592.0,429.0,423.0,370.0,365.0,270.0,327.0,265.0,333.0,268.0,290.0,310.0,257.0,187.0,269.0,368.0,260.0,206.0,275.0,304.0,213.0,230.0,236.0,272.0,208.0,164.0,158.0,167.0,128.0,147.0,145.0,192.0,-193.0,108.0,-533.0,169.0,-66.0,52.0,131.0,194.0
ebit,332.0,430.0,405.0,457.0,353.0,445.0,542.0,534.0,89.0,338.0,296.0,326.0,370.0,304.0,378.0,387.0,315.0,180.0,294.0,345.0,215.0,207.0,170.0,182.0,148.0,202.0,146.0,211.0,153.0,180.0,205.0,150.0,79.0,165.0,259.0,165.0,97.0,171.0,201.0,91.0,133.0,138.0,176.0,99.0,70.0,65.0,77.0,45.0,64.0,64.0,103.0,-265.0,28.0,-615.0,87.0,-141.0,-40.0,67.0,98.0
basic-shares-outstanding,103.558,103.198,102.788,102.11,102.402,102.147,101.392,100.592,100.812,100.612,100.0,99.321,99.523,99.341,98.768,99.167,99.537,99.244,98.699,97.801,98.036,97.677,97.161,101.648,100.894,103.01,104.103,104.2,104.244,103.753,102.843,117.182,117.188,121.6985,121.7255,121.08,121.3025,121.1525,120.4792,120.06,120.252,120.1117,119.593,119.0872,119.2245,119.077,118.7665,118.3512,118.496,118.303,118.034,117.7117,117.8067,117.652,117.5173,117.2245,117.2947,117.1895,117.0117
shares-outstanding,103.558,104.629,102.788,103.881,102.402,104.177,102.656,100.592,100.812,100.612,100.0,99.321,99.523,99.341,98.768,99.167,99.537,99.244,100.872,100.287,100.926,97.677,97.161,101.648,103.098,103.01,104.103,108.926,107.311,106.927,121.218,121.295,120.908,125.937,141.2953,140.158,139.9625,125.6373,139.807,126.8193,124.521,122.061,119.878,119.6515,120.1973,119.077,118.7665,118.3512,118.496,118.303,118.5815,117.7117,117.8067,117.652,117.5173,117.2245,117.2947,117.1895,117.2367
eps-basic-net-earnings-per-share,-2.24,0.17,-0.18,-0.05,-0.09,0.25,0.98,-2.28,-3.64,-0.55,-0.53,-0.79,-0.08,-0.46,-0.6,-0.99,-0.29,-0.61,0.48,0.63,0.09,-0.27,-0.33,-0.26,0.28,-0.49,-0.85,0.47,0.38,-0.06,0.56,-0.6,0.05,0.44,0.6,0.64,7.68,0.2,0.72,0.16,-0.04,-0.12,1.52,-0.32,0.88,-0.12,-0.24,-0.68,-0.48,-0.24,0.64,-3.28,-0.76,-3.4,0.6,-2.44,-3.4,-0.28,-0.04
eps-earnings-per-share-diluted,-2.24,0.16,-0.18,-0.05,-0.09,0.25,0.96,-2.28,-3.64,-0.55,-0.53,-0.79,-0.08,-0.46,-0.6,-0.98,-0.29,-0.61,0.47,0.63,0.09,-0.27,-0.33,-0.25,0.27,-0.49,-0.85,0.46,0.37,-0.06,0.53,-0.57,0.05,0.44,0.56,0.56,6.72,0.2,0.68,0.16,-0.04,-0.12,1.48,-0.32,0.88,-0.12,-0.24,-0.68,-0.48,-0.24,0.64,-3.28,-0.76,-3.4,0.6,-2.44,-3.4,-0.28,-0.04
