,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,60351.0,60595.0,60308.0,58417.0,56556.0,56086.0,55188.0,52061.0,50322.0,50053.0,48723.0,47535.0,46293.0,46485.0,44527.0,43599.0,41489.0,36263.0,35756.0,33433.0,32759.0,32574.0,31708.0,31117.0,30624.0,30408.0,30340.0,28769.0,27302.0,27265.0,27282.0,25916.0,25280.0,25234.0,25432.0,24030.0,23668.0,23264.0,23193.0,21784.0,21695.0,21655.0,22004.0,20454.0,20156.0,20272.0,20304.0,18705.0,18679.0,19000.0,19047.0,18128.0,17970.0,17863.0,17581.0,12269.0,11613.0,11379.0,11164.0
cost-goods-sold,45668.0,46782.0,46320.0,44580.0,42876.0,42898.0,42047.0,39686.0,38269.0,38438.0,37755.0,36004.0,35165.0,35978.0,34307.0,34085.0,31841.0,27251.0,26904.0,24860.0,24047.0,24452.0,24100.0,23682.0,22775.0,22842.0,23251.0,21445.0,20098.0,20633.0,20573.0,19244.0,19017.0,19132.0,19324.0,17821.0,17728.0,17755.0,17653.0,16538.0,16613.0,16929.0,16974.0,15430.0,15330.0,15610.0,15469.0,13762.0,13706.0,14125.0,14610.0,13414.0,13520.0,13553.0,13420.0,8903.0,8396.0,8304.0,8155.0
gross-profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
other-operating-income-expenses,-8960.0,-8415.0,-8517.0,-8703.0,-8479.0,-8386.0,-8506.0,-7820.0,-7387.0,-7328.0,-7022.0,-7817.0,-7033.0,-6793.0,-6758.0,-6562.0,-6178.0,-5738.0,-5834.0,-5427.0,-5436.0,-5206.0,-5194.0,-4633.0,-4869.0,-4825.0,-4614.0,-4853.0,-4277.0,-4080.0,-4096.0,-4308.0,-3899.0,-3733.0,-3617.0,-4087.0,-3548.0,-3359.0,-3276.0,-3413.0,-3156.0,-3037.0,-3128.0,-3486.0,-2974.0,-3746.0,-2897.0,-2698.0,-2616.0,-2605.0,-2664.0,-2556.0,-2419.0,-2475.0,-2531.0,-1951.0,-1778.0,-1705.0,-1700.0
operating-expenses,55337.0,55851.0,55476.0,53920.0,51966.0,51882.0,51135.0,48084.0,46234.0,46322.0,45310.0,44348.0,42713.0,43282.0,41567.0,41131.0,38471.0,33368.0,33116.0,30668.0,29856.0,30022.0,29654.0,28665.0,27993.0,28007.0,28201.0,26668.0,24692.0,25039.0,24965.0,23842.0,23210.0,23135.0,23211.0,22228.0,21523.0,21363.0,21177.0,20209.0,20019.0,20215.0,20336.0,19175.0,18558.0,19599.0,18591.0,16667.0,16524.0,16926.0,17465.0,16147.0,16107.0,16196.0,16108.0,10974.0,10290.0,10117.0,9964.0
operating-income,5014.0,4744.0,4832.0,4497.0,4590.0,4204.0,4053.0,3977.0,4088.0,3731.0,3413.0,3187.0,3580.0,3203.0,2960.0,2468.0,3018.0,2895.0,2640.0,2765.0,2903.0,2552.0,2054.0,2452.0,2631.0,2401.0,2139.0,2101.0,2610.0,2226.0,2317.0,2074.0,2070.0,2099.0,2221.0,1802.0,2145.0,1901.0,2016.0,1575.0,1676.0,1440.0,1668.0,1279.0,1598.0,673.0,1713.0,2038.0,2155.0,2074.0,1582.0,1981.0,1863.0,1667.0,1473.0,1295.0,1323.0,1262.0,1200.0
total-non-operating-income-expense,-449.0,-418.0,-400.0,-374.0,-353.0,-344.0,-329.0,-308.0,-294.0,-301.0,-283.0,-268.0,-269.0,-271.0,-259.0,-260.0,-229.0,-151.0,-150.0,-151.0,-152.0,-155.0,-160.0,-176.0,-178.0,-176.0,-178.0,-173.0,-158.0,-153.0,-148.0,-139.0,-129.0,-119.0,-118.0,-118.0,-119.0,-119.0,-125.0,-144.0,-137.0,-139.0,-131.0,-155.0,-166.0,-164.0,-154.0,-153.0,-142.0,-133.0,-116.0,-129.0,-129.0,-116.0,-82.0,-75.0,-62.0,-55.0,-49.0
pre-tax-income,4565.0,4326.0,4432.0,4123.0,4237.0,3860.0,3724.0,3669.0,3794.0,3430.0,3130.0,2919.0,3311.0,2932.0,2701.0,2208.0,2789.0,2744.0,2490.0,2614.0,2751.0,2397.0,1894.0,2276.0,2453.0,2225.0,1961.0,1928.0,2452.0,2073.0,2169.0,1935.0,1941.0,1980.0,2103.0,1684.0,2026.0,1782.0,1891.0,1431.0,1539.0,1301.0,1537.0,1124.0,1432.0,509.0,1559.0,1885.0,2013.0,1941.0,1466.0,1852.0,1734.0,1551.0,1391.0,1220.0,1261.0,1207.0,1151.0
total-provision-income-taxes,936.0,941.0,875.0,959.0,953.0,850.0,800.0,-52.0,1233.0,1080.0,939.0,1211.0,1333.0,1172.0,1074.0,956.0,1171.0,1159.0,1077.0,1104.0,1149.0,989.0,795.0,849.0,883.0,789.0,721.0,684.0,895.0,736.0,781.0,677.0,670.0,713.0,757.0,641.0,749.0,659.0,700.0,487.0,504.0,442.0,553.0,398.0,512.0,172.0,565.0,669.0,730.0,713.0,539.0,677.0,622.0,570.0,500.0,449.0,461.0,438.0,408.0
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
