,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,401.5,373.6,362.6,381.4001,412.7,444.5,389.2,464.7001,445.5,444.6,370.5,409.0001,408.2,412.6,369.0,404.9001,386.2,347.2,327.5,346.345,329.95,322.802,289.403,289.0171,302.225,280.606,245.136,243.817,242.468,225.577,204.214,195.178,201.742,183.751,162.512,160.723,168.575,134.721,128.88,97.955,97.215,83.98,79.73,75.862,75.032,68.556,62.047,59.898,59.045,51.831,40.169,45.826,40.397,40.245,33.164,29.641,33.01,30.057,23.207
cost-goods-sold,33.0,26.7,29.1,31.9,51.9,61.7,53.2,53.0,19.5,18.9,14.3,28.4,23.6,20.0,0.7,25.3,6.9,16.0,20.8,15.788,40.803,38.709,30.6,38.778,30.716,32.32,29.313,37.665,27.968,29.633,24.031,25.327,22.676,21.162,19.739,17.372,20.155,15.261,14.886,9.036,12.755,10.084,8.986,8.107,7.741,7.332,6.886,6.357,6.166,5.342,4.396,4.753,4.154,4.244,3.877,3.153,3.432,3.175,2.555
gross-profit,368.5,346.9,333.5,349.5001,360.8,382.8,336.0,411.7001,426.0,425.7,356.2,380.6001,384.6,392.6,368.3,379.6001,379.3,331.2,306.7,330.557,289.147,284.093,258.803,250.2391,271.509,248.286,215.823,206.152,214.5,195.944,180.183,169.851,179.066,162.589,142.773,143.351,148.42,119.46,113.994,88.919,84.46,73.896,70.744,67.755,67.291,61.224,55.161,53.541,52.879,46.489,35.773,41.073,36.243,36.001,29.287,26.488,29.578,26.882,20.652
research-development-expenses,85.7,85.9,897.4,138.8,101.1,82.3,35.7,113.6,55.0,59.8,36.2,66.9,45.9,35.2,-0.4,75.9,9.6,49.4,110.2,71.434,118.876,39.742,12.448,121.552,72.749,54.617,50.43,37.476,65.155,37.099,33.657,48.635,59.433,24.24,47.707,61.511,40.337,28.587,34.871,39.212,31.551,28.646,20.959,179.751,19.213,19.141,21.076,17.709,19.559,17.97,28.114,18.337,11.919,12.614,14.7,9.462,9.423,8.694,8.473
selling-general-administrative-expenses,99.4,39.6,92.0,79.2,110.1,83.1,-6.6,159.1,47.2,67.4,56.4,139.5,100.1,72.2,5.0,148.7,-17.3,110.0,211.3,80.547,202.507,68.031,30.215,157.178,94.111,71.365,71.356,40.073,68.626,53.258,39.789,57.707,16.656,23.856,58.263,66.482,45.593,29.654,46.877,52.133,41.172,49.371,29.218,21.864,30.018,23.093,19.331,44.226,19.163,20.474,15.164,21.211,12.891,11.871,10.079,6.67,5.62,7.025,5.34
other-operating-income-expenses,,,,,,,,,,-210.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.024,,,,
operating-expenses,218.1,152.2,1018.5,249.8999,263.1,227.1,82.3,325.7,121.7,356.1,106.9,234.8,169.6,127.4,5.3,249.9001,-0.8,175.4,342.3,167.769,362.186,146.482,73.263,317.508,197.576,158.302,151.099,115.214,161.749,119.99,97.477,131.669,98.765,69.258,125.709,145.365,106.085,73.502,96.634,100.381,85.478,88.101,59.163,209.722,56.972,49.566,47.293,68.292,44.888,43.786,47.674,42.277,28.964,28.729,30.68,19.285,18.475,18.894,16.368
operating-income,183.4,221.4,-655.9,131.5002,149.6,217.4,306.9,139.0001,323.8,88.5,263.6,174.2001,238.6,285.2,363.7,155.0,387.0,171.8,-14.8,178.576,-32.236,176.32,216.14,-28.4909,104.649,122.304,94.037,128.603,80.719,105.587,106.737,63.509,102.977,114.493,36.803,15.358,62.49,61.219,32.246,-2.426,11.737,-4.121,20.567,-133.86,18.06,18.99,14.754,-8.394,14.157,8.045,-7.505,3.549,11.433,11.516,2.484,10.356,14.535,11.163,6.839
total-non-operating-income-expense,-16.5,29.0,5.3,-39.6,-9.5,0.5,2.1,2.0,-3.1,-44.3,,-2.7,0.5,0.5,0.2,1.0,349.8,-3.4,-2.0,-3.792,-3.597,-3.287,-2.924,-3.139,-3.47,-3.785,-3.202,-3.651,27.774,-2.297,-2.801,-4.325,-4.721,-4.879,-4.74,-4.542,-4.147,-3.908,-3.565,-2.45,-2.691,-1.422,-0.571,-1.356,-0.805,-0.023,0.519,-8.83,2.858,0.867,3.279,4.24,2.667,2.318,1.701,1.561,1.228,1.018,0.822
pre-tax-income,166.9,250.4,-650.6,91.9001,140.1,217.9,309.0,141.0,320.7,44.2,263.6,171.5,239.1,285.7,363.9,156.0,736.8,168.4,-16.8,174.784,-35.833,173.033,213.216,-31.63,101.179,118.519,90.835,124.952,108.493,103.29,103.936,59.184,98.256,109.614,32.063,10.816,58.343,57.311,28.681,-4.876,9.046,-5.543,19.996,-135.216,17.255,18.967,15.273,-17.224,17.015,8.912,-4.226,7.789,14.1,13.834,4.185,11.917,15.763,12.181,7.661
