,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31
revenue,50.781,44.759,35.309,48.88,47.822,42.686,40.242,44.12,45.585,39.658,36.626,40.342,33.755,31.152,26.777,28.365,26.454,25.449,23.818,24.602,23.124,23.019,24.676,28.722,26.067,25.296,22.413,26.992,25.968,24.878,23.119,21.706,20.401,19.073,18.323,16.596,14.572,13.772,11.863,,
cost-goods-sold,18.893,17.743,15.624,17.683,16.684,17.035,16.341,16.145,16.449,16.769,15.564,14.603,12.295,12.078,10.099,10.374,10.216,9.637,9.283,8.894,9.589,8.949,9.804,10.319,9.79,9.506,8.694,9.349,8.98,9.294,8.998,8.97,8.151,7.572,6.814,,,,,,
gross-profit,31.888,27.016,19.685,31.197,31.138,25.651,23.901,27.975,29.136,22.889,21.062,25.739,21.46,19.074,16.678,17.991,16.238,15.812,14.535,15.708,13.535,14.07,14.872,18.403,16.277,15.79,13.719,17.643,16.988,15.584,14.121,12.736,12.25,11.501,11.509,16.596,14.572,13.772,11.863,,
research-development-expenses,8.363,8.943,8.146,8.249,7.993,7.323,7.314,6.741,6.644,7.371,6.929,5.58,4.286,4.428,3.972,4.013,4.252,4.242,4.483,4.548,5.113,4.362,4.066,4.085,3.798,3.418,3.614,3.37,3.043,2.694,2.511,2.365,2.379,2.433,2.158,,,0.0,,,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,49.182,48.699,46.369,48.33,46.769,45.8,45.036,44.188,44.021,45.37,43.11,43.779,35.024,33.878,30.433,31.36,30.792,30.549,28.18,31.528,30.881,30.081,31.01,30.536,29.452,27.232,25.838,26.028,24.3,23.607,22.126,21.807,21.269,19.549,17.684,,,,,,
operating-income,1.599,-3.94,-11.06,0.55,1.053,-3.114,-4.794,-0.068,1.564,-5.712,-6.484,-3.437,-1.269,-2.726,-3.656,-2.995,-4.338,-5.1,-4.362,-6.926,-7.757,-7.062,-6.334,-1.814,-3.385,-1.936,-3.425,0.964,1.668,1.271,0.993,-0.101,-0.868,-0.476,0.639,16.596,14.572,13.772,11.863,,
total-non-operating-income-expense,-1.079,-0.997,-0.711,-1.507,-1.154,-0.995,-0.064,0.151,0.136,0.061,0.214,-0.13,0.121,0.062,0.164,0.11,-0.01,0.084,-0.022,0.016,-0.049,0.117,0.022,0.089,0.163,-0.025,-0.023,0.048,0.11,0.122,-1.656,-0.082,0.025,-0.81,-0.521,,,,,,
pre-tax-income,0.52,-4.937,-11.771,-0.957,-0.101,-4.109,-4.858,0.083,1.7,-5.651,-6.27,-3.567,-1.148,-2.664,-3.492,-2.885,-4.348,-5.016,-4.384,-6.91,-7.806,-6.945,-6.312,-1.725,-3.222,-1.961,-3.448,1.018,1.778,1.387,-0.663,-0.183,-0.843,-1.286,0.118,16.596,14.572,0.0,11.863,,
total-provision-income-taxes,0.222,-0.08,-0.036,0.144,0.148,-0.555,-0.088,-0.291,0.309,0.361,0.38,0.346,0.049,0.042,0.092,0.099,0.116,0.155,0.103,0.099,0.085,0.063,0.077,0.117,-0.12,0.061,0.051,0.207,0.041,0.206,0.173,0.054,0.057,0.211,-0.037,,,0.0,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,
net-income,0.298,-4.857,-11.735,-1.101,-0.249,-3.554,-4.77,0.374,1.391,-6.012,-6.65,-3.913,-1.197,-2.706,-3.584,-2.984,-4.464,-5.171,-4.487,-7.009,-7.891,-7.008,-6.389,-1.842,-3.102,-2.022,-3.499,0.532,1.728,0.103,-0.836,-0.082,-0.9,-1.497,,-1.942,0.938,1.493,0.721,,
ebitda,5.203,-0.396,-7.588,4.142,4.513,-0.572,-2.827,1.82,3.528,-3.725,-4.68,-1.938,-0.454,-1.996,-2.93,-2.209,-3.507,-4.291,-3.517,-6.143,-7.02,-6.302,-5.6,-1.07,-2.698,-1.361,-2.889,1.647,2.322,1.996,1.546,0.633,-0.403,-0.076,1.05,16.596,14.572,13.772,11.863,,
ebit,1.599,-3.94,-11.06,0.55,1.053,-3.114,-4.794,-0.068,1.564,-5.712,-6.484,-3.437,-1.269,-2.726,-3.656,-2.995,-4.338,-5.1,-4.362,-6.926,-7.757,-7.062,-6.334,-1.814,-3.385,-1.936,-3.425,0.964,1.668,1.271,0.993,-0.101,-0.868,-0.476,0.639,16.596,14.572,13.772,11.863,,
basic-shares-outstanding,31.459,31.242,30.8,30.041,30.23,29.867,29.476,28.655,29.13,28.422,27.751,26.859,27.024,26.624,26.379,25.971,26.131,25.832,25.667,25.329,25.432,25.246,25.047,24.621,24.747,24.555,24.282,17.979,22.45,21.738,3.661,3.37,3.589,3.313,2.943,,,,,,
shares-outstanding,31.944,31.242,30.8,30.041,30.23,29.867,29.476,28.655,30.473,28.422,27.751,26.859,27.024,26.624,26.379,25.971,26.131,25.832,25.667,25.329,25.432,25.246,25.047,24.621,24.747,24.555,24.282,20.608,25.337,24.52,3.661,3.37,3.589,3.313,4.918,,,,,,
eps-basic-net-earnings-per-share,0.01,-0.16,-0.38,-0.03,-0.01,-0.12,-0.16,0.02,0.05,-0.21,-0.24,-0.14,-0.04,-0.1,-0.14,-0.12,-0.17,-0.2,-0.17,-0.27,-0.31,-0.28,-0.26,-0.08,-0.13,-0.08,-0.14,0.225,0.08,0.005,-0.23,-0.04,-0.25,-0.45,,,,,,,
