,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
revenue,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,20.433,46.087,5.197,2.008,2.094,2.575,0.942,6.346,1.148,1.177,1.464,2.362,3.308,3.72,4.83,4.937,4.937,4.884,2.576,,,,,
research-development-expenses,29.777,28.576,24.831,16.913,16.632,16.507,14.853,13.327,19.561,15.3,14.072,12.724,10.309,10.484,8.732,9.22,6.481,6.455,5.523,,2.399,,,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,38.24,36.898,34.49,25.169,23.241,28.269,22.035,18.693,24.503,19.816,18.986,16.205,13.679,13.338,12.297,12.377,8.956,8.851,7.404,,3.656,,,
operating-income,-17.807,9.189,-29.293,-23.161,-21.147,-25.694,-21.093,-12.347,-23.355,-18.639,-17.522,-13.843,-10.371,-9.618,-7.467,-7.44,-4.019,-3.967,-4.828,,-3.656,,,
total-non-operating-income-expense,2.801,1.964,2.123,0.629,0.858,0.153,0.987,0.55,0.009,-0.042,0.648,-0.476,1.072,0.283,0.279,0.157,0.102,0.072,-9.749,,-0.349,,,
pre-tax-income,-15.006,11.153,-27.17,-22.532,-20.289,-25.541,-20.106,-11.797,-23.346,-18.681,-16.874,-14.319,-9.299,-9.335,-7.188,-7.283,-3.917,-3.895,-14.577,,-4.005,,,
total-provision-income-taxes,,,,,,,-0.18,,,0.195,-0.226,0.355,-0.303,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,
net-income,-15.006,11.153,-27.17,-22.532,-20.289,-25.541,-19.926,-11.828,-23.346,-18.876,-16.648,-14.674,-8.996,-9.335,-7.188,-8.817,-6.914,-6.746,-15.813,-5.197,-4.411,-4.864,-3.211,
ebitda,-18.175,8.575,-29.231,-23.182,-21.236,-25.777,-20.946,-12.132,-22.894,-18.153,-17.113,-13.554,-10.067,-9.27,-7.1,-7.085,-3.708,-3.712,-4.697,0.107,-3.656,,,
ebit,-17.807,9.189,-29.293,-23.161,-21.147,-25.694,-21.093,-12.347,-23.355,-18.639,-17.522,-13.843,-10.371,-9.618,-7.467,-7.44,-4.019,-3.967,-4.828,,-3.656,,,
basic-shares-outstanding,36.743,36.61,33.353,32.066,32.191,31.977,31.76,26.804,26.165,25.946,25.792,25.302,25.374,25.228,25.077,4.1912,1.317,1.135,1.001,0.79,0.684,0.6,0.463,
shares-outstanding,36.743,37.941,33.353,32.066,32.191,31.977,31.76,26.804,26.165,25.946,25.792,25.302,25.374,25.228,25.077,4.1912,1.317,1.135,1.001,0.79,0.684,0.6,0.463,
eps-basic-net-earnings-per-share,-0.41,0.3,-0.81,-0.69,-0.63,-0.8,-0.63,-0.37,-0.89,-0.73,-0.65,-0.58,-0.35,-0.37,-0.29,17.84,-5.25,-5.94,-15.79,-6.58,-6.45,-8.11,-6.93,
eps-earnings-per-share-diluted,-0.41,0.29,-0.81,-0.69,-0.63,-0.8,-0.63,-0.37,-0.89,-0.73,-0.65,-0.58,-0.35,-0.37,-0.29,17.84,-5.25,-5.94,-15.79,-6.58,-6.45,-8.11,-6.93,0.0
