,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,577.278,599.162,513.862,715.019,578.021,596.219,530.67,687.2749,565.584,558.25,497.969,628.787,526.83,536.56,475.246,586.61,500.578,494.74,460.404,583.8699,493.165,481.801,430.508,565.448,457.317,451.115,430.338,521.766,449.952,451.465,420.458,521.4199,454.534,447.627,427.603,483.578,401.038,391.055,367.7,428.8479,373.963,362.837,333.052,418.331,386.31,398.771,371.712,437.0029,352.638,352.63,330.777,386.93,301.182,301.899,290.218,332.27,273.031,284.63,268.305
cost-goods-sold,241.055,249.546,221.031,286.869,241.139,243.135,221.421,270.453,235.892,229.627,211.095,251.579,218.344,220.379,201.151,237.915,206.804,208.707,189.246,233.119,202.222,201.853,187.719,228.991,191.568,188.329,174.568,208.363,182.702,179.259,167.29,204.243,180.318,176.103,169.829,189.253,162.985,155.133,145.932,170.131,153.143,144.154,127.454,172.063,158.52,175.232,155.451,181.992,153.679,152.219,143.232,162.386,127.167,126.004,120.628,133.98,115.508,117.066,111.801
gross-profit,336.223,349.616,292.831,428.15,336.882,353.084,309.249,416.8219,329.692,328.623,286.874,377.208,308.486,316.181,274.095,348.6951,293.774,286.033,271.158,350.7509,290.943,279.948,242.789,336.457,265.749,262.786,255.77,313.403,267.25,272.206,253.168,317.1769,274.216,271.524,257.774,294.325,238.053,235.922,221.768,258.7169,220.82,218.683,205.598,246.268,227.79,223.539,216.261,255.0109,198.959,200.411,187.545,224.544,174.015,175.895,169.59,198.29,157.523,167.564,156.504
research-development-expenses,34.333,36.49,35.06,38.106,35.173,35.644,34.48,35.122,33.782,32.937,30.752,32.753,30.418,32.578,29.438,28.336,30.703,30.555,28.951,28.724,27.279,26.977,24.746,26.975,23.599,24.65,25.312,24.958,23.756,23.943,23.347,23.707,23.372,23.014,22.254,22.867,20.524,20.807,20.076,19.79,19.31,19.722,18.332,19.628,19.946,22.228,19.786,20.838,21.974,19.115,18.722,19.47,19.138,19.655,19.043,16.691,16.982,16.485,16.747
selling-general-administrative-expenses,126.036,133.208,134.339,142.853,126.997,136.645,130.407,148.391,135.206,130.093,130.673,129.538,123.861,129.581,129.351,128.681,124.655,122.66,119.751,131.916,122.226,131.93,126.635,130.68,120.563,123.062,118.66,122.147,115.322,122.682,117.119,126.237,121.211,125.439,117.124,120.518,111.306,106.939,106.693,109.986,102.675,109.583,99.159,101.464,107.463,111.935,105.837,101.996,105.577,102.223,93.907,95.761,87.397,88.968,85.538,81.593,76.645,82.861,80.595
other-operating-income-expenses,,,,-0.322,-0.924,,1.672,-1.096,,-10.018,0.0,,,0.0,,,,,,,,,,,,,,-4.434,,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,404.043,421.508,392.711,470.4869,406.347,417.026,386.295,456.7009,406.562,404.368,379.249,419.752,375.099,384.949,362.584,405.3019,364.735,364.422,340.422,411.8309,354.452,363.406,341.747,389.271,338.248,338.423,320.933,362.3609,328.207,331.342,310.241,356.546,327.27,327.06,311.708,335.402,297.223,285.471,275.343,302.544,277.851,276.142,247.561,301.999,288.278,311.747,283.346,307.0869,283.406,275.69,257.986,279.89,235.449,238.984,230.755,236.602,210.376,217.678,210.425
operating-income,173.235,177.654,121.151,244.5321,171.674,179.193,144.375,230.574,159.022,153.882,118.72,209.035,151.731,151.611,112.662,181.3082,135.843,130.318,119.982,172.0391,138.713,118.395,88.761,176.177,119.069,112.692,109.405,159.4051,121.745,120.123,110.217,164.874,127.264,120.567,115.895,148.176,103.815,105.584,92.357,126.3039,96.112,86.695,85.491,116.332,98.032,87.024,88.366,129.916,69.232,76.94,72.791,107.04,65.733,62.915,59.463,95.668,62.655,66.952,57.88
total-non-operating-income-expense,-8.497,-5.919,-3.773,-46.726,-2.444,-4.632,-3.826,-4.836,-5.222,-5.81,-5.233,-6.456,-6.281,-6.156,-6.032,-6.07,-6.281,-6.546,-6.635,-7.566,-7.3,-6.271,-6.031,-6.852,-6.412,-7.976,-5.998,-6.373,-5.923,-5.847,-5.722,-6.193,-5.546,-4.239,-3.37,-3.317,-3.294,-3.173,-2.285,-1.595,-2.079,-2.054,-2.222,-3.921,-4.542,-4.855,-4.244,-5.734,-6.722,-6.396,-6.835,-13.096,-6.688,-6.272,-6.136,-6.524,-1.969,-0.463,0.364
pre-tax-income,164.738,171.735,117.378,197.806,169.23,174.561,140.549,225.738,153.8,148.072,113.487,202.579,145.45,145.455,106.63,175.238,129.562,123.772,113.347,164.473,131.413,112.124,82.73,169.325,112.657,104.716,103.407,153.032,115.822,114.276,104.495,158.681,121.718,116.328,112.525,144.859,100.521,102.411,90.072,124.709,94.033,84.641,83.269,112.411,93.49,82.169,84.122,124.182,62.51,70.544,65.956,93.944,59.045,56.643,53.327,89.144,60.686,66.489,58.244
total-provision-income-taxes,26.605,27.325,8.392,12.654,28.216,18.884,28.598,578.91,17.696,16.25,7.93,28.201,20.594,17.238,12.578,24.184,13.281,18.115,17.286,13.181,17.916,15.595,12.428,27.743,14.609,15.402,-17.652,-22.912,16.713,16.552,15.829,21.534,20.461,16.253,18.036,18.255,5.802,17.489,14.554,20.586,18.097,14.734,9.922,13.058,21.987,-0.979,15.647,25.239,9.227,10.635,10.019,14.055,8.669,8.863,9.172,13.546,34.969,12.424,11.649
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,138.133,144.41,108.986,185.152,141.014,155.677,111.951,-353.172,136.104,131.822,105.557,174.378,124.856,128.217,94.052,151.054,116.281,105.657,96.061,151.292,113.497,96.529,70.302,141.582,98.048,89.314,121.059,175.944,99.109,97.724,88.666,137.147,101.257,100.075,94.489,126.604,94.719,84.922,75.518,104.123,75.936,69.907,73.347,99.353,71.503,83.148,68.475,98.943,53.283,59.909,55.937,79.889,50.376,47.78,44.155,75.598,25.717,54.065,46.595
ebitda,199.939,206.505,145.915,270.1291,198.649,206.389,173.015,258.327,184.866,183.337,141.67,233.12,176.018,176.257,136.093,204.4002,157.6,152.907,142.531,195.7201,168.139,139.177,109.103,197.617,139.64,132.114,127.667,177.0111,142.367,136.157,124.786,181.216,143.864,137.852,132.055,165.216,119.047,120.885,107.342,141.0039,109.777,101.191,99.902,129.138,111.71,112.064,102.113,143.548,82.916,90.036,85.696,117.851,78.509,74.584,70.366,106.225,73.613,78.055,68.947
ebit,173.235,177.654,121.151,244.5321,171.674,179.193,144.375,230.574,159.022,153.882,118.72,209.0351,151.731,151.611,112.662,181.3082,135.843,130.318,119.982,172.0391,138.713,118.395,88.761,176.177,119.069,112.692,109.405,159.405,121.745,120.123,110.217,164.874,127.264,120.567,115.895,148.176,103.815,105.584,92.357,126.3039,96.112,86.695,85.491,116.332,98.032,87.024,88.366,129.916,69.232,76.94,72.791,107.04,65.733,62.915,59.463,95.668,62.655,66.952,57.88
basic-shares-outstanding,66.226,68.989,71.704,76.992,76.575,77.833,78.883,79.793,79.712,79.979,80.073,80.786,80.677,80.804,81.275,82.336,82.036,82.564,83.025,84.358,83.663,84.462,84.977,85.426,85.185,85.482,86.049,87.841,87.411,88.317,88.992,90.833,90.688,91.662,91.649,92.385,91.714,92.612,93.629,95.797,95.235,96.147,97.304,99.199,98.891,99.586,100.401,100.5,99.821,100.327,101.416,102.691,101.845,103.01,104.585,114.023,112.981,116.092,118.719
shares-outstanding,66.768,69.494,72.415,77.618,77.136,78.438,79.715,80.604,80.521,80.756,80.769,81.417,81.388,81.455,81.974,83.087,82.784,83.332,83.752,85.151,84.401,85.177,85.873,86.546,86.364,86.576,87.215,88.979,88.451,89.381,90.269,92.325,92.06,93.271,93.313,94.057,93.286,94.278,95.223,96.862,96.513,96.996,97.927,100.555,100.566,101.035,101.983,102.505,101.712,102.13,103.198,104.24,103.074,104.337,105.901,115.945,114.942,117.722,121.156
eps-basic-net-earnings-per-share,2.09,2.09,1.52,2.45,1.84,2.0,1.42,-4.43,1.71,1.65,1.32,2.16,1.55,1.59,1.16,1.84,1.42,1.28,1.16,1.79,1.36,1.14,0.83,1.67,1.15,1.04,1.41,2.01,1.13,1.11,1.0,1.53,1.12,1.09,1.03,1.37,1.03,0.92,0.81,1.09,0.8,0.73,0.75,1.02,0.72,0.83,0.68,0.99,0.53,0.6,0.55,0.79,0.49,0.46,0.42,0.68,0.23,0.47,0.39
eps-earnings-per-share-diluted,2.07,2.08,1.51,2.44,1.83,1.98,1.4,-4.38,1.69,1.63,1.31,2.16,1.53,1.57,1.15,1.83,1.4,1.27,1.15,1.78,1.34,1.13,0.82,1.64,1.14,1.03,1.39,2.0,1.12,1.09,0.98,1.51,1.1,1.07,1.01,1.35,1.02,0.9,0.79,1.08,0.79,0.72,0.75,1.01,0.71,0.82,0.67,0.97,0.52,0.59,0.54,0.76,0.49,0.46,0.42,0.68,0.22,0.46,0.38
