,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31
revenue,,,,,,,,,,,,,,,,,,,,,,
gross-profit,2.929,7.628,3.026,3.62,4.493,4.879,1.422,1.098,1.315,1.097,0.383,0.283,0.392,0.417,,0.0,,0.126,0.026,,,
research-development-expenses,44.585,41.605,40.113,39.809,32.876,32.547,29.196,25.369,20.097,19.103,14.74,13.995,13.686,8.401,4.736,3.468,2.132,1.85,1.607,,0.585,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,57.108,53.245,51.014,52.563,42.725,41.452,37.197,32.256,27.668,25.77,20.59,19.18,17.625,12.055,7.952,7.214,4.99,3.755,3.491,,1.354,
operating-income,-54.179,-45.617,-47.988,-48.943,-38.232,-36.573,-35.775,-31.158,-26.353,-24.673,-20.207,-18.897,-17.233,-11.638,-7.952,-7.214,-4.99,-3.629,-3.465,,-1.354,
total-non-operating-income-expense,3.453,3.675,3.788,10.953,0.601,0.679,0.706,0.172,0.441,0.419,0.221,0.239,0.082,0.121,0.1,-0.023,0.137,-0.022,0.05,,0.025,
pre-tax-income,-50.726,-41.942,-44.2,-37.99,-37.631,-35.894,-35.069,-30.986,-25.912,-24.254,-19.986,-18.658,-17.151,-11.517,-7.852,-7.237,-4.853,-3.651,-3.415,,-1.329,
total-provision-income-taxes,,,,-0.103,,,0.172,-0.193,-0.418,0.343,1.11,0.055,0.384,0.048,-0.005,-0.138,0.083,0.049,0.05,,0.034,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,
net-income,-50.726,-41.942,-44.2,-37.887,-37.631,-35.894,-35.241,-30.793,-25.494,-24.597,-21.096,-18.713,-17.535,-11.565,-7.847,-7.099,-4.936,-3.7,-3.465,,-1.363,
ebitda,-51.821,-42.987,-46.205,-47.518,-37.006,-35.501,-34.707,-30.346,-25.823,-24.366,-19.909,-18.638,-17.045,-11.454,-7.799,-7.082,-4.706,-3.54,-3.376,,-1.354,
ebit,-54.179,-45.617,-47.988,-48.943,-38.232,-36.573,-35.775,-31.158,-26.353,-24.673,-20.207,-18.897,-17.233,-11.638,-7.952,-7.214,-4.99,-3.629,-3.465,,-1.354,
basic-shares-outstanding,34.281,34.26,32.597,28.97,29.334,29.144,27.919,26.513,27.7588,26.899,23.5318,22.801,23.446,22.708,21.551,10.501,9.223,9.223,8.274,,4.263,
shares-outstanding,34.281,34.26,32.597,28.97,29.334,29.144,27.919,26.513,27.7588,26.899,23.5318,22.801,23.446,22.708,21.551,10.501,9.223,9.223,8.274,,4.263,
eps-basic-net-earnings-per-share,-1.48,-1.22,-1.36,-1.29,-1.28,-1.23,-1.26,-1.12,-0.92,-0.91,-0.9,-0.82,-0.75,-0.51,-0.36,-0.47,-0.54,-0.4,-0.42,,-0.32,
eps-earnings-per-share-diluted,-1.48,-1.22,-1.36,-1.29,-1.28,-1.23,-1.26,-1.12,-0.92,-0.91,-0.9,-0.82,-0.75,-0.51,-0.36,-0.47,-0.54,-0.4,-0.42,0.0,-0.32,0.0
