,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
eps-earnings-per-share-diluted,-0.7,-0.53,-0.47,-0.41,-0.42,-0.39,-0.28,0.0,-0.21,0.0
research-development-expenses,19.66,14.494,12.511,11.041,8.731,8.293,6.204,,3.076,
selling-general-administrative-expenses,,,,,,,,,,
operating-expenses,24.359,18.634,16.253,14.078,11.415,10.258,7.479,,3.842,
operating-income,-24.359,-18.634,-16.253,-14.078,-11.415,-10.258,-7.479,,-3.842,
total-non-operating-income-expense,0.437,0.598,0.319,0.014,-0.011,-0.047,,,0.015,
pre-tax-income,,,,,,,,,,
income-after-taxes,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,
net-income,-23.922,-18.036,-15.934,-14.06,-11.426,-10.305,-7.483,,-3.827,
ebitda,-24.311,-18.614,-16.234,-14.064,-11.406,-10.258,-7.479,,-3.842,
ebit,-24.359,-18.634,-16.253,-14.078,-11.415,-10.258,-7.479,,-3.842,
basic-shares-outstanding,34.372,34.194,34.194,28.772,27.331,26.75,26.75,,17.945,
shares-outstanding,34.372,34.194,34.194,28.772,27.331,26.75,26.75,,17.945,
eps-basic-net-earnings-per-share,-0.7,-0.53,-0.47,-0.41,-0.42,-0.39,-0.28,,-0.21,
