,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
revenue,1892.4,1988.6,1975.5,2071.0,1836.7,2007.6,2017.6,2068.3,1813.1,1949.5,1972.4,1997.6,1832.8,1934.0,1904.0,1933.599,1762.2,1167.6,1134.4,1222.9,1106.0,1182.9,1161.5,1240.7,1074.3,1169.5,1138.9,1180.5,1025.5,1125.0,1140.7,1167.3,1031.5,1137.4,1115.6,1134.7,965.0,1057.7,1062.8,1107.3,975.6,1019.9,992.6,1030.2,952.2,1079.5,1059.2,1073.5,903.2,970.6,950.2,933.5999,819.8,881.6,860.4,848.3,762.5,846.8,828.5
cost-goods-sold,535.7,581.3,553.4,583.4,529.0,583.7,575.8,591.3998,500.9,527.7,512.9,621.8,479.3,640.1,640.6,669.3,552.1,294.3,284.9,311.6,295.9,331.6,303.7,321.3999,328.8,323.6,292.9,298.9,255.7,281.9,288.7,303.2,251.9,287.9,279.0,274.1,219.1,250.6,268.4,274.4,249.3,236.8,230.2,243.1,237.2,262.3,254.7,253.9,199.2,216.4,206.4,207.5,183.2,200.0,189.4,185.8,174.5,188.8,190.3
gross-profit,1356.7,1407.3,1422.1,1487.6,1307.7,1423.9,1441.8,1476.9,1312.2,1421.8,1459.5,1375.8,1353.5,1293.9,1263.4,1264.299,1210.1,873.3,849.5,911.2999,810.1,851.3,857.8,919.2999,745.5001,845.9,846.0,881.6003,769.8,843.1,851.9999,864.1,779.6,849.5,836.6,860.6002,745.9,807.1,794.4,832.8999,726.3,783.1,762.4,787.1002,715.0,817.2,804.4999,819.6,704.0,754.2,743.8,726.0999,636.6,681.6,671.0,662.5,588.0,658.0,638.2
research-development-expenses,114.4,112.1,101.7,101.2,95.7,99.1,95.7,95.0,91.2,92.6,91.1,95.7,95.6,88.6,85.7,85.9,83.3,51.3,48.3,46.1,45.9,48.0,47.4,45.2,49.4,54.9,53.5,55.3,53.5,57.2,59.6,64.9,61.0,56.9,55.6,56.5,57.3,54.2,50.5,51.7,52.2,49.9,51.9,48.3,47.9,48.3,47.8,23.8,53.0,53.5,52.3,45.6,46.7,48.6,47.4,45.9,43.9,43.6,42.1
selling-general-administrative-expenses,830.1,840.3,796.4,998.6,787.7,791.3,801.7,882.6,711.7,752.2,758.2,768.0001,727.7,732.0,716.9,723.6,692.3,444.2,424.1,447.2999,422.8,436.1,444.5,392.5001,438.0,458.0,460.8,460.5,430.0,453.3,463.3,462.0001,444.0,470.0,458.3,461.6,412.0,438.3,447.2,460.1,412.9,432.3,423.7,434.5001,403.7,448.0,417.8,428.2,352.6,374.3,361.6,345.5999,330.4,344.8,334.9,313.7,295.8,328.5,321.6
other-operating-income-expenses,-20.7,-92.8,-19.7,-30.8,-36.0,-37.5,-42.6,-53.5,-51.1,-76.7,,343.6,-170.4,-137.9,-88.7,-79.9,-195.9,-476.9,-86.8,-176.3,-65.6,-84.1,-36.6,-54.8,-46.4,-122.6,-33.5,-69.3,-36.9,-30.7,-33.5,-136.0,-8.0,-63.5,-25.5,-15.6,-5.0,-86.5,-2.6,-75.3,-35.0,32.1,,-90.0,-47.5,,,,-169.5,,,,,,,,,,
operating-expenses,1646.6,1783.9,1625.3,2861.5,1613.4,1711.6,1712.6,2108.399,1601.9,1669.4,1624.3,1819.1,1637.3,1732.4,1658.5,1720.1,1646.2,1299.7,864.4999,1001.8,850.7999,922.0,861.4,892.4003,862.6,959.1,840.7,979.9996,776.1,823.1,845.1,966.1002,764.9,878.3,818.4,1011.8,693.4,829.6,768.7,868.7997,771.6,723.4,712.8,790.5002,741.9,771.1,727.6,721.6,777.2,648.1,623.0,595.3,565.3,599.7,569.9,567.3002,521.9,571.0,570.9
operating-income,245.8,204.7001,350.2,-790.5,223.2999,296.0,305.0,-40.0996,211.2001,280.1001,348.1001,178.4995,195.5001,201.6,245.5,213.4994,116.0,-132.1,269.9001,221.0997,255.2001,260.9,300.1,348.2996,211.7001,210.4,298.2001,200.5006,249.4,301.9,295.6,201.1997,266.6,259.1,297.2,122.9005,271.6,228.1,294.1001,238.5002,203.9999,296.5,279.7999,239.7,210.3,308.4,331.6,351.9,126.0,322.5,327.2,338.2999,254.5,281.9,290.5001,280.9999,240.6,275.8,257.6
total-non-operating-income-expense,-61.2,-64.4,-58.5,-75.4,-69.7,-78.2,-81.6,-84.1,-84.0,-83.7,-82.9,-147.7,-92.0,-91.1,-90.7,-80.3,-84.2,-106.5,-43.1,-33.8,-25.4,-24.5,-14.2,-18.3,-13.3,-14.4,-14.5,-14.0,-14.5,-14.3,-14.5,-12.7,-11.7,-9.8,-11.0,-13.4,-14.2,-14.3,-14.6,-8.7,-4.2,-4.0,-3.7,-4.2,28.2,6.8,1.0,1.1,1.8,1.3,-0.2,1.5,0.6,1.2,0.5,-0.8,-2.1,-4.2,-7.2
pre-tax-income,184.6,140.3,291.7,-865.9,153.6,217.8,223.4,-124.2,127.2,196.4,265.2,30.8,103.5,110.5,154.8,133.2,31.8,-238.6,226.8,187.3,229.8,236.4,285.9,329.9999,198.4,196.0,283.7,186.4999,234.9,287.6,281.1,188.5,254.9,249.3,286.2,109.5001,257.4,213.8,279.5,229.8,199.8,292.5,276.1,235.5,238.5,315.2,332.6,353.0,127.8,323.8,327.0,339.8,255.1,283.1,291.0,280.2,238.5,271.6,250.4
