,Symbol,Company,Weight (%),52 Wk Change(%),Unnamed: 4
0,ABT,Abbott Laborato..,3.71,23.48,abbott-laboratories
1,ABBV,AbbVie Inc.,2.81,0.36,abbvie
2,ABEO,Abeona Therapeu..,0.01,-69.07,abeona-therapeutics
3,ABMD,ABIOMED Inc.,0.2,-28.58,abiomed
4,ACHC,Acadia Healthca..,0.07,-15.98,acadia-healthcare
5,ACAD,ACADIA Pharmace..,0.1,162.98,acadia-pharmaceuticals
6,AXDX,Accelerate Diag..,0.01,13.09,accelerate-diagnostics
7,XLRN,Acceleron Pharm..,0.04,-18.06,acceleron-pharma
8,ARAY,Accuray Inc.,0.01,-40.09,accuray
9,ACHN,Achillion Pharm..,0.01,138.55,achillion-pharmaceuticals
10,ACOR,Acorda Therapeu..,0.01,-90.3,acorda-therapeutics
11,ADUS,Addus HomeCare ..,0.03,23.56,addus-homecare
12,ADRO,Aduro Biotech I..,0.01,-66.97,aduro-biotech
13,AERI,Aerie Pharmaceu..,0.02,-54.28,aerie-pharmaceuticals
14,AGEN,Agenus Inc.,0.01,80.58,agenus
15,A,Agilent Technol..,0.61,23.3,agilent-technologies
16,AGIO,Agios Pharmaceu..,0.04,-44.03,agios-pharmaceuticals
17,AIMT,Aimmune Therape..,0.02,-7.75,aimmune-therapeutics
18,AKCA,Akcea Therapeut..,0.01,-28.45,akcea-therapeutics
19,AKBA,Akebia Therapeu..,0.01,-55.14,akebia-therapeutics
20,AKRX,Akorn Inc.,0.01,-39.32,akorn
21,ALXN,Alexion Pharmac..,0.55,-6.67,alexion-pharmaceuticals
22,ALGN,Align Technolog..,0.35,19.97,align-technology
23,ALKS,Alkermes plc,0.08,-36.36,alkermes
24,ALLK,Allakos Inc.,0.05,34.47,allakos
25,AGN,Allergan plc,1.39,16.42,allergan
26,ALLO,Allogene Therap..,0.02,11.22,allogene-therapeutics
27,MDRX,Allscripts Heal..,0.05,11.01,allscripts-healthcare-solutions
28,ALNY,Alnylam Pharmac..,0.22,41.46,alnylam-pharmaceuticals
29,AMAG,AMAG Pharmaceut..,0.01,-42.14,amag-pharmaceuticals
30,AMED,Amedisys Inc.,0.11,30.53,amedisys
31,ABC,AmerisourceBerg..,0.33,-2.55,amerisourcebergen
32,AMGN,Amgen Inc.,2.96,16.02,amgen
33,FOLD,Amicus Therapeu..,0.05,-6.49,amicus-therapeutics
34,AMN,AMN Healthcare ..,0.07,4.5,amn-healthcare-services
35,AMRX,Amneal Pharmace..,0.01,-85.28,amneal-pharmaceuticals
36,AMPH,Amphastar Pharm..,0.02,-14.46,amphastar-pharmaceuticals
37,ANAB,AnaptysBio Inc.,0.02,-82.89,anaptysbio
38,ANGO,AngioDynamics I..,0.02,-25.05,angiodynamics
39,ANIP,ANI Pharmaceuti..,0.02,6.99,ani-pharmaceuticals
40,ANIK,Anika Therapeut..,0.02,69.66,anika-therapeutics
41,ATRS,Antares Pharma ..,0.01,24.18,antares-pharma
42,ANTM,Anthem Inc.,1.55,6.33,anthem
43,APLS,Apellis Pharmac..,0.03,101.1,apellis-pharmaceuticals
44,AMEH,Apollo Medical ..,0.01,-18.43,apollo-medical-holdings
45,RCUS,Arcus Bioscienc..,0.01,-32.54,arcus-biosciences
46,ARNA,Arena Pharmaceu..,0.06,40.87,arena-pharmaceuticals
47,ARWR,Arrowhead Pharm..,0.06,293.37,arrowhead-pharmaceuticals
48,ARVN,Arvinas Inc.,0.01,85.46,arvinas
49,ASMB,Assembly Biosci..,0.01,-41.83,assembly-biosciences
50,ASRT,Assertio Therap..,0.01,-86.19,assertio-therapeutics
51,ATRA,Atara Biotherap..,0.02,-61.01,atara-biotherapeutics
52,ATNX,Athenex Inc.,0.01,13.52,athenex
53,ATRC,AtriCure Inc.,0.02,-6.25,atricure
54,ATRI,Atrion Corp.,0.03,0.48,atrion
55,BOLD,Audentes Therap..,0.03,14.98,audentes-therapeutics
56,AVCO,Avalon GloboCar..,0.01,-43.53,avalon-globocare
57,AVNS,Avanos Medical ..,0.04,-31.26,avanos-medical
58,AVTR,Avantor Inc.,0.08,,avantor
59,AVRO,Avrobio Inc.,0.01,-54.7,avrobio
60,AXGN,Axogen Inc.,0.01,-49.64,axogen
61,AXNX,Axonics Modulat..,0.01,76.68,axonics-modulation-technologies
62,AXSM,Axsome Therapeu..,0.01,881.56,axsome-therapeutics
63,BAX,Baxter Internat..,1.06,27.59,baxter-international
64,BDX,Becton Dickinso..,1.71,5.55,becton-dickinson-
65,BCRX,BioCryst Pharma..,0.01,-74.96,biocryst-pharmaceuticals
66,BIIB,Biogen Inc.,1.13,-9.98,biogen
